timestamp,posCtrlIndi.velRef_x,posCtrlIndi.velRef_y,posCtrlIndi.velRef_z,posCtrlIndi.angS_roll,posCtrlIndi.angS_pitch,posCtrlIndi.angS_yaw
181967,0.0,0.0,0.0,0.0,0.0,0.0
182067,0.0,0.0,0.0,0.0,0.0,0.0
182167,0.0,0.0,0.0,0.0,0.0,0.0
182267,0.0,0.0,0.0,0.0,0.0,0.0
182367,0.0,0.0,0.0,0.0,0.0,0.0
182467,0.0,0.0,0.0,0.0,0.0,0.0
182567,0.0,0.0,0.0,0.0,0.0,0.0
182667,0.0,0.0,0.0,0.0,0.0,0.0
182767,0.0,0.0,0.0,0.0,0.0,0.0
182867,0.0,0.0,0.0,0.0,0.0,0.0
182967,0.0,0.0,0.0,0.0,0.0,0.0
183067,0.0,0.0,0.0,0.0,0.0,0.0
183167,0.0,0.0,0.0,0.0,0.0,0.0
183267,0.0,0.0,0.0,0.0,0.0,0.0
183367,0.0,0.0,0.0,0.0,0.0,0.0
183467,0.0,0.0,0.0,0.0,0.0,0.0
183567,0.0,0.0,0.0,0.0,0.0,0.0
183667,0.0,0.0,0.0,0.0,0.0,0.0
183767,0.0,0.0,0.0,0.0,0.0,0.0
183867,0.0,0.0,0.0,0.0,0.0,0.0
183967,0.0,0.0,0.0,0.0,0.0,0.0
184067,0.0,0.0,0.0,0.0,0.0,0.0
184167,0.0,0.0,0.0,0.0,0.0,0.0
184267,0.0,0.0,0.0,0.0,0.0,0.0
184367,0.0,0.0,0.0,0.0,0.0,0.0
184467,0.0,0.0,0.0,0.0,0.0,0.0
184567,0.0,0.0,0.0,0.0,0.0,0.0
184667,0.0,0.0,0.0,0.0,0.0,0.0
184767,0.0,0.0,0.0,0.0,0.0,0.0
184867,0.0,0.0,0.0,0.0,0.0,0.0
184967,0.0,0.0,0.0,0.0,0.0,0.0
185067,0.0,0.0,0.0,0.0,0.0,0.0
185167,0.0,0.0,0.0,0.0,0.0,0.0
185267,0.0,0.0,0.0,0.0,0.0,0.0
185367,0.0,0.0,0.0,0.0,0.0,0.0
185467,0.0,0.0,0.0,0.0,0.0,0.0
185567,0.0,0.0,0.0,0.0,0.0,0.0
185667,0.0,0.0,0.0,0.0,0.0,0.0
185767,0.0,0.0,0.0,0.0,0.0,0.0
185867,0.0,0.0,0.0,0.0,0.0,0.0
185967,0.0,0.0,0.0,0.0,0.0,0.0
186067,0.0,0.0,0.0,0.0,0.0,0.0
186167,0.0,0.0,0.0,0.0,0.0,0.0
186269,0.0,0.0,0.0,0.0,0.0,0.0
186369,0.0,0.0,0.0,0.0,0.0,0.0
186468,0.0,0.0,0.0,0.0,0.0,0.0
186568,0.0,0.0,0.0,0.0,0.0,0.0
186668,0.0,0.0,0.0,0.0,0.0,0.0
186767,0.0,0.0,0.0,0.0,0.0,0.0
186867,0.0,0.0,0.0,0.0,0.0,0.0
186967,0.0,0.0,0.0,0.0,0.0,0.0
187067,0.0,0.0,0.0,0.0,0.0,0.0
187167,0.0,0.0,0.0,0.0,0.0,0.0
187267,0.0,0.0,0.0,0.0,0.0,0.0
187367,0.0,0.0,0.0,0.0,0.0,0.0
187467,0.0,0.0,0.0,0.0,0.0,0.0
187567,0.0,0.0,0.0,0.0,0.0,0.0
187667,0.0,0.0,0.0,0.0,0.0,0.0
187767,0.0,0.0,0.0,0.0,0.0,0.0
187867,0.0,0.0,0.0,0.0,0.0,0.0
187967,0.0,0.0,0.0,0.0,0.0,0.0
188067,0.0,0.0,0.0,0.0,0.0,0.0
188167,0.0,0.0,0.0,0.0,0.0,0.0
188268,0.0,0.0,0.0,0.0,0.0,0.0
188367,0.0,0.0,0.0,0.0,0.0,0.0
188467,0.0,0.0,0.0,0.0,0.0,0.0
188567,0.0,0.0,0.0,0.0,0.0,0.0
188667,0.0,0.0,0.0,0.0,0.0,0.0
188767,0.0,0.0,0.0,0.0,0.0,0.0
188867,0.0,0.0,0.0,0.0,0.0,0.0
188967,0.0,0.0,0.0,0.0,0.0,0.0
189067,0.0,0.0,0.0,0.0,0.0,0.0
189167,0.0,0.0,0.0,0.0,0.0,0.0
189267,0.0,0.0,0.0,0.0,0.0,0.0
189367,0.0,0.0,0.0,0.0,0.0,0.0
189467,0.0,0.0,0.0,0.0,0.0,0.0
189567,0.0,0.0,0.0,0.0,0.0,0.0
189667,0.0,0.0,0.0,0.0,0.0,0.0
189767,0.0,0.0,0.0,0.0,0.0,0.0
189867,0.0,0.0,0.0,0.0,0.0,0.0
189967,0.0,0.0,0.0,0.0,0.0,0.0
190067,0.0,0.0,0.0,0.0,0.0,0.0
190167,0.0,0.0,0.0,0.0,0.0,0.0
190267,0.0,0.0,0.0,0.0,0.0,0.0
190367,0.0,0.0,0.0,0.0,0.0,0.0
190467,0.0,0.0,0.0,0.0,0.0,0.0
190567,0.0,0.0,0.0,0.0,0.0,0.0
190667,0.0,0.0,0.0,0.0,0.0,0.0
190767,0.0,0.0,0.0,0.0,0.0,0.0
190867,0.0,0.0,0.0,0.0,0.0,0.0
190967,0.0,0.0,0.0,0.0,0.0,0.0
191067,0.0,0.0,0.0,0.0,0.0,0.0
191167,0.0,0.0,0.0,0.0,0.0,0.0
191267,0.0,0.0,0.0,0.0,0.0,0.0
191367,0.0,0.0,0.0,0.0,0.0,0.0
191467,0.0,0.0,0.0,0.0,0.0,0.0
191567,0.0,0.0,0.0,0.0,0.0,0.0
191667,0.0,0.0,0.0,0.0,0.0,0.0
191767,0.0,0.0,0.0,0.0,0.0,0.0
191867,0.0,0.0,0.0,0.0,0.0,0.0
191967,0.0,0.0,0.0,0.0,0.0,0.0
192067,0.0,0.0,0.0,0.0,0.0,0.0
192167,0.0,0.0,0.0,0.0,0.0,0.0
192267,0.0,0.0,0.0,0.0,0.0,0.0
192367,0.0,0.0,0.0,0.0,0.0,0.0
192467,0.0,0.0,0.0,0.0,0.0,0.0
192567,0.0,0.0,0.0,0.0,0.0,0.0
192667,0.0,0.0,0.0,0.0,0.0,0.0
192767,0.0,0.0,0.0,0.0,0.0,0.0
192867,0.0,0.0,0.0,0.0,0.0,0.0
192967,0.0,0.0,0.0,0.0,0.0,0.0
193067,0.0,0.0,0.0,0.0,0.0,0.0
193167,0.0,0.0,0.0,0.0,0.0,0.0
193267,0.0,0.0,0.0,0.0,0.0,0.0
193367,0.0,0.0,0.0,0.0,0.0,0.0
193467,0.0,0.0,0.0,0.0,0.0,0.0
193567,0.0,0.0,0.0,0.0,0.0,0.0
193669,0.0,0.0,0.0,0.0,0.0,0.0
193769,0.0,0.0,0.0,0.0,0.0,0.0
193869,0.0,0.0,0.0,0.0,0.0,0.0
193968,0.0,0.0,0.0,0.0,0.0,0.0
194068,0.0,0.0,0.0,0.0,0.0,0.0
194168,0.0,0.0,0.0,0.0,0.0,0.0
194268,0.0,0.0,0.0,0.0,0.0,0.0
194367,0.0,0.0,0.0,0.0,0.0,0.0
194467,0.0,0.0,0.0,0.0,0.0,0.0
194567,0.0,0.0,0.0,0.0,0.0,0.0
194667,0.0,0.0,0.0,0.0,0.0,0.0
194767,0.0,0.0,0.0,0.0,0.0,0.0
194867,0.0,0.0,0.0,0.0,0.0,0.0
194967,0.0,0.0,0.0,0.0,0.0,0.0
195067,0.0,0.0,0.0,0.0,0.0,0.0
195167,0.0,0.0,0.0,0.0,0.0,0.0
195267,0.0,0.0,0.0,0.0,0.0,0.0
195367,0.0,0.0,0.0,0.0,0.0,0.0
195467,0.0,0.0,0.0,0.0,0.0,0.0
195567,0.0,0.0,0.0,0.0,0.0,0.0
195667,0.0,0.0,0.0,0.0,0.0,0.0
195767,0.0,0.0,0.0,0.0,0.0,0.0
195867,0.0,0.0,0.0,0.0,0.0,0.0
195967,0.0,0.0,0.0,0.0,0.0,0.0
196067,0.0,0.0,0.0,0.0,0.0,0.0
196167,0.0,0.0,0.0,0.0,0.0,0.0
196267,0.0,0.0,0.0,0.0,0.0,0.0
196367,0.0,0.0,0.0,0.0,0.0,0.0
196467,0.0,0.0,0.0,0.0,0.0,0.0
196567,0.0,0.0,0.0,0.0,0.0,0.0
196667,0.0,0.0,0.0,0.0,0.0,0.0
196767,0.0,0.0,0.0,0.0,0.0,0.0
196867,0.0,0.0,0.0,0.0,0.0,0.0
196967,0.0,0.0,0.0,0.0,0.0,0.0
197067,0.0,0.0,0.0,0.0,0.0,0.0
197167,0.0,0.0,0.0,0.0,0.0,0.0
197267,0.0,0.0,0.0,0.0,0.0,0.0
197367,0.0,0.0,0.0,0.0,0.0,0.0
197467,0.0,0.0,0.0,0.0,0.0,0.0
197567,0.0,0.0,0.0,0.0,0.0,0.0
197667,0.0,0.0,0.0,0.0,0.0,0.0
197767,0.0,0.0,0.0,0.0,0.0,0.0
197867,0.0,0.0,0.0,0.0,0.0,0.0
197967,0.0,0.0,0.0,0.0,0.0,0.0
198067,0.0,0.0,0.0,0.0,0.0,0.0
198167,0.0,0.0,0.0,0.0,0.0,0.0
198267,0.0,0.0,0.0,0.0,0.0,0.0
198367,0.0,0.0,0.0,0.0,0.0,0.0
198467,0.0,0.0,0.0,0.0,0.0,0.0
198567,0.0,0.0,0.0,0.0,0.0,0.0
198667,0.0,0.0,0.0,0.0,0.0,0.0
198767,0.0,0.0,0.0,0.0,0.0,0.0
198867,0.0,0.0,0.0,0.0,0.0,0.0
198967,0.0,0.0,0.0,0.0,0.0,0.0
199067,0.0,0.0,0.0,0.0,0.0,0.0
199167,0.0,0.0,0.0,0.0,0.0,0.0
199267,0.0,0.0,0.0,0.0,0.0,0.0
199367,0.0,0.0,0.0,0.0,0.0,0.0
199467,0.0,0.0,0.0,0.0,0.0,0.0
