timestamp,ctrltarget.x,ctrltarget.y,ctrltarget.z,ctrltarget.vx,ctrltarget.vx,ctrltarget.vx
99968,0.0,0.0,0.0,0.0,0.0,0.0
100068,0.0,0.0,0.0,0.0,0.0,0.0
100168,0.0,0.0,0.0,0.0,0.0,0.0
100268,0.0,0.0,0.0,0.0,0.0,0.0
100368,0.0,0.0,0.0,0.0,0.0,0.0
100468,0.0,0.0,0.0,0.0,0.0,0.0
100568,0.0,0.0,0.0,0.0,0.0,0.0
100668,0.0,0.0,0.0,0.0,0.0,0.0
100768,0.0,0.0,0.0,0.0,0.0,0.0
100868,0.0,0.0,0.0,0.0,0.0,0.0
100968,3.2960029784590006e-05,-0.00019857320876326412,0.0005855333874933422,3.131200649851844e-15,3.131200649851844e-15,3.131200649851844e-15
101068,3.2960029784590006e-05,-0.00019857320876326412,0.012345303781330585,1.4755309875411765e-13,1.4755309875411765e-13,1.4755309875411765e-13
101168,3.2960029784590006e-05,-0.00019857320876326412,0.05236801877617836,1.2670063566019851e-12,1.2670063566019851e-12,1.2670063566019851e-12
101268,3.2960029784590006e-05,-0.00019857320876326412,0.12762518227100372,5.670075520214368e-12,5.670075520214368e-12,5.670075520214368e-12
101368,3.2960029784590006e-05,-0.00019857320876326412,0.22889062762260437,1.793752646417346e-11,1.793752646417346e-11,1.793752646417346e-11
101468,3.296003342256881e-05,-0.00019857320876326412,0.3348645567893982,4.569915626473353e-11,4.569915626473353e-11,4.569915626473353e-11
101568,3.296004069852643e-05,-0.00019857320876326412,0.4221923053264618,1.0046152104647987e-10,1.0046152104647987e-10,1.0046152104647987e-10
101668,3.2960055250441656e-05,-0.00019857322331517935,0.4760054349899292,1.9837305409442507e-10,1.9837305409442507e-10,1.9837305409442507e-10
101768,3.2960080716293305e-05,-0.0001985732524190098,0.49699875712394714,3.6097300148973943e-10,3.6097300148973943e-10,3.6097300148973943e-10
101868,3.2960131647996604e-05,-0.00019857332517858595,0.49999362230300903,6.161078869304504e-10,6.161078869304504e-10,6.161078869304504e-10
101968,3.69701228919439e-05,-0.0001985728886211291,0.4999357759952545,0.0001890708226710558,0.0001890708226710558,0.0001890708226710558
102068,0.00011888508743140846,-0.00019856219296343625,0.4996860921382904,0.0018371859332546592,0.0018371859332546592,0.0018371859332546592
102168,0.0004940326325595379,-0.00019851273100357503,0.49925798177719116,0.006314949598163366,0.006314949598163366,0.006314949598163366
102268,0.0014941751724109054,-0.00019838058506138623,0.4986678659915924,0.01461256854236126,0.01461256854236126,0.01461256854236126
102368,0.0035316431894898415,-0.00019811112724710256,0.49793681502342224,0.027379069477319717,0.027379069477319717,0.027379069477319717
102468,0.007068732753396034,-0.00019764318130910397,0.4970889091491699,0.04496784880757332,0.04496784880757332,0.04496784880757332
102568,0.012587293051183224,-0.00019691293709911406,0.4961508512496948,0.06746091693639755,0.06746091693639755,0.06746091693639755
102668,0.02056850865483284,-0.00019585668633226305,0.49515002965927124,0.09472405165433884,0.09472405165433884,0.09472405165433884
102768,0.03146869316697121,-0.000194414024008438,0.49411430954933167,0.12642475962638855,0.12642475962638855,0.12642475962638855
102868,0.04570483788847923,-0.000192529711057432,0.4930708408355713,0.16207534074783325,0.16207534074783325,0.16207534074783325
102968,0.0636354312300682,-0.00019015629368368536,0.49204587936401367,0.20105071365833282,0.20105071365833282,0.20105071365833282
103068,0.08555373549461365,-0.00018725496192928404,0.4910636842250824,0.2426305115222931,0.2426305115222931,0.2426305115222931
103168,0.11168230324983597,-0.0001837962045101449,0.4901461601257324,0.2860284447669983,0.2860284447669983,0.2860284447669983
103268,0.1421603560447693,-0.00017976162780541927,0.4893128275871277,0.3304040729999542,0.3304040729999542,0.3304040729999542
103368,0.17703402042388916,-0.0001751450909068808,0.4885805547237396,0.3748820126056671,0.3748820126056671,0.3748820126056671
103468,0.21627546846866608,-0.0001699503045529127,0.4879627227783203,0.41860127449035645,0.41860127449035645,0.41860127449035645
103568,0.25977787375450134,-0.0001641913695493713,0.48746976256370544,0.4607202112674713,0.4607202112674713,0.4607202112674713
103668,0.30731743574142456,-0.00015789792814757675,0.48710912466049194,0.5004003047943115,0.5004003047943115,0.5004003047943115
103768,0.35864102840423584,-0.00015110349340829998,0.486884742975235,0.5368979573249817,0.5368979573249817,0.5368979573249817
103868,0.41338294744491577,-0.000143856494105421,0.4867977201938629,0.5695013403892517,0.5695013403892517,0.5695013403892517
103968,0.47112607955932617,-0.0001362121111014858,0.4868461489677429,0.5975896120071411,0.5975896120071411,0.5975896120071411
104068,0.5314059853553772,-0.00012823185534216464,0.4870253801345825,0.6206340193748474,0.6206340193748474,0.6206340193748474
104168,0.593701958656311,-0.00011998469562968239,0.48732826113700867,0.6381978988647461,0.6381978988647461,0.6381978988647461
104268,0.6574446558952332,-0.00011154593084938824,0.48774540424346924,0.6499474048614502,0.6499474048614502,0.6499474048614502
104368,0.7220523953437805,-0.00010299262794433162,0.48826539516448975,0.6556633710861206,0.6556633710861206,0.6556633710861206
104468,0.78692227602005,-9.440461144549772e-05,0.48887529969215393,0.6552391648292542,0.6552391648292542,0.6552391648292542
104568,0.8514461517333984,-8.586236799601465e-05,0.48956090211868286,0.6486815214157104,0.6486815214157104,0.6486815214157104
104668,0.9150232076644897,-7.744546019239351e-05,0.4903069734573364,0.6361148357391357,0.6361148357391357,0.6361148357391357
104768,0.9770646691322327,-6.923175533302128e-05,0.49109774827957153,0.6177764534950256,0.6177764534950256,0.6177764534950256
