timestamp,posCtrlIndi.accFT_x,posCtrlIndi.accFT_y,posCtrlIndi.accFT_z,posCtrlIndi.accErr_x,posCtrlIndi.accErr_y,posCtrlIndi.accErr_z
181974,0.0,0.0,0.0,0.0,0.0,0.0
182074,0.0,0.0,0.0,0.0,0.0,0.0
182174,0.0,0.0,0.0,0.0,0.0,0.0
182274,0.0,0.0,0.0,0.0,0.0,0.0
182374,0.0,0.0,0.0,0.0,0.0,0.0
182474,0.0,0.0,0.0,0.0,0.0,0.0
182574,0.0,0.0,0.0,0.0,0.0,0.0
182674,0.0,0.0,0.0,0.0,0.0,0.0
182774,0.0,0.0,0.0,0.0,0.0,0.0
182874,0.0,0.0,0.0,0.0,0.0,0.0
182974,0.0,0.0,0.0,0.0,0.0,0.0
183074,0.0,0.0,0.0,0.0,0.0,0.0
183174,0.0,0.0,0.0,0.0,0.0,0.0
183274,0.0,0.0,0.0,0.0,0.0,0.0
183374,0.0,0.0,0.0,0.0,0.0,0.0
183474,0.0,0.0,0.0,0.0,0.0,0.0
183574,0.0,0.0,0.0,0.0,0.0,0.0
183674,0.0,0.0,0.0,0.0,0.0,0.0
183774,0.0,0.0,0.0,0.0,0.0,0.0
183876,0.0,0.0,0.0,0.0,0.0,0.0
183976,0.0,0.0,0.0,0.0,0.0,0.0
184076,0.0,0.0,0.0,0.0,0.0,0.0
184175,0.0,0.0,0.0,0.0,0.0,0.0
184275,0.0,0.0,0.0,0.0,0.0,0.0
184374,0.0,0.0,0.0,0.0,0.0,0.0
184474,0.0,0.0,0.0,0.0,0.0,0.0
184574,0.0,0.0,0.0,0.0,0.0,0.0
184674,0.0,0.0,0.0,0.0,0.0,0.0
184774,0.0,0.0,0.0,0.0,0.0,0.0
184874,0.0,0.0,0.0,0.0,0.0,0.0
184974,0.0,0.0,0.0,0.0,0.0,0.0
185074,0.0,0.0,0.0,0.0,0.0,0.0
185174,0.0,0.0,0.0,0.0,0.0,0.0
185274,0.0,0.0,0.0,0.0,0.0,0.0
185374,0.0,0.0,0.0,0.0,0.0,0.0
185474,0.0,0.0,0.0,0.0,0.0,0.0
185574,0.0,0.0,0.0,0.0,0.0,0.0
185674,0.0,0.0,0.0,0.0,0.0,0.0
185774,0.0,0.0,0.0,0.0,0.0,0.0
185874,0.0,0.0,0.0,0.0,0.0,0.0
185974,0.0,0.0,0.0,0.0,0.0,0.0
186074,0.0,0.0,0.0,0.0,0.0,0.0
186174,0.0,0.0,0.0,0.0,0.0,0.0
186274,0.0,0.0,0.0,0.0,0.0,0.0
186374,0.0,0.0,0.0,0.0,0.0,0.0
186474,0.0,0.0,0.0,0.0,0.0,0.0
186574,0.0,0.0,0.0,0.0,0.0,0.0
186674,0.0,0.0,0.0,0.0,0.0,0.0
186774,0.0,0.0,0.0,0.0,0.0,0.0
186874,0.0,0.0,0.0,0.0,0.0,0.0
186974,0.0,0.0,0.0,0.0,0.0,0.0
187074,0.0,0.0,0.0,0.0,0.0,0.0
187174,0.0,0.0,0.0,0.0,0.0,0.0
187274,0.0,0.0,0.0,0.0,0.0,0.0
187374,0.0,0.0,0.0,0.0,0.0,0.0
187474,0.0,0.0,0.0,0.0,0.0,0.0
187574,0.0,0.0,0.0,0.0,0.0,0.0
187674,0.0,0.0,0.0,0.0,0.0,0.0
187774,0.0,0.0,0.0,0.0,0.0,0.0
187874,0.0,0.0,0.0,0.0,0.0,0.0
187974,0.0,0.0,0.0,0.0,0.0,0.0
188074,0.0,0.0,0.0,0.0,0.0,0.0
188174,0.0,0.0,0.0,0.0,0.0,0.0
188274,0.0,0.0,0.0,0.0,0.0,0.0
188374,0.0,0.0,0.0,0.0,0.0,0.0
188474,0.0,0.0,0.0,0.0,0.0,0.0
188574,0.0,0.0,0.0,0.0,0.0,0.0
188674,0.0,0.0,0.0,0.0,0.0,0.0
