timestamp,crtp.rxRate,crtp.txRate
99956,24,1
100056,464,155
100156,464,155
100256,464,155
100356,464,155
100456,464,155
100556,768,333
100656,768,333
100756,768,333
100856,768,333
100956,768,333
101056,631,298
101156,631,298
101256,631,298
101356,631,298
101456,631,298
101556,912,277
101656,912,277
101756,912,277
101856,912,277
101956,912,277
102056,778,163
102156,778,163
102256,778,163
102356,778,163
102456,778,163
102556,812,159
102656,812,159
102756,812,159
102856,812,159
102956,812,159
103056,752,159
103156,752,159
103256,752,159
103356,752,159
103456,752,159
103556,652,161
103656,652,161
103756,652,161
103856,652,161
103956,652,161
104056,644,161
104156,644,161
104256,644,161
104356,644,161
104456,644,161
104556,632,159
104656,632,159
104756,632,159
104856,632,159
104956,632,159
105056,806,161
105156,806,161
105256,806,161
105358,806,161
105458,806,161
105558,727,159
105657,727,159
105757,727,159
105857,727,159
105956,727,159
106056,697,159
106157,697,159
106256,697,159
106356,697,159
106456,697,159
106556,721,161
106656,721,161
106756,721,161
106856,721,161
106956,721,161
107056,754,163
107156,754,163
107256,754,163
107356,754,163
107456,754,163
107556,724,161
107656,724,161
107756,724,161
107856,724,161
107956,724,161
108056,836,159
108156,836,159
108256,836,159
108356,836,159
108456,836,159
108556,688,161
108656,688,161
108756,688,161
108856,688,161
108956,688,161
109056,830,159
109156,830,159
109256,830,159
109356,830,159
109456,830,159
109556,842,161
109656,842,161
109756,842,161
109856,842,161
109959,842,161
110058,678,159
110158,678,159
110256,678,159
110358,678,159
110457,678,159
110557,760,159
110657,760,159
110757,760,159
110856,760,159
110956,760,159
111056,690,159
111156,690,159
111256,690,159
111356,690,159
111456,690,159
111556,818,159
111656,818,159
111756,818,159
111856,818,159
111956,818,159
112056,693,159
112158,693,159
112256,693,159
112356,693,159
112456,693,159
112556,740,158
112657,740,158
112757,740,158
112856,740,158
112956,740,158
113056,611,161
113156,611,161
113256,611,161
113356,611,161
113456,611,161
113556,846,159
113656,846,159
113756,846,159
113856,846,159
113956,846,159
114056,758,159
114156,758,159
114256,758,159
114356,758,159
114456,758,159
114556,778,159
114656,778,159
114756,778,159
114856,778,159
114956,778,159
115056,727,161
115156,727,161
115256,727,161
115356,727,161
115456,727,161
115556,828,159
115656,828,159
115756,828,159
115856,828,159
115956,828,159
116056,694,159
116156,694,159
116256,694,159
116356,694,159
116456,694,159
116556,708,159
116656,708,159
116756,708,159
116856,708,159
116956,708,159
117056,800,159
117156,800,159
117256,800,159
117356,800,159
117456,800,159
117556,710,159
117656,710,159
117756,710,159
117856,710,159
117956,710,159
118056,702,159
118156,702,159
118256,702,159
118356,702,159
118456,702,159
118556,714,159
118659,714,159
118758,714,159
118858,714,159
118958,714,159
119058,824,159
119157,824,159
119257,824,159
119357,824,159
119457,824,159
119557,748,159
119657,748,159
119756,748,159
119856,748,159
119956,748,159
120056,632,161
120156,632,161
120256,632,161
120356,632,161
120456,632,161
120556,786,159
120656,786,159
120756,786,159
120856,786,159
120956,786,159
121056,747,161
121156,747,161
121256,747,161
121356,747,161
121456,747,161
121556,720,159
