timestamp,motor.m1,motor.m2,motor.m3,motor.m4
154974,0,0,0,0
155074,0,0,0,0
155174,0,0,0,0
155274,0,0,0,0
155374,0,0,0,0
155474,0,0,0,0
155574,0,0,0,0
155674,0,0,0,0
155774,0,0,0,0
155874,0,0,0,0
155974,34634,36164,36632,35014
156074,38882,34268,34956,37878
156174,39817,38157,41841,35641
156274,47581,41137,40719,41555
156374,51213,40175,44795,47249
156474,43297,40149,55721,49381
156574,51008,42118,45986,45204
156674,44508,43404,48612,40992
156774,43243,40655,44925,40433
156874,38190,37032,44050,38612
156974,40649,36951,40713,36639
157074,41775,36609,40371,36549
157174,41182,36890,42332,38148
157274,42131,36895,42453,39309
157374,42702,37404,43946,38904
157474,40637,38911,44161,37479
157574,40520,37024,42246,36802
157674,41174,37214,42412,37580
157774,46392,41834,48234,43716
157874,42492,41962,48632,39802
157974,44674,38806,45756,42188
158074,41518,39158,45832,38608
158174,40234,37542,44148,37060
158274,41023,36873,42057,36443
158374,42057,36393,41847,38031
158474,48112,40124,46356,41876
158574,44878,41242,46840,39344
158674,41967,40191,45815,37360
158774,40688,37704,43160,37172
158874,41405,38047,43049,37839
158974,41252,39092,44572,37536
159074,42366,40336,45086,38424
159174,42601,40239,44281,38287
159274,41251,38583,43641,38545
159374,38263,37637,44209,36291
159474,42725,46409,48151,36015
159574,41926,40976,46302,38772
159674,44732,42106,46556,43530
159774,42290,40222,46270,42562
159874,39407,44429,43091,36177
159974,41258,39084,44378,37684
160074,43191,38963,42735,37835
160174,41341,38445,45329,37797
160274,42410,39122,45052,38776
160374,40298,39370,46734,40278
160474,42083,42425,46299,41053
160574,41452,44280,48520,39608
160674,42304,33516,37210,38514
160774,41657,36611,41669,35343
160874,40449,39179,46319,36689
160976,44239,40765,46001,41351
161076,44644,41322,45072,40626
161176,43570,41442,45042,39270
161276,41299,40589,45463,38073
161375,44700,41030,46746,41212
161475,52492,47164,52918,46886
161574,48851,46571,54405,45557
161674,51187,22329,21189,40083
161774,37440,27568,38736,40416
161875,25289,30177,42187,24011
161975,35515,33179,37245,31321
162076,42817,33051,41301,42435
162174,47549,45657,44159,36339
162274,48581,43825,52223,46935
162374,47112,37688,47802,45766
162474,38145,33711,38625,31759
162574,19480,9036,36406,34886
162674,42970,32604,27596,26830
162775,42098,41000,48324,40538
162874,49523,20559,39835,60223
162974,0,0,0,0
163074,0,0,0,0
163174,0,0,0,0
163274,0,0,0,0
163374,0,0,0,0
163474,0,0,0,0
163574,0,0,0,0
163674,0,0,0,0
163774,0,0,0,0
163874,0,0,0,0
163974,0,0,0,0
164074,0,0,0,0
164174,0,0,0,0
164274,0,0,0,0
164374,0,0,0,0
164474,0,0,0,0
164574,0,0,0,0
164674,0,0,0,0
164774,0,0,0,0
164874,0,0,0,0
164974,0,0,0,0
165074,0,0,0,0
165174,0,0,0,0
165274,0,0,0,0
165374,0,0,0,0
165474,0,0,0,0
165574,0,0,0,0
165674,0,0,0,0
165774,0,0,0,0
165874,0,0,0,0
165974,0,0,0,0
166074,0,0,0,0
166174,0,0,0,0
166274,0,0,0,0
166374,0,0,0,0
166474,0,0,0,0
166574,0,0,0,0
166674,0,0,0,0
166774,0,0,0,0
166876,0,0,0,0
166976,0,0,0,0
167076,0,0,0,0
167176,0,0,0,0
167275,0,0,0,0
167375,0,0,0,0
167475,0,0,0,0
167575,0,0,0,0
167675,0,0,0,0
167775,0,0,0,0
167874,0,0,0,0
167974,37547,39393,38767,35861
168074,36203,37869,36189,33831
168174,34965,38477,36933,34037
168274,40265,39429,37853,39657
168374,40986,39804,42296,41734
168474,34930,35804,42838,36272
168574,47170,43410,42550,37070
168674,36745,39663,52473,41335
168774,44313,41823,46035,39477
168874,47850,39900,42398,42804
168974,44506,43194,52282,45530
169074,42759,43117,47185,39747
169174,42822,39666,45334,40990
169274,39919,39419,45071,38903
169375,42646,41796,48376,42622
169475,50450,46616,50962,46720
169574,43700,40200,44414,39694
169674,32508,36184,41388,29632
169775,37090,12232,22404,36706
169874,32703,41021,39693,22195
169975,42629,30985,41793,44449
170074,46324,42762,49882,44140
170174,46641,44593,48865,41241
170274,44126,40080,47000,41114
170374,41834,38244,44458,38336
170474,44489,39643,44475,39589
170574,44155,39129,44883,39913
170674,42186,37486,43772,38480
170774,41754,37034,43512,37828
170874,44573,37047,44931,38953
170974,42552,38202,45650,37836
171074,49474,45630,53930,45662
171174,53165,46383,54149,47287
171274,38139,29385,40857,37615
171374,33581,48851,49689,17555
171474,39252,7462,24610,51436
171574,41676,42878,44166,31480
171674,50090,48790,54898,48490
171774,42405,36717,46647,45203
171874,32189,47173,45065,26001
171974,38167,31611,39567,41715
172074,44088,36596,39442,41762
172174,42727,43589,47035,41489
172274,38396,39444,46190,40622
172374,42790,37772,42170,41200
172474,43826,37746,42300,42304
172574,43286,38718,43292,41960
172674,41394,38348,45152,41002
172774,45767,37253,41199,40457
172874,44229,38389,43506,38408
172974,44614,37316,43218,39420
173074,42998,36992,43426,39144
173174,42055,35765,44467,41041
173274,41965,36785,43089,39369
173374,38564,37844,44072,37332
173474,39797,36773,44027,39059
173574,48861,35603,42051,46589
173674,43641,37913,41789,38913
173774,47718,43588,47366,44168
173874,46758,40032,47352,46474
173974,40499,38835,43849,37945
174074,38090,35760,40794,36540
174174,42329,35467,39413,37863
174274,40788,39698,46356,40554
174374,46573,40723,44537,42279
174474,51020,42842,48596,48546
174574,43665,39643,45831,40861
174674,40436,38320,43416,37164
174774,38428,36560,42290,35930
174874,39277,33725,39599,36859
174974,35798,32180,35828,30670
175074,39138,33122,39596,36476
175174,37526,33858,38644,33608
175274,38034,36090,40612,35800
175374,39898,37244,41994,38364
175474,46033,42569,44149,43609
175574,44088,47952,49090,47194
175674,0,0,0,0
175774,0,0,0,0
175876,0,0,0,0
175976,0,0,0,0
176076,0,0,0,0
176176,0,0,0,0
176275,0,0,0,0
176375,0,0,0,0
176475,0,0,0,0
176575,0,0,0,0
