timestamp,motion.motion,motion.deltaX,motion.deltaY,motion.shutter,motion.maxRaw,motion.minRaw,motion.Rawsum,motion.outlierCount,motion.squal,motion.std
154972,176,24,7,2788,80,61,40,0,14,2.0
155072,176,-3,-1,2926,255,70,77,0,49,2.0
155172,48,0,0,2893,255,69,75,0,44,2.0
155272,176,1,3,2859,255,72,80,0,51,2.0
155372,176,7,-7,2814,77,61,39,0,8,2.0
155472,176,14,5,2792,255,69,72,0,51,2.0
155572,176,0,7,2759,255,69,73,0,47,2.0
155672,176,1,4,2558,255,70,77,0,48,2.0
155774,176,-2,-1,2696,255,65,65,0,45,2.0
155872,176,-1,16,2831,255,68,69,0,42,2.0
155972,176,-5,2,2809,255,65,63,0,43,2.0
156072,176,-6,-1,2776,79,61,40,0,11,2.0
156172,176,15,0,2744,255,68,73,0,48,2.0
156272,48,0,0,2711,255,68,73,0,48,2.0
156373,176,3,-1,2070,255,69,85,0,47,2.0
156473,48,0,0,1472,101,73,51,0,77,2.0
156573,176,15,6,1275,209,78,69,0,107,2.0
156673,176,0,3,1616,157,89,74,0,125,2.0
156773,176,1,4,1803,180,94,82,0,114,2.0
156873,176,-5,0,1900,210,97,91,0,97,2.0
156973,176,0,3,1900,208,92,90,0,108,2.0
157072,176,-2,5,1885,205,86,87,0,93,2.0
157172,176,0,-1,1986,188,85,82,0,86,2.0
157272,176,0,-1,1954,198,85,82,0,81,2.0
157372,48,0,0,2060,191,85,79,0,81,2.0
157472,176,0,-1,2028,193,84,79,0,83,2.0
157572,176,-1,-1,2129,185,84,76,0,77,2.0
157672,176,0,-7,2095,193,86,78,0,84,2.0
157772,176,-2,0,2078,192,85,78,0,90,2.0
157872,48,0,0,2054,195,85,79,0,83,2.0
157972,176,-2,2,2046,182,84,77,0,75,2.0
158072,176,0,2,2038,193,86,80,0,81,2.0
158172,176,2,0,2030,192,86,80,0,75,2.0
158272,48,0,0,2122,191,85,79,0,75,2.0
158372,176,1,-4,2097,193,87,81,0,84,2.0
158473,176,1,0,2088,197,87,81,0,88,2.0
158572,48,0,0,2072,200,88,82,0,92,2.0
158673,176,0,-1,2167,213,92,85,0,94,2.0
158772,176,0,-1,2150,225,96,88,0,98,2.0
158872,176,0,-2,2284,218,98,88,0,105,2.0
158972,176,-1,-4,2577,221,105,93,0,116,2.0
159072,176,1,-4,2909,221,110,98,0,123,2.0
159172,176,1,-2,3054,230,115,104,0,125,2.0
159272,176,0,-3,2994,229,115,102,0,115,2.0
159372,176,1,-5,2936,226,114,101,0,114,2.0
159472,176,1,-3,3094,223,112,100,0,117,2.0
159572,176,5,-4,3261,191,99,86,0,110,2.0
159672,176,-1,-5,3210,184,100,84,0,108,2.0
159772,176,-1,-8,3148,183,99,83,0,106,2.0
159872,176,-3,-8,3306,195,103,90,0,111,2.0
159972,176,-1,-5,3052,194,100,86,0,100,2.0
160072,176,0,-8,3217,190,104,87,0,113,2.0
160172,176,1,-5,3168,186,106,89,0,116,2.0
160272,176,2,-2,2602,196,100,84,0,100,2.0
160372,176,2,-4,2262,197,94,80,0,95,2.0
160472,176,2,-3,2113,196,91,79,0,87,2.0
160572,176,0,-6,2218,196,93,85,0,84,2.0
160672,176,0,-3,2330,210,97,92,0,90,2.0
160772,176,0,-5,2286,211,103,96,0,86,2.0
160872,176,0,-1,2390,224,116,102,0,93,2.0
160972,48,0,0,2085,218,110,97,0,87,2.0
161072,48,0,0,1940,230,112,100,0,86,2.0
161173,176,1,2,1813,226,107,96,0,79,2.0
161272,176,-1,0,1792,225,103,96,0,84,2.0
161372,48,0,0,1897,217,92,95,0,95,2.0
161472,176,-1,-1,1883,228,92,99,0,96,2.0
161572,176,-1,-2,1868,225,93,98,0,96,2.0
161672,176,0,-2,1969,230,95,100,0,100,2.0
161772,176,3,-11,2060,188,83,77,0,89,2.0
161872,176,1,5,2036,193,86,78,0,89,2.0
161972,176,0,15,1902,196,86,83,0,83,2.0
162072,176,0,5,1888,193,86,83,0,73,2.0
162172,176,0,-4,1865,187,93,80,0,75,2.0
162272,176,-2,0,1844,194,95,83,0,76,2.0
162372,176,-8,-8,1959,197,95,87,0,79,2.0
162472,176,-3,-3,2064,189,85,86,0,86,2.0
162572,176,6,-12,2055,205,88,88,0,89,2.0
162672,176,-5,-6,2159,212,90,84,0,93,2.0
162775,176,-1,-1,2127,221,90,86,0,99,2.0
162874,176,5,32,1856,204,87,90,0,106,2.0
162974,176,-9,0,1842,237,106,99,0,123,2.0
163074,176,-1,13,1497,255,87,90,0,104,2.0
163173,176,-24,-6,1075,255,75,80,0,112,2.0
163273,176,0,1,1279,146,80,66,0,105,2.0
163373,176,0,7,1039,255,65,71,0,50,2.0
163473,176,-4,9,1244,255,62,52,0,29,2.0
163573,176,-1,-3,1583,255,64,59,0,39,2.0
163673,176,-3,-2,2140,71,61,38,0,11,2.0
163773,176,7,3,2565,255,65,52,0,31,2.0
163872,176,-5,4,2895,200,65,47,0,27,2.0
163972,176,-8,1,3255,255,67,54,0,26,2.0
164072,176,8,-2,3418,255,73,74,0,45,2.0
164173,176,1,0,3602,255,73,75,0,47,2.0
164273,176,3,1,3325,255,74,79,0,48,2.0
164372,176,-21,-6,3724,79,64,41,0,13,2.0
164472,48,0,0,3451,255,72,74,0,44,2.0
164572,176,4,-16,3396,255,71,73,0,46,2.0
164672,176,4,-1,3160,255,72,75,0,52,2.0
164772,176,-4,2,3539,255,69,64,0,39,2.0
164872,176,4,3,3716,255,68,60,0,35,2.0
164972,176,-5,2,3458,255,67,55,0,32,2.0
165072,176,4,6,3418,255,73,76,0,45,2.0
165172,176,-8,1,3589,255,71,68,0,41,2.0
165272,176,1,6,3768,255,73,71,0,44,2.0
165372,176,-2,-1,3506,255,71,68,0,47,2.0
165472,176,-16,-2,3464,78,64,41,0,10,2.0
165572,48,0,0,3424,255,73,74,0,47,2.0
165672,176,-3,-1,3384,255,72,73,0,46,2.0
165772,176,-1,-8,3149,255,74,77,0,42,2.0
165872,48,0,0,3306,75,63,40,0,12,2.0
165972,176,5,-3,3702,255,75,76,0,43,2.0
166072,48,0,0,3444,255,74,74,0,48,2.0
166172,176,5,-5,3180,255,74,77,0,45,2.0
166272,48,0,0,3351,76,63,40,0,10,2.0
166372,48,0,0,3312,255,71,72,0,45,2.0
166472,176,3,-4,3709,255,73,76,0,49,2.0
166572,48,0,0,3437,255,74,80,0,52,2.0
166672,176,-14,27,3383,74,62,39,0,12,2.0
166772,176,4,0,3566,255,71,73,0,47,2.0
166872,176,-4,0,3526,255,72,73,0,43,2.0
166972,176,4,-1,3281,255,73,76,0,48,2.0
