timestamp,radio.rssi,radio.isConnected
210739,48,1
210839,48,1
210939,48,1
211039,48,1
211139,48,1
211239,48,1
211339,49,1
211439,49,1
211539,49,1
211639,49,1
211739,46,1
211839,46,1
211939,47,1
212039,47,1
212139,47,1
212239,47,1
212339,45,1
212439,42,1
212539,51,1
212639,40,1
212739,41,1
212839,49,1
212939,41,1
213039,44,1
213139,63,1
213239,46,1
213339,42,1
213439,44,1
213539,52,1
213642,49,1
213742,46,1
213842,46,1
213942,48,1
214040,49,1
214140,48,1
214240,47,1
214339,63,1
214439,44,1
214539,52,1
214639,41,1
214739,42,1
214839,43,1
214939,53,1
215039,50,1
215139,56,1
215239,42,1
215339,44,1
215439,51,1
215539,53,1
215639,45,1
215739,42,1
215839,51,1
215939,42,1
216039,44,1
216139,40,1
216239,53,1
216339,47,1
216439,39,1
216539,41,1
216639,46,1
216739,42,1
216839,41,1
216939,47,1
217039,40,1
217139,42,1
217239,47,1
217339,41,1
217439,41,1
217539,39,1
217639,39,1
217739,42,1
217839,44,1
217939,49,1
218039,44,1
218139,42,1
218239,42,1
218339,47,1
218439,57,1
218539,53,1
218639,39,1
218739,45,1
218839,66,1
218939,69,1
219039,56,1
219139,58,1
219239,57,1
219339,58,1
219439,60,1
219539,61,1
219639,61,1
219739,61,1
219839,61,1
219939,58,1
220039,60,1
220139,61,1
220239,60,1
220339,58,1
220439,61,1
220539,61,1
220639,59,1
220739,59,1
220843,61,1
220942,61,1
221039,58,1
221142,58,1
221241,58,1
221340,58,1
221440,57,1
221539,56,1
221639,57,1
221739,56,1
221839,56,1
221939,57,1
222039,57,1
222139,57,1
222239,56,1
222339,56,1
222439,56,1
222539,56,1
222639,57,1
222739,58,1
222839,56,1
222939,56,1
223039,56,1
223139,56,1
223239,58,1
223339,56,1
223439,58,1
223539,58,1
223639,58,1
223739,57,1
223839,56,1
223939,59,1
224039,60,1
224139,60,1
224239,54,1
224339,54,1
224439,53,1
224539,51,1
224639,56,1
224739,50,1
224839,43,1
224939,39,1
225039,41,1
225139,46,1
225239,50,1
225339,48,1
225439,42,1
225539,43,1
225639,46,1
225739,45,1
225839,42,1
225939,40,1
226039,40,1
226139,43,1
226239,46,1
226339,51,1
226439,48,1
226539,46,1
226639,56,1
226739,45,1
226839,41,1
226939,46,1
227039,43,1
227139,42,1
227257,42,1
227339,45,1
227439,50,1
227539,53,1
227639,44,1
227739,44,1
227839,53,1
227939,51,1
228039,46,1
228139,52,1
228239,45,1
228339,54,1
228439,45,1
228539,46,1
228639,44,1
228739,45,1
228839,49,1
228939,44,1
229039,54,1
229139,41,1
229239,45,1
229339,51,1
229443,43,1
229543,56,1
229642,42,1
229742,44,1
229842,55,1
229942,55,1
230041,57,1
230142,55,1
230240,46,1
230340,43,1
230440,43,1
230540,44,1
230639,46,1
230739,49,1
230839,49,1
230939,51,1
231039,43,1
231139,46,1
231239,45,1
231339,42,1
231439,48,1
231539,43,1
231639,53,1
231739,51,1
231839,52,1
231939,51,1
232039,50,1
232139,49,1
232242,51,1
232339,51,1
