timestamp,mag.x,mag.y,mag.z
154962,0.0,0.0,0.0
155062,0.0,0.0,0.0
155162,0.0,0.0,0.0
155262,0.0,0.0,0.0
155362,0.0,0.0,0.0
155462,0.0,0.0,0.0
155562,0.0,0.0,0.0
155662,0.0,0.0,0.0
155762,0.0,0.0,0.0
155862,0.0,0.0,0.0
155962,0.0,0.0,0.0
156062,0.0,0.0,0.0
156162,0.0,0.0,0.0
156262,0.0,0.0,0.0
156362,0.0,0.0,0.0
156462,0.0,0.0,0.0
156565,0.0,0.0,0.0
156665,0.0,0.0,0.0
156765,0.0,0.0,0.0
156865,0.0,0.0,0.0
156964,0.0,0.0,0.0
157064,0.0,0.0,0.0
157164,0.0,0.0,0.0
157263,0.0,0.0,0.0
157363,0.0,0.0,0.0
157463,0.0,0.0,0.0
157562,0.0,0.0,0.0
157662,0.0,0.0,0.0
157762,0.0,0.0,0.0
157862,0.0,0.0,0.0
157962,0.0,0.0,0.0
158062,0.0,0.0,0.0
158162,0.0,0.0,0.0
158262,0.0,0.0,0.0
158362,0.0,0.0,0.0
158462,0.0,0.0,0.0
158562,0.0,0.0,0.0
158662,0.0,0.0,0.0
158762,0.0,0.0,0.0
158862,0.0,0.0,0.0
158962,0.0,0.0,0.0
159062,0.0,0.0,0.0
159162,0.0,0.0,0.0
159262,0.0,0.0,0.0
159362,0.0,0.0,0.0
159462,0.0,0.0,0.0
159562,0.0,0.0,0.0
159662,0.0,0.0,0.0
159762,0.0,0.0,0.0
159862,0.0,0.0,0.0
159962,0.0,0.0,0.0
160062,0.0,0.0,0.0
160162,0.0,0.0,0.0
160262,0.0,0.0,0.0
160362,0.0,0.0,0.0
160462,0.0,0.0,0.0
160562,0.0,0.0,0.0
160662,0.0,0.0,0.0
160762,0.0,0.0,0.0
160862,0.0,0.0,0.0
160962,0.0,0.0,0.0
161062,0.0,0.0,0.0
161162,0.0,0.0,0.0
161262,0.0,0.0,0.0
161362,0.0,0.0,0.0
161462,0.0,0.0,0.0
161562,0.0,0.0,0.0
161662,0.0,0.0,0.0
161762,0.0,0.0,0.0
161862,0.0,0.0,0.0
161962,0.0,0.0,0.0
162062,0.0,0.0,0.0
162162,0.0,0.0,0.0
162262,0.0,0.0,0.0
162362,0.0,0.0,0.0
162462,0.0,0.0,0.0
162562,0.0,0.0,0.0
162662,0.0,0.0,0.0
162762,0.0,0.0,0.0
162862,0.0,0.0,0.0
162962,0.0,0.0,0.0
163062,0.0,0.0,0.0
163162,0.0,0.0,0.0
163262,0.0,0.0,0.0
163362,0.0,0.0,0.0
163462,0.0,0.0,0.0
163565,0.0,0.0,0.0
163665,0.0,0.0,0.0
163764,0.0,0.0,0.0
163864,0.0,0.0,0.0
163964,0.0,0.0,0.0
164062,0.0,0.0,0.0
164162,0.0,0.0,0.0
164262,0.0,0.0,0.0
164363,0.0,0.0,0.0
164463,0.0,0.0,0.0
