timestamp,ranging.state
210745,0
210845,0
210945,0
211045,0
211145,0
211245,0
211345,0
211445,0
211545,0
211645,0
211745,0
211845,0
211947,0
212046,0
212145,0
212245,0
212346,0
212445,0
212545,0
212645,0
212745,0
212845,0
212945,0
213045,0
213145,0
213245,0
213345,0
213445,0
213545,0
213645,0
213745,0
213845,0
213945,0
214045,0
214145,0
214245,0
214345,0
214445,0
214545,0
214645,0
214745,0
214845,0
214945,0
215045,0
215145,0
215245,0
215345,0
215445,0
215545,0
215645,0
215745,0
215845,0
215945,0
216045,0
216145,0
216248,0
216347,0
216447,0
216547,0
216647,0
216747,0
216846,0
216945,0
217045,0
217145,0
217245,0
217347,0
217447,0
217547,0
217646,0
217746,0
217846,0
217946,0
218046,0
218147,0
218246,0
218346,0
218446,0
218546,0
218646,0
218746,0
218845,0
218945,0
219045,0
219145,0
219246,0
219345,0
219445,0
219545,0
219645,0
219745,0
219845,0
219945,0
220045,0
220145,0
220245,0
220345,0
220445,0
220545,0
220645,0
220745,0
220845,0
220945,0
221045,0
221145,0
221245,0
221345,0
221445,0
221545,0
221645,0
221746,0
221846,0
221946,0
222045,0
222145,0
222245,0
222346,0
222445,0
222545,0
222645,0
222745,0
222845,0
222945,0
223045,0
223145,0
223245,0
223345,0
223445,0
223545,0
223645,0
223745,0
223845,0
223945,0
224045,0
224145,0
224245,0
224345,0
224445,0
224545,0
224645,0
224745,0
224845,0
224945,0
225045,0
225145,0
225245,0
225345,0
225445,0
225545,0
225645,0
225745,0
225845,0
225945,0
226045,0
226145,0
226245,0
226345,0
226445,0
226545,0
226645,0
226745,0
226845,0
226945,0
227045,0
227145,0
227257,0
227345,0
227445,0
227545,0
227645,0
227745,0
227845,0
227945,0
228045,0
228145,0
228245,0
228345,0
228445,0
228545,0
228645,0
228745,0
228845,0
228945,0
229045,0
229145,0
229245,0
229345,0
229445,0
229545,0
229645,0
229745,0
229845,0
229945,0
230045,0
230145,0
230245,0
230345,0
230445,0
230545,0
230645,0
230745,0
230845,0
230945,0
231045,0
231147,0
231245,0
231345,0
231445,0
231545,0
231645,0
231745,0
231845,0
231945,0
232045,0
232145,0
232245,0
232345,0
