timestamp,oa.front,oa.back,oa.up,oa.left,oa.right
154979,0,0,0,0,0
155079,0,0,0,0,0
155179,0,0,0,0,0
155279,0,0,0,0,0
155379,0,0,0,0,0
155479,0,0,0,0,0
155579,0,0,0,0,0
155679,0,0,0,0,0
155779,0,0,0,0,0
155879,0,0,0,0,0
155979,0,0,0,0,0
156079,0,0,0,0,0
156179,0,0,0,0,0
156279,0,0,0,0,0
156379,0,0,0,0,0
156479,0,0,0,0,0
156579,0,0,0,0,0
156679,0,0,0,0,0
156779,0,0,0,0,0
156879,0,0,0,0,0
156979,0,0,0,0,0
157079,0,0,0,0,0
157179,0,0,0,0,0
157279,0,0,0,0,0
157379,0,0,0,0,0
157479,0,0,0,0,0
157579,0,0,0,0,0
157679,0,0,0,0,0
157780,0,0,0,0,0
157882,0,0,0,0,0
157981,0,0,0,0,0
158081,0,0,0,0,0
158180,0,0,0,0,0
158280,0,0,0,0,0
158380,0,0,0,0,0
158479,0,0,0,0,0
158579,0,0,0,0,0
158679,0,0,0,0,0
158779,0,0,0,0,0
158879,0,0,0,0,0
158979,0,0,0,0,0
159079,0,0,0,0,0
159179,0,0,0,0,0
159281,0,0,0,0,0
159379,0,0,0,0,0
159479,0,0,0,0,0
159579,0,0,0,0,0
159680,0,0,0,0,0
159780,0,0,0,0,0
159879,0,0,0,0,0
159979,0,0,0,0,0
160079,0,0,0,0,0
160179,0,0,0,0,0
160279,0,0,0,0,0
160379,0,0,0,0,0
160479,0,0,0,0,0
160579,0,0,0,0,0
160679,0,0,0,0,0
160779,0,0,0,0,0
160879,0,0,0,0,0
160979,0,0,0,0,0
161079,0,0,0,0,0
161179,0,0,0,0,0
161279,0,0,0,0,0
161379,0,0,0,0,0
161479,0,0,0,0,0
161579,0,0,0,0,0
161679,0,0,0,0,0
161779,0,0,0,0,0
161879,0,0,0,0,0
161979,0,0,0,0,0
162079,0,0,0,0,0
162179,0,0,0,0,0
162279,0,0,0,0,0
162379,0,0,0,0,0
162479,0,0,0,0,0
162579,0,0,0,0,0
162679,0,0,0,0,0
162779,0,0,0,0,0
162879,0,0,0,0,0
162979,0,0,0,0,0
163079,0,0,0,0,0
163179,0,0,0,0,0
163279,0,0,0,0,0
163379,0,0,0,0,0
163479,0,0,0,0,0
163579,0,0,0,0,0
163679,0,0,0,0,0
163779,0,0,0,0,0
163879,0,0,0,0,0
163979,0,0,0,0,0
164079,0,0,0,0,0
164179,0,0,0,0,0
164279,0,0,0,0,0
164379,0,0,0,0,0
164479,0,0,0,0,0
164579,0,0,0,0,0
164679,0,0,0,0,0
164782,0,0,0,0,0
164882,0,0,0,0,0
164982,0,0,0,0,0
165081,0,0,0,0,0
165182,0,0,0,0,0
165282,0,0,0,0,0
165380,0,0,0,0,0
165480,0,0,0,0,0
165580,0,0,0,0,0
165679,0,0,0,0,0
165779,0,0,0,0,0
165879,0,0,0,0,0
165979,0,0,0,0,0
166079,0,0,0,0,0
166179,0,0,0,0,0
166279,0,0,0,0,0
166379,0,0,0,0,0
166479,0,0,0,0,0
166579,0,0,0,0,0
166679,0,0,0,0,0
166779,0,0,0,0,0
166879,0,0,0,0,0
166979,0,0,0,0,0
167079,0,0,0,0,0
167179,0,0,0,0,0
167279,0,0,0,0,0
167379,0,0,0,0,0
167479,0,0,0,0,0
167579,0,0,0,0,0
167679,0,0,0,0,0
167779,0,0,0,0,0
167879,0,0,0,0,0
167979,0,0,0,0,0
168079,0,0,0,0,0
168179,0,0,0,0,0
168279,0,0,0,0,0
168379,0,0,0,0,0
168479,0,0,0,0,0
168579,0,0,0,0,0
168679,0,0,0,0,0
168779,0,0,0,0,0
168879,0,0,0,0,0
168979,0,0,0,0,0
