timestamp,ring.fadeTime
210750,0.5
210850,0.5
210950,0.5
211050,0.5
211150,0.5
211250,0.5
211350,0.5
211450,0.5
211550,0.5
211650,0.5
211750,0.5
211850,0.5
211950,0.5
212053,0.5
212150,0.5
212252,0.5
212352,0.5
212450,0.5
212550,0.5
212650,0.5
212750,0.5
212850,0.5
212950,0.5
213050,0.5
213150,0.5
213250,0.5
213350,0.5
213450,0.5
213550,0.5
213650,0.5
213750,0.5
213850,0.5
213950,0.5
214050,0.5
214150,0.5
214250,0.5
214350,0.5
214450,0.5
214550,0.5
214650,0.5
214750,0.5
214850,0.5
214950,0.5
215050,0.5
215150,0.5
215250,0.5
215350,0.5
215450,0.5
215550,0.5
215650,0.5
215750,0.5
215850,0.5
215950,0.5
216050,0.5
216150,0.5
216250,0.5
216350,0.5
216450,0.5
216550,0.5
216650,0.5
216750,0.5
216850,0.5
216950,0.5
217050,0.5
217150,0.5
217250,0.5
217350,0.5
217450,0.5
217550,0.5
217650,0.5
217750,0.5
217850,0.5
217950,0.5
218050,0.5
218150,0.5
218250,0.5
218350,0.5
218453,0.5
218553,0.5
218653,0.5
218750,0.5
218850,0.5
218953,0.5
219050,0.5
219150,0.5
219250,0.5
219353,0.5
219452,0.5
219552,0.5
219652,0.5
219752,0.5
219850,0.5
219950,0.5
220050,0.5
220150,0.5
220250,0.5
220350,0.5
220450,0.5
220550,0.5
220650,0.5
220750,0.5
220850,0.5
220950,0.5
221050,0.5
221150,0.5
221250,0.5
221350,0.5
221450,0.5
221550,0.5
221650,0.5
221750,0.5
221850,0.5
221950,0.5
222050,0.5
222150,0.5
222250,0.5
222350,0.5
222450,0.5
222550,0.5
222650,0.5
222750,0.5
222850,0.5
222950,0.5
223050,0.5
223150,0.5
223250,0.5
223350,0.5
223450,0.5
223550,0.5
223650,0.5
223750,0.5
223850,0.5
223950,0.5
224050,0.5
224150,0.5
224250,0.5
224353,0.5
224453,0.5
224553,0.5
224653,0.5
224752,0.5
224852,0.5
224952,0.5
225052,0.5
225150,0.5
225250,0.5
225350,0.5
225450,0.5
225550,0.5
225650,0.5
225750,0.5
225850,0.5
225950,0.5
226050,0.5
226150,0.5
226250,0.5
226350,0.5
226450,0.5
226550,0.5
226653,0.5
226750,0.5
226850,0.5
226952,0.5
227052,0.5
227152,0.5
227257,0.5
227351,0.5
227450,0.5
227550,0.5
227650,0.5
227750,0.5
227850,0.5
227950,0.5
228050,0.5
228150,0.5
228250,0.5
228350,0.5
228450,0.5
228550,0.5
228650,0.5
228750,0.5
228850,0.5
228950,0.5
229050,0.5
229150,0.5
229250,0.5
229350,0.5
229450,0.5
229550,0.5
229650,0.5
229750,0.5
229850,0.5
229950,0.5
230050,0.5
230150,0.5
230250,0.5
230350,0.5
230450,0.5
230550,0.5
230650,0.5
230750,0.5
230850,0.5
230950,0.5
231050,0.5
231150,0.5
231250,0.5
231350,0.5
231450,0.5
231550,0.5
231650,0.5
231750,0.5
231850,0.5
231950,0.5
232050,0.5
232150,0.5
232250,0.5
232350,0.5
