timestamp,posCtrlIndi.cmd_phi,posCtrlIndi.cmd_theta
181976,0.0,0.0
182076,0.0,0.0
182176,0.0,0.0
182276,0.0,0.0
182376,0.0,0.0
182476,0.0,0.0
182576,0.0,0.0
182676,0.0,0.0
182776,0.0,0.0
182876,0.0,0.0
182976,0.0,0.0
183076,0.0,0.0
183176,0.0,0.0
183278,0.0,0.0
183379,0.0,0.0
183478,0.0,0.0
183578,0.0,0.0
183677,0.0,0.0
183777,0.0,0.0
183876,0.0,0.0
183976,0.0,0.0
184076,0.0,0.0
184176,0.0,0.0
184276,0.0,0.0
184376,0.0,0.0
184476,0.0,0.0
184576,0.0,0.0
184676,0.0,0.0
184776,0.0,0.0
184876,0.0,0.0
184976,0.0,0.0
185076,0.0,0.0
185176,0.0,0.0
185276,0.0,0.0
185376,0.0,0.0
185476,0.0,0.0
185576,0.0,0.0
185676,0.0,0.0
185776,0.0,0.0
185876,0.0,0.0
185976,0.0,0.0
186076,0.0,0.0
186176,0.0,0.0
186276,0.0,0.0
186376,0.0,0.0
186476,0.0,0.0
186576,0.0,0.0
186676,0.0,0.0
186776,0.0,0.0
186876,0.0,0.0
186976,0.0,0.0
187076,0.0,0.0
187176,0.0,0.0
187276,0.0,0.0
187376,0.0,0.0
187476,0.0,0.0
187576,0.0,0.0
187676,0.0,0.0
187776,0.0,0.0
187876,0.0,0.0
187976,0.0,0.0
188076,0.0,0.0
188178,0.0,0.0
188276,0.0,0.0
188376,0.0,0.0
188476,0.0,0.0
188578,0.0,0.0
188678,0.0,0.0
188778,0.0,0.0
188878,0.0,0.0
188978,0.0,0.0
189078,0.0,0.0
189176,0.0,0.0
189278,0.0,0.0
189376,0.0,0.0
189478,0.0,0.0
189578,0.0,0.0
189678,0.0,0.0
189778,0.0,0.0
189878,0.0,0.0
189978,0.0,0.0
190078,0.0,0.0
190178,0.0,0.0
190276,0.0,0.0
190376,0.0,0.0
190476,0.0,0.0
190576,0.0,0.0
190676,0.0,0.0
190776,0.0,0.0
190876,0.0,0.0
190976,0.0,0.0
191077,0.0,0.0
191176,0.0,0.0
191276,0.0,0.0
191376,0.0,0.0
191476,0.0,0.0
191576,0.0,0.0
191676,0.0,0.0
191776,0.0,0.0
191908,0.0,0.0
191976,0.0,0.0
192076,0.0,0.0
192176,0.0,0.0
192276,0.0,0.0
192376,0.0,0.0
192476,0.0,0.0
192576,0.0,0.0
192676,0.0,0.0
192776,0.0,0.0
192876,0.0,0.0
192976,0.0,0.0
193076,0.0,0.0
193176,0.0,0.0
193278,0.0,0.0
193376,0.0,0.0
193478,0.0,0.0
193577,0.0,0.0
193676,0.0,0.0
193777,0.0,0.0
193876,0.0,0.0
193977,0.0,0.0
194076,0.0,0.0
194176,0.0,0.0
194276,0.0,0.0
194376,0.0,0.0
194476,0.0,0.0
194576,0.0,0.0
194676,0.0,0.0
194776,0.0,0.0
194876,0.0,0.0
194976,0.0,0.0
195076,0.0,0.0
195176,0.0,0.0
195276,0.0,0.0
195376,0.0,0.0
195476,0.0,0.0
195576,0.0,0.0
195676,0.0,0.0
195776,0.0,0.0
195876,0.0,0.0
195976,0.0,0.0
196076,0.0,0.0
196176,0.0,0.0
196276,0.0,0.0
196376,0.0,0.0
196476,0.0,0.0
196576,0.0,0.0
196676,0.0,0.0
196776,0.0,0.0
196876,0.0,0.0
196976,0.0,0.0
197076,0.0,0.0
197176,0.0,0.0
197276,0.0,0.0
197376,0.0,0.0
197476,0.0,0.0
197576,0.0,0.0
197676,0.0,0.0
197776,0.0,0.0
197876,0.0,0.0
197976,0.0,0.0
198076,0.0,0.0
198176,0.0,0.0
198276,0.0,0.0
198376,0.0,0.0
198476,0.0,0.0
198576,0.0,0.0
198676,0.0,0.0
198776,0.0,0.0
198876,0.0,0.0
198976,0.0,0.0
199076,0.0,0.0
199176,0.0,0.0
199276,0.0,0.0
199376,0.0,0.0
199476,0.0,0.0
199576,0.0,0.0
199676,0.0,0.0
199776,0.0,0.0
199876,0.0,0.0
199976,0.0,0.0
200076,0.0,0.0
200176,0.0,0.0
200276,0.0,0.0
200376,0.0,0.0
200476,0.0,0.0
200576,0.0,0.0
200676,0.0,0.0
200777,0.0,0.0
200876,0.0,0.0
200976,0.0,0.0
201076,0.0,0.0
201176,0.0,0.0
201276,0.0,0.0
201376,0.0,0.0
201476,0.0,0.0
201576,0.0,0.0
201676,0.0,0.0
201776,0.0,0.0
201876,0.0,0.0
201976,0.0,0.0
202076,0.0,0.0
202176,0.0,0.0
202276,0.0,0.0
202376,0.0,0.0
202476,0.0,0.0
202576,0.0,0.0
202676,0.0,0.0
202776,0.0,0.0
202876,0.0,0.0
202976,0.0,0.0
203076,0.0,0.0
203176,0.0,0.0
203276,0.0,0.0
203376,0.0,0.0
203476,0.0,0.0
203576,0.0,0.0
