timestamp,gyro.xRaw,gyro.yRaw,gyro.zRaw
127499,2,1,-2
127599,1,-3,6
127699,7,-1,2
127799,0,0,4
127899,3,-1,5
127999,4,5,-4
128099,1,8,7
128199,3,-2,8
128299,3,2,-1
128399,-4,-1,-10
128499,-16,-161,-6
128599,-53,-151,-133
128699,-31,-25,56
128799,99,249,85
128899,84,-365,188
128999,-406,37,180
129099,133,42,186
129199,96,174,123
129299,-89,187,29
129399,25,49,4
129499,202,140,16
129599,-48,-167,49
129699,4,-35,-16
129799,69,-91,20
129899,-30,-373,-3
129999,-62,-195,-6
130099,40,-102,-55
130199,131,111,-49
130299,-210,135,-53
130399,-271,43,-51
130499,133,187,-26
130599,-125,3,-37
130699,66,115,12
130799,301,117,4
130899,-93,-9,-27
130999,102,148,-13
131099,-137,410,-8
131199,182,-317,20
131299,173,-42,-24
131399,98,-32,-13
131499,-2,2,15
131599,-35,113,-13
131699,30,-50,11
131799,-77,-46,-2
131899,-110,-26,-26
131999,-38,-45,-1
132099,43,-60,10
132199,15,-107,17
132299,-17,-39,13
132399,10,-41,16
132499,49,-21,38
132599,19,-61,0
132699,7,-80,-19
132799,-26,-32,-24
132902,-63,-37,-23
132999,-80,-322,-37
133102,269,-334,-35
133201,98,816,2
133302,274,364,28
133400,96,-153,-5
133499,-92,-95,-12
133600,-248,-322,-8
133699,-84,-1693,-16
133799,-33,-716,3
133899,311,531,-32
133999,-267,3229,67
134099,453,902,63
134199,147,-256,-21
134299,-8,-231,-33
134399,249,-630,-17
134499,-28,-837,11
134599,-109,-505,10
134699,-17,-236,7
134799,50,56,-7
134899,-238,-93,69
134999,-38,144,-19
135099,96,381,-49
135199,34,167,-9
135299,-10,348,-35
135399,69,-49,-28
135499,-73,-216,220
135599,-61,219,376
135699,806,635,-60
135799,-2856,-1332,276
135902,-10,23,46
135999,0,5,-33
136102,-4,-17,-14
136202,21,-14,-13
136300,-3,3,-3
136402,12,-2,-11
136500,-3,-1,9
136600,0,3,3
136700,4,-3,5
136800,-2,5,1
136900,6,-3,-2
137000,0,-3,-2
137100,-2,0,4
137199,3,-4,5
137300,4,-5,-3
137399,-2,9,-2
137500,-2,3,1
137600,-4,7,1
137700,1,-1,4
137799,-3,2,6
137899,3,2,-6
137999,3,0,-7
138099,2,-2,3
138199,1,-1,0
138299,4,-6,-2
138399,-4,0,3
138499,-2,2,-2
138599,5,5,2
138699,2,0,1
138799,0,-2,1
138899,0,-2,-3
138999,6,-8,1
139099,-5,2,-5
139199,-1,-1,5
139299,1,-12,-3
139399,-2,-2,2
139499,3,-6,4
139599,5,-2,3
139699,1,-3,1
139799,-1,0,6
139899,9,-1,-2
139999,3,-5,2
140099,1,0,2
140199,-3,0,7
140299,-2,0,1
140399,-2,0,-4
140499,-31,6,120
140599,51,-8,508
140699,-61,-313,68
140799,-293,-130,162
140899,-350,-296,-9
140999,638,83,19
141099,-21,-183,28
141199,-202,-264,-12
141299,346,116,74
141399,-110,1636,11
141499,98,236,-30
141599,146,-318,41
141699,40,-294,77
141799,25,-302,40
141899,14,-400,-21
141999,-93,-198,-34
142099,-257,-367,13
142199,-61,-89,-37
142299,-66,-21,-33
142399,-36,-148,-16
142499,271,270,30
142599,-70,172,22
142699,-43,-1562,-48
142799,-42,2068,-6
142899,170,798,-23
142999,-283,1144,-78
143099,525,-447,-52
143199,224,-325,7
143299,94,-755,53
143399,-1089,-2360,-68
143499,376,-667,-49
143599,-278,1892,-45
143699,118,6,10
143799,58,1049,78
143899,-118,-172,11
144002,336,-147,-27
144102,-34,-343,-73
144202,-47,-265,-73
144301,-87,-286,-24
144399,63,-2,5
144502,43,63,49
144599,-57,31,19
144699,28,164,27
144799,183,453,5
144902,-406,-305,-31
144999,96,151,9
145100,14,394,104
145199,66,220,85
145299,107,119,-41
145399,174,68,-37
145499,123,103,-45
145599,215,90,-33
145699,-3,-239,-37
145799,106,21,-27
145899,65,56,-16
145999,-27,81,23
146099,-235,78,11
146199,-363,111,-23
146299,-404,56,1
146399,-283,-15,-1
146499,-74,-128,0
146599,175,31,-24
146699,385,-137,-10
146799,456,52,1
146899,138,-30,-12
146999,1,-83,-40
147099,201,51,17
147199,58,-227,-4
147299,-154,-247,31
147399,44,140,28
147499,-124,-6,17
147599,-88,581,6
147699,3,197,-55
147799,-37,170,-23
147899,47,-218,38
147999,16,-350,-85
148099,-39,-289,-52
148199,-408,-669,-6
148299,-371,-790,26
148399,-2458,-4656,-224
148499,964,-584,-504
148599,-56,-72,4
148699,36,-9,59
148799,12,7,-22
148899,9,4,1
148999,-7,-6,7
149099,-14,-19,-2
