timestamp,stateEstimateZ.ax,stateEstimateZ.ay,stateEstimateZ.az,stateEstimateZ.quat,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw
210782,-34,29,9811,3759145115,0,0,-1
210882,2,-21,9825,3758098586,2,-1,2
210982,6,11,9829,3759147163,6,4,-4
211082,-10,-2,9827,3759146136,0,4,-1
211182,-54,-19,9812,3758620825,1,4,5
211282,-20,13,9810,3759145113,4,0,1
211382,-37,-36,9822,3221225624,1,2,-3
211482,-51,-8,9812,3759145110,-2,1,-1
211582,-43,-1,9801,3758620821,0,-2,1
211682,-51,40,9832,3760193687,6,2,1
211782,7,-54,10008,3221228695,-23,2,13
211882,72,-206,9897,3760194709,18,-11,-312
211982,-66,351,9690,3761769616,20,-21,-133
212082,-213,229,10397,3763869833,-179,190,-144
212182,-710,252,11327,3763887227,-559,-54,-454
212282,28,-236,11695,3226995816,71,-254,-543
212385,129,416,11229,3759147089,87,-259,-676
212485,121,-160,10552,3222281273,-126,96,-596
212585,251,264,9994,3758102566,151,-74,-443
212685,525,-1,9480,3225430041,202,-247,-278
212784,463,-133,9172,3230677008,213,-86,-170
212884,481,-236,8661,3234870284,277,5,-73
212984,319,-233,9064,3240109065,-63,474,13
213083,131,-454,8679,3243245577,100,-321,-8
213183,179,-370,9604,3241152521,-24,50,-43
213283,367,-86,9956,3239055368,-37,104,-13
213382,92,-37,9727,3235906567,-74,84,1
213483,58,186,9185,3231191047,-419,366,3
213583,-268,276,9363,3762829319,-393,116,5
213682,-140,416,9414,3775415302,-188,-96,10
213782,-300,761,9923,3780654086,24,-265,0
213882,126,761,10251,3778551814,138,-389,13
213982,891,475,10933,3770701831,361,-718,43
214082,883,-102,10264,3760231432,190,-98,18
214182,862,-94,9424,3228603399,-3,489,-3
214282,583,250,9083,3228587015,46,271,-8
214382,507,-34,9719,3226489863,-71,61,-23
214482,507,59,9924,3223339015,-123,-41,-24
214582,513,660,9921,3221240838,53,79,-24
214682,383,-108,9614,3221239812,30,10,-38
214782,104,-229,9764,3223335939,27,-6,-37
214882,40,-233,9669,3223335938,43,-31,-19
214982,251,7,9820,3223336961,-23,44,-10
215082,341,77,9813,3223335937,20,-16,-11
215182,208,-68,9661,3223334913,-14,-9,-23
215282,251,88,9937,3222286336,-12,61,-2
215382,358,454,9993,3759155200,-28,16,13
215482,-124,-214,9854,3222282240,-50,51,-19
215582,42,614,10007,3762297345,-127,39,0
215682,-335,-28,9906,3764393473,-198,36,1
215782,-206,440,10034,3768585729,-113,21,10
215882,-98,751,9826,3769632256,36,60,12
215982,-535,-315,9611,3768058880,114,78,40
216082,-304,616,9883,3764917250,150,73,39
216182,-257,-5,9899,3224901636,469,195,50
216282,-784,-557,10031,3238549510,586,267,65
216382,-399,-521,9302,3250072584,-200,-373,1
216482,-214,-468,9379,3249017862,-160,-123,-81
216582,-326,-410,9810,3237481475,-223,138,-114
216682,-395,-340,9641,3231194625,-287,38,-64
216782,-328,270,10085,3221761539,-83,99,-3
216882,-385,856,10242,3765975555,-149,71,8
216982,-491,249,10736,3764926978,106,-72,41
217082,-481,515,11332,3761781248,284,57,46
217182,-254,314,10759,3224907777,9,-112,-2
217282,-254,646,9470,3760731648,-1147,2029,-68
217382,-1604,618,8862,3774421505,634,334,-78
217482,-1389,609,8113,3776511493,-542,-3075,24
217582,88,537,8334,3778544135,183,2,64
217682,861,1188,9909,3774901766,191,-513,42
217782,670,192,10935,3767561733,18,106,27
217882,517,408,10931,3761263108,196,455,21
217982,260,298,10278,3221232132,93,436,-5
218082,-116,204,9325,3227002371,56,380,4
218182,-469,-66,8469,3228062210,28,225,18
218282,-621,80,7647,3224924673,-104,123,11
218382,-468,-2,7401,3223876098,-108,22,-41
218482,-474,99,8375,3221776899,37,-174,-34
218582,-514,392,9725,3762839046,-223,80,-139
218682,-385,33,11014,3222816268,-42,-122,-192
218782,-94,221,6529,3772266005,-439,-173,-285
218882,148,-414,3318,3264217630,1655,-68,-42
218982,-2454,-2442,18015,3229098542,-708,4001,-1549
219082,-381,-29,9440,3225945657,25,6,-29
219182,225,182,9807,3223327289,14,2,54
219282,108,204,9923,3223847481,-4,12,-96
219382,-142,281,9737,3223857722,37,24,19
219482,134,79,9800,3222806075,-5,-9,46
219582,-211,282,9921,3224902203,-2,-6,-28
219685,-11,-10,9850,3225950779,-12,-13,28
219782,-74,-33,9845,3228046907,5,4,11
219884,48,184,9854,3226997307,-29,-30,1
219982,-64,0,9788,3228046907,33,34,0
220084,29,58,9859,3230142011,-4,-7,0
220184,118,-2,9820,3229614651,0,-1,1
220282,-119,-6,9830,3231195706,0,0,0
220383,-178,-69,9795,3233293883,-1,-3,-1
220483,-200,13,9820,3230150203,0,-2,1
220583,-141,29,9826,3229098555,0,-1,-1
220683,-75,7,9825,3229096507,-2,-4,1
220782,-67,43,9834,3229095483,2,4,4
220882,-5,59,9821,3228045883,0,3,-1
220982,15,-40,9818,3231190587,-2,-1,0
221082,-1,-11,9810,3230142010,0,0,-3
221182,63,-42,9821,3231188538,0,2,0
221282,37,-21,9802,3230140986,3,0,-3
221382,17,30,9823,3228044858,3,0,0
221482,22,39,9832,3228044859,0,1,0
221582,150,-60,9813,3231713850,2,5,0
221682,144,8,9811,3228568122,2,1,0
221782,-117,-17,9806,3230147130,0,1,1
221882,-208,18,9819,3230150203,0,4,0
221982,-153,0,9819,3230147131,-1,0,-2
222082,-116,-10,9845,3230147131,0,-2,3
222185,-75,22,9802,3229096507,2,5,-1
222285,-27,-34,9842,3231191611,2,1,4
222385,-46,-50,9820,3231191610,0,2,1
222484,-3,27,9814,3229093434,-1,0,-2
222582,0,-12,9811,3230142010,-1,-5,0
222684,-9,-5,9806,3230142010,3,2,-3
222784,-13,-8,9810,3229094458,2,-1,3
222882,-14,3,9819,3229094458,0,1,-3
222984,3,-14,9817,3230140986,6,4,1
223084,24,-5,9811,3230140986,0,1,2
223184,-5,-22,9809,3230143034,0,-4,0
223285,-29,-86,9795,3233288762,0,0,-2
223385,-18,-45,9799,3231191610,-1,9,-1
223485,-49,-26,9824,3231191610,0,0,-2
223584,-26,-67,9813,3232240186,0,2,0
223684,-11,-21,9805,3231191610,2,-1,0
223784,96,48,9780,3228045881,12,1,26
223884,232,448,9847,3225945656,-23,-15,71
223984,277,-5,9577,3223848495,-168,-57,635
224084,-80,155,10337,3225944614,-167,-51,100
224184,-63,225,9994,3761771042,283,65,-26
224284,-10,249,9705,3759675939,-273,-112,-14
224384,270,-29,9890,3759152675,-16,-47,45
224484,65,386,10572,3759671839,83,48,112
224584,-154,-7,10671,3758624281,87,368,160
224684,-88,-32,10565,3760725523,-113,-237,186
224784,-314,-187,10326,3226999309,76,312,177
224884,67,-27,10095,3229092358,95,-101,163
224984,-187,-374,10074,3226996736,-186,-256,169
225084,-147,-145,10066,3222275077,-122,-6,115
225184,234,366,9726,3760197640,-92,-46,44
225284,405,312,9378,3765442569,-116,5,18
225384,132,333,9157,3766489098,-122,65,12
225484,85,471,9458,3767536649,0,-14,0
225584,379,228,9323,3765441545,-6,57,10
225683,518,439,9207,3764389897,124,-78,14
225783,84,266,9663,3765961738,-228,96,1
225883,70,696,10024,3770159114,-171,166,4
225984,-74,506,9835,3775409162,-19,76,-34
226084,-107,635,9539,3773313033,40,105,-48
226184,69,122,9554,3765971976,203,69,-26
226283,-185,-66,9670,3759678472,264,-10,-25
226384,166,-242,9922,3235386376,312,-227,10
226483,-74,-327,9898,3241678857,287,-57,2
226582,191,-589,10060,3250062346,117,36,-16
226682,227,-739,10675,3253209098,563,-224,15
226782,373,-1640,11419,3270513674,386,-80,-19
226883,477,-796,10056,3268417545,-810,1801,-62
226983,-1582,-767,8591,3260614663,-58,-207,154
227083,425,212,8252,3225421834,-967,-1399,98
227184,414,629,8890,3763349515,-484,-469,35
227284,974,724,9527,3785383947,-25,746,-40
227384,249,915,10214,3789562890,-98,257,-39
227484,-422,957,10443,3789040649,-10,600,-38
227584,-605,804,10383,3781717000,235,554,-40
227683,-959,532,9907,3774389256,112,358,-40
227784,-1193,324,9690,3768105990,125,-19,-29
227884,-977,678,9993,3764961285,122,-33,-22
227984,-929,5,9885,3759709189,23,-90,-10
228084,-734,-157,10086,3759703045,-39,-200,0
228184,-373,300,10726,3763892229,86,102,-11
228282,-477,293,9931,3761787909,-72,-1062,-33
228382,395,-81,9196,3759145988,-51,-255,-33
228484,1050,481,10120,3761261571,152,-77,-7
228582,689,-115,9834,3222293507,-62,-79,-38
228684,652,455,9810,3761255427,-757,312,-19
228782,507,226,9211,3772786691,235,-350,-15
228882,642,855,9223,3771747331,70,-86,-10
228984,547,-103,9085,3768603651,331,609,-7
229083,669,131,10142,3222280194,189,-103,-57
229183,585,-77,10347,3230667777,84,44,-40
229283,278,-290,10154,3231718400,226,12,-3
229384,293,-213,9937,3235912705,75,-51,0
229483,433,-9,9690,3236961281,-146,-178,22
229583,650,-145,9549,3231727618,-219,-200,22
229682,895,268,9664,3222294531,-296,-63,29
229782,1009,517,10139,3766510596,-313,-138,-7
229882,676,121,9737,3772802052,65,188,-5
229982,715,363,9769,3773846531,-240,-11,7
230082,672,422,10043,3774889987,107,7,8
230182,722,718,10116,3773841411,47,272,1
230282,345,274,9954,3767546882,220,-60,-35
230382,252,-66,9746,3762298882,216,-14,-12
230482,239,-50,9606,3227527169,43,236,-15
230582,335,-221,9237,3232768000,282,20,-19
230682,-172,-437,8974,3235382784,-57,311,0
230782,-62,-279,8439,3234339841,-63,3,8
230882,250,466,8050,3229101057,-44,-5,44
230982,154,-58,8285,3226998785,-177,-49,-35
231082,123,189,8907,3223852032,-96,-72,-1
231184,-205,196,9051,3758632961,7,-580,6
231282,748,-38,10907,3762318849,287,-16,-66
231384,927,210,11616,3222302212,-175,-13,-28
231483,196,67,5741,3768594434,-389,840,309
231583,14860,-9170,7068,3777531920,5300,-16880,964
231682,111,471,1864,3861916713,-2804,-311,701
231783,-223,-1199,3080,3760729143,321,-1404,-693
231883,22,13,9846,3759670324,22,-12,-48
231983,60,-27,9835,3760194612,26,-15,-50
232083,-40,-17,9818,3760194612,0,0,-42
232183,-93,-83,9896,3760194612,-19,0,-21
232282,2,173,9882,3760194612,-17,5,-13
232382,121,13,9790,3761244212,15,5,-26
