timestamp,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
210737,0,0,0,0
210837,0,0,0,0
210937,0,0,0,0
211037,0,0,0,0
211137,0,0,0,0
211237,0,0,0,0
211337,0,0,0,0
211437,0,0,0,0
211537,0,0,0,0
211637,0,0,0,0
211737,43759,42066,44226,43922
211837,41309,41482,43364,41054
211937,46385,40042,37180,44625
212037,46213,43280,47750,44827
212137,43096,50996,54850,44273
212237,54942,50624,49626,47457
212337,50220,48100,54209,49074
212437,50603,47709,51306,47406
212537,48640,45588,49382,46332
212637,46543,43944,47578,45115
212737,44774,43425,46477,43047
212837,43349,42391,46358,42479
212937,42098,41085,45483,41231
213037,43532,40925,44557,41139
213137,45980,45745,50302,45703
213237,47589,45047,49329,47023
213337,45442,44067,48057,44402
213437,44211,41979,46104,42824
213537,45145,43411,47206,43279
213637,46622,44075,48082,44996
213737,47541,45729,49819,46042
213837,47841,45889,49926,46624
213937,51619,47355,51934,50165
214037,48794,46425,50811,44879
214137,46290,43303,45327,41556
214237,43841,42408,46042,41373
214337,47304,42941,49657,48185
214439,46462,46144,49890,44262
214539,46455,45231,48302,43840
214638,45785,43997,47766,44237
214738,46489,45316,48346,44378
214838,46098,45180,47933,43899
214938,46092,44847,47888,44300
215037,46510,45143,47923,44580
215137,46089,46299,48445,43954
215237,46784,46526,49294,44821
215337,47006,46347,49530,45209
215437,46347,46065,48720,45184
215537,45693,46115,50109,46633
215637,45563,46057,49436,44494
215737,45359,45701,49282,44795
215837,45244,45620,49264,44361
215937,46575,45190,48368,44562
216037,46568,45082,49469,43331
216137,48735,45345,48910,43219
216237,47063,46969,52435,42947
216337,47324,37639,45373,43410
216437,45261,44381,46955,42269
216537,45783,43879,49437,46002
216637,47232,46486,47738,44278
216737,47363,46591,48676,46340
216837,46356,46019,50511,46843
216937,50549,49807,52538,48895
217037,51441,50416,55475,51650
217137,48390,46408,51769,48198
217237,45857,34820,35312,41370
217337,41973,42915,44548,38687
217437,31325,39245,45456,34770
217537,42509,44386,45491,41167
217637,50496,42432,46518,50695
217737,48549,50307,52471,47712
217837,48672,47744,50668,47114
217937,47320,45596,49756,46677
218037,43909,43206,46176,41481
218137,41842,38876,42109,39191
218237,37324,34846,41197,35762
218337,41716,37983,41761,39803
218437,44273,41836,45486,42637
218537,46914,46647,49215,47206
218637,51991,50518,47766,50324
218737,0,0,0,0
218837,0,0,0,0
218937,0,0,0,0
219037,0,0,0,0
219137,0,0,0,0
219237,0,0,0,0
219337,0,0,0,0
219437,0,0,0,0
219537,0,0,0,0
219637,0,0,0,0
219737,0,0,0,0
219837,0,0,0,0
219937,0,0,0,0
220037,0,0,0,0
220137,0,0,0,0
220237,0,0,0,0
220337,0,0,0,0
220437,0,0,0,0
220537,0,0,0,0
220637,0,0,0,0
220737,0,0,0,0
220837,0,0,0,0
220937,0,0,0,0
221037,0,0,0,0
221137,0,0,0,0
221237,0,0,0,0
221337,0,0,0,0
221437,0,0,0,0
221537,0,0,0,0
221637,0,0,0,0
221738,0,0,0,0
221839,0,0,0,0
221939,0,0,0,0
222038,0,0,0,0
222138,0,0,0,0
222238,0,0,0,0
222338,0,0,0,0
222437,0,0,0,0
222537,0,0,0,0
222637,0,0,0,0
222737,0,0,0,0
222837,0,0,0,0
222937,0,0,0,0
223037,0,0,0,0
223137,0,0,0,0
223237,0,0,0,0
223337,0,0,0,0
223437,0,0,0,0
223537,0,0,0,0
223637,0,0,0,0
223737,41227,46653,45879,41653
223837,45041,38216,39222,43961
223937,42095,43817,47969,41804
224037,44085,43841,44809,40812
224137,43649,44696,50102,43775
224237,41363,42723,42352,40668
224337,45399,46827,45680,46603
