timestamp,lighthouse.x,lighthouse.y,lighthouse.z,lighthouse.delta,lighthouse.bsGeoVal,lighthouse.bsCalVal
154944,0.0,0.0,0.0,0.0,3,3
155044,0.0,0.0,0.0,0.0,3,3
155144,0.0,0.0,0.0,0.0,3,3
155244,0.0,0.0,0.0,0.0,3,3
155344,0.0,0.0,0.0,0.0,3,3
155444,0.0,0.0,0.0,0.0,3,3
155544,0.0,0.0,0.0,0.0,3,3
155644,0.0,0.0,0.0,0.0,3,3
155744,0.0,0.0,0.0,0.0,3,3
155847,0.0,0.0,0.0,0.0,3,3
155944,0.0,0.0,0.0,0.0,3,3
156044,0.0,0.0,0.0,0.0,3,3
156146,0.0,0.0,0.0,0.0,3,3
156246,0.0,0.0,0.0,0.0,3,3
156345,0.0,0.0,0.0,0.0,3,3
156444,0.0,0.0,0.0,0.0,3,3
156545,0.0,0.0,0.0,0.0,3,3
156645,0.0,0.0,0.0,0.0,3,3
156745,0.0,0.0,0.0,0.0,3,3
156845,0.0,0.0,0.0,0.0,3,3
156944,0.0,0.0,0.0,0.0,3,3
157044,0.0,0.0,0.0,0.0,3,3
157144,0.0,0.0,0.0,0.0,3,3
157244,0.0,0.0,0.0,0.0,3,3
157344,0.0,0.0,0.0,0.0,3,3
157444,0.0,0.0,0.0,0.0,3,3
157544,0.0,0.0,0.0,0.0,3,3
157644,0.0,0.0,0.0,0.0,3,3
157744,0.0,0.0,0.0,0.0,3,3
157844,0.0,0.0,0.0,0.0,3,3
157944,0.0,0.0,0.0,0.0,3,3
158044,0.0,0.0,0.0,0.0,3,3
158144,0.0,0.0,0.0,0.0,3,3
158244,0.0,0.0,0.0,0.0,3,3
158344,0.0,0.0,0.0,0.0,3,3
158444,0.0,0.0,0.0,0.0,3,3
158544,0.0,0.0,0.0,0.0,3,3
158644,0.0,0.0,0.0,0.0,3,3
158744,0.0,0.0,0.0,0.0,3,3
158844,0.0,0.0,0.0,0.0,3,3
