timestamp,locSrv.x,locSrv.y,locSrv.z,locSrv.qx,locSrv.qy,locSrv.qz
154952,0.0,0.0,0.0,0.0,0.0,0.0
155052,0.0,0.0,0.0,0.0,0.0,0.0
155152,0.0,0.0,0.0,0.0,0.0,0.0
155252,0.0,0.0,0.0,0.0,0.0,0.0
155352,0.0,0.0,0.0,0.0,0.0,0.0
155452,0.0,0.0,0.0,0.0,0.0,0.0
155552,0.0,0.0,0.0,0.0,0.0,0.0
155652,0.0,0.0,0.0,0.0,0.0,0.0
155752,0.0,0.0,0.0,0.0,0.0,0.0
155852,0.0,0.0,0.0,0.0,0.0,0.0
155952,0.0,0.0,0.0,0.0,0.0,0.0
156052,0.0,0.0,0.0,0.0,0.0,0.0
156152,0.0,0.0,0.0,0.0,0.0,0.0
156252,0.0,0.0,0.0,0.0,0.0,0.0
156353,0.0,0.0,0.0,0.0,0.0,0.0
156453,0.0,0.0,0.0,0.0,0.0,0.0
156554,0.0,0.0,0.0,0.0,0.0,0.0
156653,0.0,0.0,0.0,0.0,0.0,0.0
156753,0.0,0.0,0.0,0.0,0.0,0.0
156853,0.0,0.0,0.0,0.0,0.0,0.0
156953,0.0,0.0,0.0,0.0,0.0,0.0
157053,0.0,0.0,0.0,0.0,0.0,0.0
157153,0.0,0.0,0.0,0.0,0.0,0.0
157253,0.0,0.0,0.0,0.0,0.0,0.0
157353,0.0,0.0,0.0,0.0,0.0,0.0
157452,0.0,0.0,0.0,0.0,0.0,0.0
157552,0.0,0.0,0.0,0.0,0.0,0.0
157652,0.0,0.0,0.0,0.0,0.0,0.0
157752,0.0,0.0,0.0,0.0,0.0,0.0
157852,0.0,0.0,0.0,0.0,0.0,0.0
157952,0.0,0.0,0.0,0.0,0.0,0.0
158052,0.0,0.0,0.0,0.0,0.0,0.0
158152,0.0,0.0,0.0,0.0,0.0,0.0
158252,0.0,0.0,0.0,0.0,0.0,0.0
158352,0.0,0.0,0.0,0.0,0.0,0.0
158453,0.0,0.0,0.0,0.0,0.0,0.0
158552,0.0,0.0,0.0,0.0,0.0,0.0
158652,0.0,0.0,0.0,0.0,0.0,0.0
158752,0.0,0.0,0.0,0.0,0.0,0.0
158852,0.0,0.0,0.0,0.0,0.0,0.0
158952,0.0,0.0,0.0,0.0,0.0,0.0
159052,0.0,0.0,0.0,0.0,0.0,0.0
159152,0.0,0.0,0.0,0.0,0.0,0.0
159252,0.0,0.0,0.0,0.0,0.0,0.0
159352,0.0,0.0,0.0,0.0,0.0,0.0
159452,0.0,0.0,0.0,0.0,0.0,0.0
159552,0.0,0.0,0.0,0.0,0.0,0.0
159652,0.0,0.0,0.0,0.0,0.0,0.0
159752,0.0,0.0,0.0,0.0,0.0,0.0
159852,0.0,0.0,0.0,0.0,0.0,0.0
159952,0.0,0.0,0.0,0.0,0.0,0.0
160052,0.0,0.0,0.0,0.0,0.0,0.0
160152,0.0,0.0,0.0,0.0,0.0,0.0
160252,0.0,0.0,0.0,0.0,0.0,0.0
160352,0.0,0.0,0.0,0.0,0.0,0.0
160452,0.0,0.0,0.0,0.0,0.0,0.0
160552,0.0,0.0,0.0,0.0,0.0,0.0
160652,0.0,0.0,0.0,0.0,0.0,0.0
160752,0.0,0.0,0.0,0.0,0.0,0.0
160852,0.0,0.0,0.0,0.0,0.0,0.0
160952,0.0,0.0,0.0,0.0,0.0,0.0
161052,0.0,0.0,0.0,0.0,0.0,0.0
161153,0.0,0.0,0.0,0.0,0.0,0.0
161252,0.0,0.0,0.0,0.0,0.0,0.0
161353,0.0,0.0,0.0,0.0,0.0,0.0
161452,0.0,0.0,0.0,0.0,0.0,0.0
161552,0.0,0.0,0.0,0.0,0.0,0.0
161652,0.0,0.0,0.0,0.0,0.0,0.0
161752,0.0,0.0,0.0,0.0,0.0,0.0
161852,0.0,0.0,0.0,0.0,0.0,0.0
161952,0.0,0.0,0.0,0.0,0.0,0.0
162052,0.0,0.0,0.0,0.0,0.0,0.0
162155,0.0,0.0,0.0,0.0,0.0,0.0
162252,0.0,0.0,0.0,0.0,0.0,0.0
162352,0.0,0.0,0.0,0.0,0.0,0.0
162452,0.0,0.0,0.0,0.0,0.0,0.0
162552,0.0,0.0,0.0,0.0,0.0,0.0
162652,0.0,0.0,0.0,0.0,0.0,0.0
162752,0.0,0.0,0.0,0.0,0.0,0.0
162854,0.0,0.0,0.0,0.0,0.0,0.0
162954,0.0,0.0,0.0,0.0,0.0,0.0
163052,0.0,0.0,0.0,0.0,0.0,0.0
163153,0.0,0.0,0.0,0.0,0.0,0.0
163253,0.0,0.0,0.0,0.0,0.0,0.0
163353,0.0,0.0,0.0,0.0,0.0,0.0
163453,0.0,0.0,0.0,0.0,0.0,0.0
163552,0.0,0.0,0.0,0.0,0.0,0.0
163652,0.0,0.0,0.0,0.0,0.0,0.0
163753,0.0,0.0,0.0,0.0,0.0,0.0
163852,0.0,0.0,0.0,0.0,0.0,0.0
163952,0.0,0.0,0.0,0.0,0.0,0.0
164052,0.0,0.0,0.0,0.0,0.0,0.0
164154,0.0,0.0,0.0,0.0,0.0,0.0
164253,0.0,0.0,0.0,0.0,0.0,0.0
164352,0.0,0.0,0.0,0.0,0.0,0.0
164452,0.0,0.0,0.0,0.0,0.0,0.0
164552,0.0,0.0,0.0,0.0,0.0,0.0
164652,0.0,0.0,0.0,0.0,0.0,0.0
164752,0.0,0.0,0.0,0.0,0.0,0.0
164852,0.0,0.0,0.0,0.0,0.0,0.0
164952,0.0,0.0,0.0,0.0,0.0,0.0
165052,0.0,0.0,0.0,0.0,0.0,0.0
165152,0.0,0.0,0.0,0.0,0.0,0.0
165252,0.0,0.0,0.0,0.0,0.0,0.0
165352,0.0,0.0,0.0,0.0,0.0,0.0
165452,0.0,0.0,0.0,0.0,0.0,0.0
165552,0.0,0.0,0.0,0.0,0.0,0.0
165652,0.0,0.0,0.0,0.0,0.0,0.0
