timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz
210779,40,28,1,-28,7,-2
210879,45,26,2,13,-1,4
210979,45,27,2,4,2,3
211079,43,26,1,-5,2,-4
211179,39,25,1,-32,-13,2
211279,40,27,2,-21,6,2
211379,40,25,0,-19,-13,-11
211479,40,26,0,-26,-2,-14
211579,38,26,0,-29,-8,-6
211679,35,30,1,-36,26,6
211779,44,26,2,29,-3,10
211879,54,24,4,60,-5,26
211979,44,26,3,-6,12,8
212079,42,28,1,-26,30,4
212179,40,30,5,-32,1,102
212279,34,35,20,-50,0,263
212379,24,40,60,-29,-13,447
212479,18,43,112,-1,-39,575
212579,12,52,172,1,-17,633
212679,-7,67,227,-27,0,591
212779,-12,79,281,5,6,540
212879,-10,90,335,39,19,494
212979,2,95,389,112,4,432
213079,-3,103,405,44,-2,235
213179,2,96,414,51,-34,132
213279,11,89,427,67,-50,158
213379,26,86,457,113,-88,231
213479,47,67,478,162,-167,181
213579,65,44,491,148,-198,105
213682,74,27,495,94,-166,46
213782,74,17,491,26,-100,10
213882,40,13,462,-129,-27,-92
213981,37,23,461,-96,34,5
214080,38,30,476,24,59,139
214180,63,31,504,209,38,198
214280,75,26,504,232,3,59
214379,103,29,506,280,-12,15
214479,134,27,516,324,-22,57
214579,170,28,522,362,-22,80
214679,209,29,527,391,-20,49
214779,251,35,532,417,-4,19
214879,297,35,538,447,-7,45
214979,344,34,538,474,-10,30
215079,394,33,538,501,-14,18
215179,447,30,536,528,-20,-5
215279,504,28,535,557,-21,-10
215379,561,24,533,578,-19,3
215479,623,22,530,596,-55,0
215579,684,19,534,605,-78,21
215679,745,18,537,610,-107,15
215779,806,18,541,616,-106,17
215879,867,23,546,617,-88,10
215979,928,31,550,615,-66,6
216079,987,35,549,595,-13,-18
216179,1053,53,542,612,94,-33
216279,1095,68,556,501,105,71
216379,1142,76,561,456,22,57
216479,1187,74,563,447,-67,-20
216579,1232,65,563,440,-128,-34
216679,1274,55,557,416,-144,-61
216779,1313,46,542,386,-135,-81
216879,1350,35,535,349,-113,-78
216979,1378,37,499,289,-54,-197
217079,1404,39,480,234,-16,-82
217179,1428,32,495,201,-35,124
217279,1532,-5,555,587,-181,271
217379,1594,1,558,491,-42,43
217479,1482,-26,634,-201,-86,97
217579,1474,-26,614,-225,-31,-146
217679,1466,-24,587,-172,22,-311
217779,1468,-24,567,-51,53,-239
217879,1480,-19,550,56,71,-112
217979,1498,-10,531,127,76,-115
218079,1520,-8,531,149,60,-75
218179,1538,-7,524,137,39,-132
218279,1555,-9,505,104,13,-279
218379,1566,-7,451,51,7,-586
218479,1573,-10,391,0,9,-760
218579,1576,-13,314,-39,5,-825
218679,1574,-16,236,-75,-26,-745
218779,1567,-14,150,-73,2,-865
218879,1561,-10,77,56,-214,-35
218979,1557,10,7,0,43,-629
219079,1558,12,-11,27,-19,-307
219179,1598,-10,34,183,-29,56
219279,1624,-5,49,155,-4,95
219379,1564,-14,98,-81,9,216
219479,1563,-10,86,-20,46,26
219579,1564,-11,88,-16,24,9
219679,1564,-12,92,-23,17,37
219779,1567,-16,92,-5,4,34
219879,1561,1,36,11,36,-302
219979,1558,11,4,-6,30,-303
220079,1569,-3,11,23,-18,-140
220179,1610,-9,58,127,-37,123
220279,1607,-17,54,0,-33,0
220379,1596,-18,54,-53,-70,-16
220479,1567,-16,91,-112,-16,151
220579,1568,-15,86,-88,-2,33
220679,1568,-16,87,-47,-6,-5
220782,1567,-16,92,-42,10,28
220882,1567,-16,94,-12,32,41
220982,1569,-15,83,6,-28,-36
221081,1564,-12,91,0,-7,8
221180,1570,-16,85,45,-36,-5
221279,1564,-9,83,34,-9,-16
221379,1559,6,22,19,31,-303
221479,1558,13,-5,16,32,-286
221579,1599,-13,57,135,-47,106
221679,1628,-3,44,156,-5,-7
221779,1601,-17,51,-15,-3,-28
221879,1564,-11,90,-111,5,139
221979,1565,-17,97,-73,-5,115
222079,1563,-9,82,-72,0,-55
222179,1562,-8,77,-48,5,-76
222279,1564,-11,90,-12,-25,42
222379,1564,-12,93,-13,-36,52
222479,1563,-9,81,4,4,-25
222579,1564,-11,87,3,-6,14
222679,1564,-12,92,-1,1,43
222779,1564,-13,97,-10,6,62
222879,1563,-11,87,-16,10,-12
222979,1563,-8,79,18,4,-72
223079,1564,-11,88,21,3,16
223179,1563,-9,83,0,-2,-19
223279,1563,-10,86,-10,-55,1
223379,1564,-12,92,-9,-25,27
223479,1564,-13,96,-20,-7,34
223579,1563,-9,79,-15,-40,-83
223679,1564,-11,87,-5,-28,-29
223779,1563,-11,90,-22,11,-11
223879,1564,-12,94,12,16,15
223979,1564,-8,82,-3,42,-56
224079,1584,-15,72,33,-16,-97
224179,1566,-10,87,-23,-27,64
224279,1567,-11,95,-53,38,78
224379,1569,-9,90,-8,22,4
224479,1572,-11,102,24,5,80
224579,1575,-11,120,47,18,195
224679,1576,-12,147,12,77,295
224779,1574,-9,168,3,86,287
224879,1571,-13,206,-4,58,335
224979,1567,-19,243,-22,-4,366
225079,1562,-27,285,-24,-12,422
225179,1557,-31,314,-11,-24,350
225279,1555,-39,358,18,-18,367
225379,1553,-44,395,23,-9,328
225479,1552,-47,426,18,12,280
225579,1551,-45,438,19,32,165
225679,1553,-44,458,32,32,149
225779,1555,-42,472,68,-46,103
225879,1556,-32,472,111,-88,29
225979,1555,-22,486,94,-75,55
226079,1551,-6,499,71,-53,85
226179,1543,15,507,42,-16,86
226279,1530,47,497,19,18,-55
226379,1517,70,509,3,5,3
226479,1500,96,515,-18,-13,39
226579,1482,117,520,-40,-38,38
226679,1456,154,476,-101,65,-212
226779,1435,172,454,-131,43,-112
226879,1484,148,511,229,-180,254
226979,1401,113,577,-355,-298,353
227079,1371,84,591,-441,-351,134
227179,1343,52,592,-391,-334,-69
227279,1321,22,579,-309,-283,-155
227379,1306,0,561,-239,-198,-153
227479,1292,-13,542,-219,-102,-138
227579,1278,-23,538,-246,-29,-65
227679,1257,-28,541,-317,11,21
227779,1224,-27,533,-422,39,-44
227879,1182,-28,532,-533,53,-45
227979,1129,-29,531,-610,51,-20
228079,1069,-36,522,-671,15,-34
228179,1018,-29,500,-642,40,-95
228279,911,-29,531,-878,31,109
228379,823,-26,530,-887,36,25
228479,743,-22,522,-793,44,-44
228579,675,-24,532,-705,22,39
228679,606,-42,539,-665,-78,48
228779,531,-42,548,-698,-16,39
228879,461,-42,559,-653,20,46
228979,423,-24,538,-515,100,-78
229079,374,-15,529,-488,108,-94
229179,327,-6,521,-476,89,-51
229279,280,0,522,-460,113,37
229379,236,1,521,-439,128,70
229483,191,-3,525,-433,52,60
229582,149,-12,522,-417,-17,4
229682,110,-26,524,-386,-74,6
229779,79,-37,516,-324,-79,-23
229882,58,-35,526,-210,-36,54
229981,33,-50,513,-182,-49,-40
230082,20,-44,512,-137,5,-27
230181,8,-40,511,-97,51,0
230280,0,-31,513,-71,89,34
230380,-4,-20,518,-48,107,46
230479,-7,-8,525,-34,101,52
230580,-1,3,537,31,94,70
230679,10,7,541,80,42,-5
230780,13,9,531,50,7,-132
230879,13,9,508,16,-13,-288
230979,13,8,467,-5,-24,-480
231079,13,6,412,-15,-29,-621
