timestamp,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,ctrltargetZ.vx,ctrltargetZ.vy,ctrltargetZ.vz
99976,0,0,0,0,0,0
100076,0,0,0,0,0,0
100176,0,0,0,0,0,0
100276,0,0,0,0,0,0
100376,0,0,0,0,0,0
100476,0,0,0,0,0,0
100576,0,0,0,0,0,0
100676,0,0,0,0,0,0
100776,0,0,0,0,0,0
100876,0,0,0,0,0,0
100976,0,0,0,0,0,44
101076,0,0,14,0,0,267
101176,0,0,58,0,0,621
101276,0,0,136,0,0,947
101376,0,0,239,0,0,1092
101476,0,0,344,0,0,992
101576,0,0,429,0,0,691
101676,0,0,479,0,0,328
101776,0,0,497,0,0,71
101876,0,0,499,0,0,0
101976,0,0,499,0,0,-1
102076,0,0,499,2,0,-3
102176,0,0,499,6,0,-5
102276,1,0,498,15,0,-6
102376,3,0,497,28,0,-8
102476,7,0,496,46,0,-9
102576,13,0,496,69,0,-9
102676,21,0,495,97,0,-10
102776,32,0,494,129,0,-10
102876,47,0,492,165,0,-10
102976,65,0,491,205,0,-10
103076,87,0,490,246,0,-9
103176,114,0,490,290,0,-8
103276,145,0,489,334,0,-7
103376,180,0,488,379,0,-6
103476,220,0,487,422,0,-5
103576,264,0,487,464,0,-4
103676,312,0,487,504,0,-2
103776,363,0,486,540,0,-1
103876,419,0,486,572,0,0
103976,477,0,486,600,0,1
104076,537,0,487,622,0,2
104176,600,0,487,639,0,3
104276,663,0,487,650,0,4
104376,728,0,488,655,0,5
104476,793,0,488,654,0,6
104576,857,0,489,647,0,7
104676,921,0,490,634,0,7
104776,983,0,491,615,0,8
104876,1042,0,492,591,0,8
104976,1099,0,492,562,0,8
105076,1153,0,493,528,0,8
105176,1204,0,494,491,0,8
105276,1250,0,495,450,0,7
105378,1293,0,495,408,0,7
105478,1331,0,496,364,0,6
105578,1365,0,497,319,0,5
105676,1394,0,497,275,0,5
105777,1420,0,498,232,0,4
105876,1441,0,498,191,0,3
105976,1458,0,499,153,0,3
106076,1471,0,499,118,0,2
106176,1481,0,499,87,0,1
106276,1488,0,499,61,0,1
106376,1493,0,499,40,0,0
106476,1497,0,499,23,0,0
106576,1498,0,499,12,0,0
106676,1499,0,499,4,0,0
106776,1499,0,499,1,0,0
106876,1499,0,499,0,0,0
106976,1499,0,499,0,0,-40
107076,1499,0,485,0,0,-256
107176,1499,0,443,0,0,-608
107276,1499,0,366,0,0,-938
107376,1499,0,263,0,0,-1091
107476,1499,0,158,0,0,-999
107576,1499,0,73,0,0,-703
107676,1499,0,21,0,0,-340
107776,1499,0,2,0,0,-77
107876,1499,0,0,0,0,0
107976,0,0,0,0,0,0
108076,0,0,0,0,0,0
108176,0,0,0,0,0,0
108276,0,0,0,0,0,0
108376,0,0,0,0,0,0
108476,0,0,0,0,0,0
108576,0,0,0,0,0,0
108676,0,0,0,0,0,0
108776,0,0,0,0,0,0
108876,0,0,0,0,0,0
108976,0,0,0,0,0,0
109076,0,0,0,0,0,0
109176,0,0,0,0,0,0
109276,0,0,0,0,0,0
109376,0,0,0,0,0,0
109476,0,0,0,0,0,0
109576,0,0,0,0,0,0
109676,0,0,0,0,0,0
109776,0,0,0,0,0,0
109876,0,0,0,0,0,0
109978,0,0,0,0,0,0
110078,0,0,0,0,0,0
110178,0,0,0,0,0,0
110276,0,0,0,0,0,0
110377,0,0,0,0,0,0
110477,0,0,0,0,0,0
110577,0,0,0,0,0,0
110677,0,0,0,0,0,0
110777,0,0,0,0,0,0
110877,0,0,0,0,0,0
110976,0,0,0,0,0,0
111076,0,0,0,0,0,0
111176,0,0,0,0,0,0
111276,0,0,0,0,0,0
111376,0,0,0,0,0,0
111476,0,0,0,0,0,0
111576,0,0,0,0,0,0
111676,0,0,0,0,0,0
