timestamp,ctrltarget.ax,ctrltarget.ay,ctrltarget.az,ctrltarget.roll,ctrltarget.pitch,ctrltarget.yaw
99969,0.0,0.0,0.0,0.0,0.0,0.0
100069,0.0,0.0,0.0,0.0,0.0,0.0
100169,0.0,0.0,0.0,0.0,0.0,0.0
100269,0.0,0.0,0.0,0.0,0.0,0.0
100369,0.0,0.0,0.0,0.0,0.0,0.0
100469,0.0,0.0,0.0,0.0,0.0,0.0
100569,0.0,0.0,0.0,0.0,0.0,0.0
100669,0.0,0.0,0.0,0.0,0.0,0.0
100769,0.0,0.0,0.0,0.0,0.0,0.0
100869,0.0,0.0,0.0,0.0,0.0,0.0
100969,1.838107980709977e-13,4.3730297161204135e-12,1.0581575632095337,0.0,0.0,0.008416935801506042
101069,4.008307141062373e-12,1.1262981866599908e-11,2.993826150894165,0.0,0.0,0.0602639764547348
101169,2.2388518122751222e-11,5.46587601568671e-12,3.753751277923584,0.0,0.0,0.14859768748283386
101269,7.424604681061098e-11,-3.386513292014115e-11,2.7657549381256104,0.0,0.0,0.23397062718868256
101369,1.8655732514361034e-10,-1.414055955661908e-10,0.5039504766464233,0.0,0.0,0.27675604820251465
101469,3.942110526899967e-10,-3.738485077064979e-10,-1.9861959218978882,0.0,0.0,0.25737079977989197
101569,7.402902735265116e-10,-8.185251365588897e-10,-3.568758964538574,0.0,0.0,0.18464727699756622
101669,1.2758171186177947e-09,-1.601488941460616e-09,-3.489734172821045,0.0,0.0,0.09216687083244324
101769,2.0595960492642007e-09,-2.895503392608134e-09,-1.857262372970581,0.0,0.0,0.022652970626950264
101869,3.158840522488049e-09,-4.929348484949969e-09,-0.11670424044132233,0.0,0.0,0.0002538544067647308
101969,0.0066396030597388744,8.737628149901866e-07,-0.019373232498764992,0.0,0.0,1.826174047891982e-05
102069,0.02899646945297718,3.8338089325407054e-06,-0.018295619636774063,0.0,0.0,1.8203994841314852e-05
102169,0.06322383880615234,8.365518624486867e-06,-0.016604850068688393,0.0,0.0,1.8046155673800968e-05
102269,0.10567667335271835,1.3986299563839566e-05,-0.014446815475821495,0.0,0.0,1.7751770428731106e-05
102369,0.15311671793460846,2.0267418221919797e-05,-0.011953098699450493,0.0,0.0,1.7295742509304546e-05
102469,0.2027132213115692,2.683407728909515e-05,-0.00924055464565754,0.0,0.0,1.6662870621075854e-05
102569,0.2519828677177429,3.335750079713762e-05,-0.006414160132408142,0.0,0.0,1.584718302183319e-05
102669,0.2988246977329254,3.955952342948876e-05,-0.0035646993201225996,0.0,0.0,1.4850060324533843e-05
102769,0.3414597511291504,4.520460424828343e-05,-0.0007717037224210799,0.0,0.0,1.3679700714419596e-05
102869,0.3784344494342804,5.010030508856289e-05,0.0018972340039908886,0.0,0.0,1.2349656572041567e-05
102969,0.40858781337738037,5.409289587987587e-05,0.004384825937449932,0.0,0.0,1.0878297871386167e-05
103069,0.4310486614704132,5.706704541807994e-05,0.006644566077739,0.0,0.0,9.287366992793977e-06
103169,0.4452116787433624,5.8942605392076075e-05,0.008639981970191002,0.0,0.0,7.601025572512299e-06
103269,0.45071226358413696,5.9671292547136545e-05,0.010343300178647041,0.0,0.0,5.845543455507141e-06
103369,0.4474147856235504,5.9235142543911934e-05,0.011734992265701294,0.0,0.0,4.048798473377246e-06
103469,0.4353945553302765,5.764415254816413e-05,0.012804088182747364,0.0,0.0,2.238482693428523e-06
103569,0.4149109423160553,5.493261051014997e-05,0.013546817936003208,0.0,0.0,4.4206782945366285e-07
103669,0.3864133954048157,5.116001921123825e-05,0.013965608552098274,0.0,0.0,-1.3122437394486042e-06
103769,0.3504789173603058,4.64028817077633e-05,0.01406966894865036,0.0,0.0,-2.999302978423657e-06
103869,0.30784517526626587,4.0758721297606826e-05,0.013873379677534103,0.0,0.0,-4.594060555973556e-06
103969,0.25935888290405273,3.433968959143385e-05,0.013396195136010647,0.0,0.0,-6.074057637306396e-06
104069,0.20595821738243103,2.7269928978057578e-05,0.012661783955991268,0.0,0.0,-7.419447683787439e-06
104169,0.1486673504114151,1.968515061889775e-05,0.011697573587298393,0.0,0.0,-8.612838428234681e-06
104269,0.08858424425125122,1.1730667210940737e-05,0.010534299537539482,0.0,0.0,-9.63973616308067e-06
104369,0.026838425546884537,3.556035835572402e-06,0.009205104783177376,0.0,0.0,-1.048916601575911e-05
104469,-0.03541090339422226,-4.685324256570311e-06,0.007745038717985153,0.0,0.0,-1.1153525520057883e-05
104569,-0.0969957709312439,-1.2838730071962345e-05,0.006190552841871977,0.0,0.0,-1.1628726497292519e-05
104669,-0.1567595899105072,-2.075104566756636e-05,0.004578839056193829,0.0,0.0,-1.191431874758564e-05
104769,-0.21356914937496185,-2.82723740383517e-05,0.0029473030008375645,0.0,0.0,-1.2013391824439168e-05
104869,-0.2663532793521881,-3.526061482261866e-05,0.001332542160525918,0.0,0.0,-1.1932570487260818e-05
104969,-0.314096063375473,-4.1581664845580235e-05,-0.00022964226081967354,0.0,0.0,-1.1681717296596617e-05
105073,-0.3596648871898651,-4.761437594424933e-05,-0.001846041763201356,0.0,0.0,-1.1225192793062888e-05
105172,-0.393887996673584,-5.214559496380389e-05,-0.0031888140365481377,0.0,0.0,-1.0663353350537363e-05
105272,-0.420531302690506,-5.5673175666015595e-05,-0.004381012171506882,0.0,0.0,-9.980799404729623e-06
105371,-0.43756064772605896,-5.792789670522325e-05,-0.005304113496094942,0.0,0.0,-9.2806585598737e-06
105469,-0.44838955998420715,-5.936177331022918e-05,-0.0061439331620931625,0.0,0.0,-8.427846296399366e-06
105569,-0.45047351717948914,-5.963745934423059e-05,-0.006771852262318134,0.0,0.0,-7.51900415707496e-06
105670,-0.4437665045261383,-5.8749352319864556e-05,-0.007176124956458807,0.0,0.0,-6.578718512173509e-06
105769,-0.4284322261810303,-5.6719152780715376e-05,-0.007350896950811148,0.0,0.0,-5.631694875773974e-06
105869,-0.4048640727996826,-5.359912756830454e-05,-0.007296810392290354,0.0,0.0,-4.702335445472272e-06
105969,-0.37370988726615906,-4.947492925566621e-05,-0.007021589670330286,0.0,0.0,-3.814072442764882e-06
106069,-0.33588317036628723,-4.446674938662909e-05,-0.006540332920849323,0.0,0.0,-2.9883929073548643e-06
106169,-0.29256951808929443,-3.873255991493352e-05,-0.0058767423033714294,0.0,0.0,-2.244742745460826e-06
106269,-0.2452799528837204,-3.247175845899619e-05,-0.005063289310783148,0.0,0.0,-1.598798121449363e-06
106369,-0.19583484530448914,-2.5925046429620124e-05,-0.00414146576076746,0.0,0.0,-1.06220250017941e-06
106469,-0.14637911319732666,-1.9377466742298566e-05,-0.0031635011546313763,0.0,0.0,-6.415570510398538e-07
106569,-0.09944643825292587,-1.3164412848709617e-05,-0.002191451843827963,0.0,0.0,-3.367413512478379e-07
106669,-0.057928115129470825,-7.667383215448353e-06,-0.0012994215358048677,0.0,0.0,-1.4062491970889823e-07
106769,-0.025114908814430237,-3.3226738196390215e-06,-0.0005725823575630784,0.0,0.0,-3.7877715186596106e-08
106869,-0.004703526385128498,-6.205734734976431e-07,-0.00010898840264417231,0.0,0.0,-2.8424675946325806e-09
106969,-3.383459201700134e-08,1.8938384827696294e-16,-0.9897088408470154,0.0,0.0,-7.0584089788272575e-12
107069,-1.0667358907312519e-07,8.944952737833926e-16,-2.938145399093628,0.0,0.0,-5.410948078488076e-11
107169,-1.864980134769212e-07,1.8464149344676536e-15,-3.7556753158569336,0.0,0.0,-1.3632815709652135e-10
107269,-3.626445277404855e-07,2.494982768224351e-15,-2.8252642154693604,0.0,0.0,-2.1721860421486383e-10
107369,-8.707650067663053e-07,2.10111054192697e-15,-0.5931602120399475,0.0,0.0,-2.5919139057251073e-10
107469,-2.11546876016655e-06,-1.779146515942253e-16,1.908288836479187,0.0,0.0,-2.430484702387048e-10
107569,-4.693442861025687e-06,-5.204873465276642e-15,3.5379796028137207,0.0,0.0,-1.761429613278409e-10
107669,-9.415680324309506e-06,-1.3776912960060048e-14,3.521432638168335,0.0,0.0,-8.935419071320894e-11
107769,-1.7329733964288607e-05,-2.6540200226865714e-14,1.9285376071929932,0.0,0.0,-2.280794129949637e-11
107873,-2.974620474560652e-05,-4.3910926598392935e-14,0.14916212856769562,0.0,0.0,-3.412076665047087e-13
107969,0.0,0.0,0.0,0.0,0.0,0.0
108072,0.0,0.0,0.0,0.0,0.0,0.0
108172,0.0,0.0,0.0,0.0,0.0,0.0
108272,0.0,0.0,0.0,0.0,0.0,0.0
108373,0.0,0.0,0.0,0.0,0.0,0.0
108472,0.0,0.0,0.0,0.0,0.0,0.0
108572,0.0,0.0,0.0,0.0,0.0,0.0
108672,0.0,0.0,0.0,0.0,0.0,0.0
108772,0.0,0.0,0.0,0.0,0.0,0.0
108869,0.0,0.0,0.0,0.0,0.0,0.0
108971,0.0,0.0,0.0,0.0,0.0,0.0
109072,0.0,0.0,0.0,0.0,0.0,0.0
109171,0.0,0.0,0.0,0.0,0.0,0.0
109271,0.0,0.0,0.0,0.0,0.0,0.0
109371,0.0,0.0,0.0,0.0,0.0,0.0
109472,0.0,0.0,0.0,0.0,0.0,0.0
109572,0.0,0.0,0.0,0.0,0.0,0.0
109672,0.0,0.0,0.0,0.0,0.0,0.0
109771,0.0,0.0,0.0,0.0,0.0,0.0
109872,0.0,0.0,0.0,0.0,0.0,0.0
109972,0.0,0.0,0.0,0.0,0.0,0.0
110071,0.0,0.0,0.0,0.0,0.0,0.0
110170,0.0,0.0,0.0,0.0,0.0,0.0
110270,0.0,0.0,0.0,0.0,0.0,0.0
110370,0.0,0.0,0.0,0.0,0.0,0.0
110469,0.0,0.0,0.0,0.0,0.0,0.0
110570,0.0,0.0,0.0,0.0,0.0,0.0
110670,0.0,0.0,0.0,0.0,0.0,0.0
