timestamp,locSrvZ.tick
154958,0
155058,0
155158,0
155258,0
155358,0
155458,0
155558,0
155658,0
155758,0
155858,0
155958,0
156058,0
156158,0
156258,0
156358,0
156458,0
156558,0
156658,0
156758,0
156858,0
156958,0
157058,0
157158,0
157258,0
157358,0
157458,0
157558,0
157658,0
157758,0
157858,0
157958,0
158058,0
158160,0
158260,0
158360,0
158458,0
158559,0
158659,0
158759,0
158859,0
158959,0
159058,0
159159,0
159258,0
159358,0
159458,0
159558,0
159660,0
159760,0
159859,0
159959,0
160059,0
160158,0
160258,0
160358,0
160458,0
160558,0
160658,0
160758,0
160858,0
160958,0
161058,0
161158,0
161258,0
161358,0
161458,0
161558,0
161658,0
161758,0
161858,0
161958,0
162058,0
162158,0
162258,0
162358,0
162458,0
162558,0
162658,0
162758,0
162858,0
162958,0
163058,0
163158,0
163258,0
163358,0
163458,0
163558,0
163658,0
163758,0
163858,0
163958,0
164058,0
164158,0
164258,0
164358,0
164458,0
164558,0
164658,0
164758,0
164858,0
164958,0
165058,0
165158,0
165258,0
165360,0
165460,0
165560,0
165659,0
165759,0
165859,0
165959,0
166058,0
166158,0
166258,0
166358,0
166458,0
166558,0
166658,0
166758,0
166858,0
166958,0
167058,0
167158,0
167258,0
167358,0
167458,0
167558,0
167658,0
167758,0
167858,0
167958,0
168058,0
168158,0
168258,0
168358,0
168458,0
168558,0
168658,0
168758,0
168858,0
168958,0
169058,0
169158,0
169258,0
169358,0
169458,0
169558,0
169658,0
169758,0
169858,0
169958,0
170058,0
170158,0
170258,0
170358,0
170458,0
170558,0
170658,0
170758,0
170858,0
170958,0
171058,0
171158,0
171258,0
171358,0
171458,0
171558,0
171658,0
171758,0
171858,0
171958,0
172058,0
172158,0
172258,0
172358,0
172458,0
172558,0
172658,0
172758,0
172858,0
172958,0
173058,0
173158,0
173258,0
173358,0
173458,0
173558,0
173658,0
173758,0
173858,0
173958,0
174060,0
174160,0
174260,0
174360,0
174460,0
174560,0
174660,0
174759,0
174858,0
174958,0
175058,0
175158,0
175258,0
175358,0
175458,0
175558,0
175658,0
175758,0
175858,0
175958,0
176058,0
176158,0
176258,0
176358,0
176458,0
176558,0
