timestamp,outlierf.accLev,outlierf.errD
154985,0.0,0.0
155085,0.0,0.0
155185,0.0,0.0
155285,0.0,0.0
155385,0.0,0.0
155487,0.0,0.0
155587,0.0,0.0
155687,0.0,0.0
155787,0.0,0.0
155887,0.0,0.0
155987,0.0,0.0
156087,0.0,0.0
156185,0.0,0.0
156286,0.0,0.0
156386,0.0,0.0
156485,0.0,0.0
156585,0.0,0.0
156685,0.0,0.0
156785,0.0,0.0
156885,0.0,0.0
156985,0.0,0.0
157085,0.0,0.0
157185,0.0,0.0
157285,0.0,0.0
157385,0.0,0.0
157485,0.0,0.0
157585,0.0,0.0
157685,0.0,0.0
157785,0.0,0.0
157885,0.0,0.0
157985,0.0,0.0
158085,0.0,0.0
158185,0.0,0.0
158285,0.0,0.0
158385,0.0,0.0
158485,0.0,0.0
158585,0.0,0.0
158685,0.0,0.0
158785,0.0,0.0
158885,0.0,0.0
158985,0.0,0.0
159085,0.0,0.0
159185,0.0,0.0
159285,0.0,0.0
159385,0.0,0.0
159485,0.0,0.0
159585,0.0,0.0
159685,0.0,0.0
159785,0.0,0.0
159885,0.0,0.0
159985,0.0,0.0
160085,0.0,0.0
160185,0.0,0.0
160285,0.0,0.0
160385,0.0,0.0
160485,0.0,0.0
160585,0.0,0.0
160685,0.0,0.0
160785,0.0,0.0
160885,0.0,0.0
160985,0.0,0.0
161085,0.0,0.0
161185,0.0,0.0
161285,0.0,0.0
161385,0.0,0.0
161485,0.0,0.0
161585,0.0,0.0
161685,0.0,0.0
161785,0.0,0.0
161885,0.0,0.0
161985,0.0,0.0
162085,0.0,0.0
162185,0.0,0.0
162285,0.0,0.0
162388,0.0,0.0
162485,0.0,0.0
162587,0.0,0.0
162686,0.0,0.0
162785,0.0,0.0
162886,0.0,0.0
162986,0.0,0.0
163086,0.0,0.0
163186,0.0,0.0
163286,0.0,0.0
163385,0.0,0.0
163485,0.0,0.0
163585,0.0,0.0
163685,0.0,0.0
163785,0.0,0.0
163885,0.0,0.0
163985,0.0,0.0
164085,0.0,0.0
164185,0.0,0.0
164285,0.0,0.0
164385,0.0,0.0
164485,0.0,0.0
164585,0.0,0.0
164685,0.0,0.0
164785,0.0,0.0
164885,0.0,0.0
164985,0.0,0.0
165085,0.0,0.0
165185,0.0,0.0
165285,0.0,0.0
165385,0.0,0.0
165485,0.0,0.0
165585,0.0,0.0
165685,0.0,0.0
165787,0.0,0.0
165885,0.0,0.0
165987,0.0,0.0
166087,0.0,0.0
166187,0.0,0.0
166287,0.0,0.0
166385,0.0,0.0
166485,0.0,0.0
166585,0.0,0.0
166687,0.0,0.0
166787,0.0,0.0
166888,0.0,0.0
166987,0.0,0.0
167087,0.0,0.0
167185,0.0,0.0
167287,0.0,0.0
167387,0.0,0.0
167485,0.0,0.0
167587,0.0,0.0
167687,0.0,0.0
167787,0.0,0.0
167887,0.0,0.0
167987,0.0,0.0
168087,0.0,0.0
168187,0.0,0.0
168287,0.0,0.0
168385,0.0,0.0
168486,0.0,0.0
168587,0.0,0.0
168686,0.0,0.0
168786,0.0,0.0
168886,0.0,0.0
168986,0.0,0.0
169086,0.0,0.0
169186,0.0,0.0
169286,0.0,0.0
169385,0.0,0.0
169485,0.0,0.0
169586,0.0,0.0
169686,0.0,0.0
169786,0.0,0.0
169886,0.0,0.0
169986,0.0,0.0
170086,0.0,0.0
170185,0.0,0.0
170286,0.0,0.0
170386,0.0,0.0
170486,0.0,0.0
170586,0.0,0.0
170685,0.0,0.0
170786,0.0,0.0
170885,0.0,0.0
170985,0.0,0.0
171085,0.0,0.0
171185,0.0,0.0
171285,0.0,0.0
171385,0.0,0.0
171485,0.0,0.0
171585,0.0,0.0
171685,0.0,0.0
171785,0.0,0.0
171885,0.0,0.0
171985,0.0,0.0
172085,0.0,0.0
172185,0.0,0.0
172285,0.0,0.0
172385,0.0,0.0
172485,0.0,0.0
172585,0.0,0.0
172685,0.0,0.0
172785,0.0,0.0
172885,0.0,0.0
172985,0.0,0.0
173085,0.0,0.0
173185,0.0,0.0
173285,0.0,0.0
173385,0.0,0.0
173485,0.0,0.0
173585,0.0,0.0
173685,0.0,0.0
173787,0.0,0.0
173885,0.0,0.0
173985,0.0,0.0
174085,0.0,0.0
174185,0.0,0.0
174285,0.0,0.0
174385,0.0,0.0
174485,0.0,0.0
174585,0.0,0.0
174685,0.0,0.0
174785,0.0,0.0
174885,0.0,0.0
174985,0.0,0.0
175085,0.0,0.0
175185,0.0,0.0
175285,0.0,0.0
175385,0.0,0.0
175485,0.0,0.0
175585,0.0,0.0
175685,0.0,0.0
175785,0.0,0.0
175885,0.0,0.0
175985,0.0,0.0
176085,0.0,0.0
176185,0.0,0.0
176285,0.0,0.0
176385,0.0,0.0
176485,0.0,0.0
176585,0.0,0.0
