timestamp,estimator.rtApnd,estimator.rtRej
99978,2373.062255859375,101.94242858886719
100078,2373.062255859375,101.94242858886719
100178,2373.062255859375,101.94242858886719
100278,2373.062255859375,101.94242858886719
100378,2373.062255859375,101.94242858886719
100478,2373.062255859375,101.94242858886719
100578,2373.062255859375,101.94242858886719
100678,2373.062255859375,101.94242858886719
100778,2373.062255859375,101.94242858886719
100878,2373.062255859375,101.94242858886719
100978,2373.062255859375,101.94242858886719
101078,3050.0,0.0
101178,3050.0,0.0
101278,3050.0,0.0
101378,3050.0,0.0
101478,3050.0,0.0
101578,3050.0,0.0
101678,3050.0,0.0
101778,3050.0,0.0
101878,3050.0,0.0
101978,3050.0,0.0
102078,3050.0,0.0
102178,3012.727294921875,0.0
102278,3012.727294921875,0.0
102378,3012.727294921875,0.0
102478,3012.727294921875,0.0
102578,3012.727294921875,0.0
102678,3012.727294921875,0.0
102778,3012.727294921875,0.0
102878,3012.727294921875,0.0
102978,3012.727294921875,0.0
103078,3012.727294921875,0.0
103178,3012.727294921875,0.0
103278,2568.181640625,0.0
103378,2568.181640625,0.0
103478,2568.181640625,0.0
103578,2568.181640625,0.0
103678,2568.181640625,0.0
103778,2568.181640625,0.0
103878,2568.181640625,0.0
103978,2568.181640625,0.0
104078,2568.181640625,0.0
104178,2568.181640625,0.0
104278,2568.181640625,0.0
104378,2660.908935546875,0.0
104478,2660.908935546875,0.0
104581,2660.908935546875,0.0
104680,2660.908935546875,0.0
104778,2660.908935546875,0.0
104879,2660.908935546875,0.0
104979,2660.908935546875,0.0
105079,2660.908935546875,0.0
105179,2660.908935546875,0.0
105278,2660.908935546875,0.0
105378,2660.908935546875,0.0
105478,2899.0908203125,0.0
105578,2899.0908203125,0.0
105678,2899.0908203125,0.0
105778,2899.0908203125,0.0
105878,2899.0908203125,0.0
105978,2899.0908203125,0.0
106078,2899.0908203125,0.0
106178,2899.0908203125,0.0
106278,2899.0908203125,0.0
106378,2899.0908203125,0.0
106478,2899.0908203125,0.0
106578,2971.818115234375,0.0
106678,2971.818115234375,0.0
106778,2971.818115234375,0.0
106878,2971.818115234375,0.0
106978,2971.818115234375,0.0
107078,2971.818115234375,0.0
107178,2971.818115234375,0.0
107278,2971.818115234375,0.0
107378,2971.818115234375,0.0
107478,2971.818115234375,0.0
107578,2971.818115234375,0.0
107678,2800.908935546875,0.0
107778,2800.908935546875,0.0
107878,2800.908935546875,0.0
107978,2800.908935546875,0.0
108078,2800.908935546875,0.0
108178,2800.908935546875,0.0
108278,2800.908935546875,0.0
108378,2800.908935546875,0.0
108478,2800.908935546875,0.0
108578,2800.908935546875,0.0
108678,2800.908935546875,0.0
108778,3028.181640625,0.0
108878,3028.181640625,0.0
108978,3028.181640625,0.0
109078,3028.181640625,0.0
109180,3028.181640625,0.0
109278,3028.181640625,0.0
109380,3028.181640625,0.0
109480,3028.181640625,0.0
109580,3028.181640625,0.0
109679,3028.181640625,0.0
109779,3064.934814453125,0.0
109879,3064.934814453125,0.0
109979,3064.934814453125,0.0
110078,3064.934814453125,0.0
110178,3064.934814453125,0.0
110278,3064.934814453125,0.0
110378,3064.934814453125,0.0
110478,3064.934814453125,0.0
110578,3064.934814453125,0.0
110678,3064.934814453125,0.0
110778,3064.934814453125,0.0
110878,3035.48681640625,0.0
110978,3035.48681640625,0.0
111078,3035.48681640625,0.0
111178,3035.48681640625,0.0
111278,3035.48681640625,0.0
111378,3035.48681640625,0.0
111478,3035.48681640625,0.0
111578,3035.48681640625,0.0
111678,3035.48681640625,0.0
111778,3035.48681640625,0.0
111878,3035.48681640625,0.0
111978,3033.63623046875,0.0
112078,3033.63623046875,0.0
112178,3033.63623046875,0.0
112278,3033.63623046875,0.0
112378,3033.63623046875,0.0
112478,3033.63623046875,0.0
112578,3033.63623046875,0.0
112678,3033.63623046875,0.0
112778,3033.63623046875,0.0
112878,3033.63623046875,0.0
112978,3033.63623046875,0.0
113078,2788.181640625,0.0
113178,2788.181640625,0.0
113278,2788.181640625,0.0
113378,2788.181640625,0.0
113478,2788.181640625,0.0
113578,2788.181640625,0.0
113678,2788.181640625,0.0
113778,2788.181640625,0.0
113878,2788.181640625,0.0
113978,2788.181640625,0.0
114078,2788.181640625,0.0
114178,2826.363525390625,0.0
114278,2826.363525390625,0.0
114378,2826.363525390625,0.0
114478,2826.363525390625,0.0
114578,2826.363525390625,0.0
114678,2826.363525390625,0.0
114778,2826.363525390625,0.0
114878,2826.363525390625,0.0
114978,2826.363525390625,0.0
115078,2826.363525390625,0.0
115178,2826.363525390625,0.0
115278,2781.818115234375,0.0
115378,2781.818115234375,0.0
115478,2781.818115234375,0.0
115578,2781.818115234375,0.0
115678,2781.818115234375,0.0
115778,2781.818115234375,0.0
115878,2781.818115234375,0.0
115978,2781.818115234375,0.0
116078,2781.818115234375,0.0
116178,2781.818115234375,0.0
116278,2781.818115234375,0.0
116378,2941.818115234375,0.0
116478,2941.818115234375,0.0
116578,2941.818115234375,0.0
116678,2941.818115234375,0.0
116778,2941.818115234375,0.0
116878,2941.818115234375,0.0
116978,2941.818115234375,0.0
117078,2941.818115234375,0.0
117178,2941.818115234375,0.0
117278,2941.818115234375,0.0
117378,2941.818115234375,0.0
117480,2823.049072265625,0.0
117580,2823.049072265625,0.0
117680,2823.049072265625,0.0
117780,2823.049072265625,0.0
117880,2823.049072265625,0.0
117980,2823.049072265625,0.0
118080,2823.049072265625,0.0
118179,2823.049072265625,0.0
118279,2823.049072265625,0.0
118379,2823.049072265625,0.0
118479,2823.049072265625,0.0
118579,3052.775390625,0.0
118679,3052.775390625,0.0
118779,3052.775390625,0.0
118878,3052.775390625,0.0
118978,3052.775390625,0.0
119078,3052.775390625,0.0
119178,3052.775390625,0.0
119278,3052.775390625,0.0
119378,3052.775390625,0.0
119478,3052.775390625,0.0
119578,3052.775390625,0.0
119678,2770.70068359375,0.0
119778,2770.70068359375,0.0
119878,2770.70068359375,0.0
119978,2770.70068359375,0.0
120078,2770.70068359375,0.0
120178,2770.70068359375,0.0
120278,2770.70068359375,0.0
120378,2770.70068359375,0.0
120478,2770.70068359375,0.0
120578,2770.70068359375,0.0
120678,2770.70068359375,0.0
120778,2783.63623046875,0.0
120878,2783.63623046875,0.0
120978,2783.63623046875,0.0
121078,2783.63623046875,0.0
121178,2783.63623046875,0.0
121278,2783.63623046875,0.0
121378,2783.63623046875,0.0
121478,2783.63623046875,0.0
121578,2783.63623046875,0.0
