timestamp,posCtrlIndi.angF_roll,posCtrlIndi.angF_pitch,posCtrlIndi.angF_yaw,posCtrlIndi.accRef_x,posCtrlIndi.accRef_y,posCtrlIndi.accRef_z
181969,0.0,0.0,0.0,0.0,0.0,0.0
182069,0.0,0.0,0.0,0.0,0.0,0.0
182169,0.0,0.0,0.0,0.0,0.0,0.0
182269,0.0,0.0,0.0,0.0,0.0,0.0
182369,0.0,0.0,0.0,0.0,0.0,0.0
182469,0.0,0.0,0.0,0.0,0.0,0.0
182569,0.0,0.0,0.0,0.0,0.0,0.0
182669,0.0,0.0,0.0,0.0,0.0,0.0
182769,0.0,0.0,0.0,0.0,0.0,0.0
182869,0.0,0.0,0.0,0.0,0.0,0.0
182969,0.0,0.0,0.0,0.0,0.0,0.0
183069,0.0,0.0,0.0,0.0,0.0,0.0
183169,0.0,0.0,0.0,0.0,0.0,0.0
183269,0.0,0.0,0.0,0.0,0.0,0.0
183369,0.0,0.0,0.0,0.0,0.0,0.0
183469,0.0,0.0,0.0,0.0,0.0,0.0
183569,0.0,0.0,0.0,0.0,0.0,0.0
183669,0.0,0.0,0.0,0.0,0.0,0.0
183769,0.0,0.0,0.0,0.0,0.0,0.0
183869,0.0,0.0,0.0,0.0,0.0,0.0
183969,0.0,0.0,0.0,0.0,0.0,0.0
184069,0.0,0.0,0.0,0.0,0.0,0.0
184169,0.0,0.0,0.0,0.0,0.0,0.0
184269,0.0,0.0,0.0,0.0,0.0,0.0
184369,0.0,0.0,0.0,0.0,0.0,0.0
184469,0.0,0.0,0.0,0.0,0.0,0.0
184569,0.0,0.0,0.0,0.0,0.0,0.0
184669,0.0,0.0,0.0,0.0,0.0,0.0
184769,0.0,0.0,0.0,0.0,0.0,0.0
184869,0.0,0.0,0.0,0.0,0.0,0.0
184969,0.0,0.0,0.0,0.0,0.0,0.0
185069,0.0,0.0,0.0,0.0,0.0,0.0
185169,0.0,0.0,0.0,0.0,0.0,0.0
185269,0.0,0.0,0.0,0.0,0.0,0.0
185369,0.0,0.0,0.0,0.0,0.0,0.0
185472,0.0,0.0,0.0,0.0,0.0,0.0
185572,0.0,0.0,0.0,0.0,0.0,0.0
185671,0.0,0.0,0.0,0.0,0.0,0.0
185770,0.0,0.0,0.0,0.0,0.0,0.0
185870,0.0,0.0,0.0,0.0,0.0,0.0
185969,0.0,0.0,0.0,0.0,0.0,0.0
186070,0.0,0.0,0.0,0.0,0.0,0.0
186169,0.0,0.0,0.0,0.0,0.0,0.0
186269,0.0,0.0,0.0,0.0,0.0,0.0
186369,0.0,0.0,0.0,0.0,0.0,0.0
186469,0.0,0.0,0.0,0.0,0.0,0.0
186569,0.0,0.0,0.0,0.0,0.0,0.0
186669,0.0,0.0,0.0,0.0,0.0,0.0
186769,0.0,0.0,0.0,0.0,0.0,0.0
186869,0.0,0.0,0.0,0.0,0.0,0.0
186969,0.0,0.0,0.0,0.0,0.0,0.0
187069,0.0,0.0,0.0,0.0,0.0,0.0
187169,0.0,0.0,0.0,0.0,0.0,0.0
187269,0.0,0.0,0.0,0.0,0.0,0.0
187369,0.0,0.0,0.0,0.0,0.0,0.0
187469,0.0,0.0,0.0,0.0,0.0,0.0
187569,0.0,0.0,0.0,0.0,0.0,0.0
187669,0.0,0.0,0.0,0.0,0.0,0.0
187769,0.0,0.0,0.0,0.0,0.0,0.0
