timestamp,posCtrlIndi.accS_x,posCtrlIndi.accS_y,posCtrlIndi.accS_z,posCtrlIndi.accF_x,posCtrlIndi.accF_y,posCtrlIndi.accF_z
181973,0.0,0.0,0.0,0.0,0.0,0.0
182073,0.0,0.0,0.0,0.0,0.0,0.0
182173,0.0,0.0,0.0,0.0,0.0,0.0
182273,0.0,0.0,0.0,0.0,0.0,0.0
182373,0.0,0.0,0.0,0.0,0.0,0.0
182473,0.0,0.0,0.0,0.0,0.0,0.0
182573,0.0,0.0,0.0,0.0,0.0,0.0
182673,0.0,0.0,0.0,0.0,0.0,0.0
182773,0.0,0.0,0.0,0.0,0.0,0.0
182873,0.0,0.0,0.0,0.0,0.0,0.0
182973,0.0,0.0,0.0,0.0,0.0,0.0
183073,0.0,0.0,0.0,0.0,0.0,0.0
183173,0.0,0.0,0.0,0.0,0.0,0.0
183273,0.0,0.0,0.0,0.0,0.0,0.0
183373,0.0,0.0,0.0,0.0,0.0,0.0
183473,0.0,0.0,0.0,0.0,0.0,0.0
183573,0.0,0.0,0.0,0.0,0.0,0.0
183673,0.0,0.0,0.0,0.0,0.0,0.0
183773,0.0,0.0,0.0,0.0,0.0,0.0
183873,0.0,0.0,0.0,0.0,0.0,0.0
183973,0.0,0.0,0.0,0.0,0.0,0.0
184073,0.0,0.0,0.0,0.0,0.0,0.0
184175,0.0,0.0,0.0,0.0,0.0,0.0
184273,0.0,0.0,0.0,0.0,0.0,0.0
184373,0.0,0.0,0.0,0.0,0.0,0.0
184474,0.0,0.0,0.0,0.0,0.0,0.0
184574,0.0,0.0,0.0,0.0,0.0,0.0
184674,0.0,0.0,0.0,0.0,0.0,0.0
184774,0.0,0.0,0.0,0.0,0.0,0.0
184874,0.0,0.0,0.0,0.0,0.0,0.0
184974,0.0,0.0,0.0,0.0,0.0,0.0
185074,0.0,0.0,0.0,0.0,0.0,0.0
185173,0.0,0.0,0.0,0.0,0.0,0.0
185273,0.0,0.0,0.0,0.0,0.0,0.0
185373,0.0,0.0,0.0,0.0,0.0,0.0
185473,0.0,0.0,0.0,0.0,0.0,0.0
185573,0.0,0.0,0.0,0.0,0.0,0.0
185673,0.0,0.0,0.0,0.0,0.0,0.0
185773,0.0,0.0,0.0,0.0,0.0,0.0
185873,0.0,0.0,0.0,0.0,0.0,0.0
185973,0.0,0.0,0.0,0.0,0.0,0.0
186073,0.0,0.0,0.0,0.0,0.0,0.0
186173,0.0,0.0,0.0,0.0,0.0,0.0
186273,0.0,0.0,0.0,0.0,0.0,0.0
186373,0.0,0.0,0.0,0.0,0.0,0.0
186473,0.0,0.0,0.0,0.0,0.0,0.0
186573,0.0,0.0,0.0,0.0,0.0,0.0
186673,0.0,0.0,0.0,0.0,0.0,0.0
186773,0.0,0.0,0.0,0.0,0.0,0.0
186873,0.0,0.0,0.0,0.0,0.0,0.0
186973,0.0,0.0,0.0,0.0,0.0,0.0
187073,0.0,0.0,0.0,0.0,0.0,0.0
187173,0.0,0.0,0.0,0.0,0.0,0.0
187273,0.0,0.0,0.0,0.0,0.0,0.0
187373,0.0,0.0,0.0,0.0,0.0,0.0
187473,0.0,0.0,0.0,0.0,0.0,0.0
187573,0.0,0.0,0.0,0.0,0.0,0.0
187673,0.0,0.0,0.0,0.0,0.0,0.0
187773,0.0,0.0,0.0,0.0,0.0,0.0
187873,0.0,0.0,0.0,0.0,0.0,0.0
187973,0.0,0.0,0.0,0.0,0.0,0.0
188073,0.0,0.0,0.0,0.0,0.0,0.0
188173,0.0,0.0,0.0,0.0,0.0,0.0
188273,0.0,0.0,0.0,0.0,0.0,0.0
188373,0.0,0.0,0.0,0.0,0.0,0.0
188473,0.0,0.0,0.0,0.0,0.0,0.0
188573,0.0,0.0,0.0,0.0,0.0,0.0
188673,0.0,0.0,0.0,0.0,0.0,0.0
188773,0.0,0.0,0.0,0.0,0.0,0.0
188873,0.0,0.0,0.0,0.0,0.0,0.0
188973,0.0,0.0,0.0,0.0,0.0,0.0
189073,0.0,0.0,0.0,0.0,0.0,0.0
189173,0.0,0.0,0.0,0.0,0.0,0.0
189273,0.0,0.0,0.0,0.0,0.0,0.0
189373,0.0,0.0,0.0,0.0,0.0,0.0
189473,0.0,0.0,0.0,0.0,0.0,0.0
189573,0.0,0.0,0.0,0.0,0.0,0.0
189673,0.0,0.0,0.0,0.0,0.0,0.0
189773,0.0,0.0,0.0,0.0,0.0,0.0
189873,0.0,0.0,0.0,0.0,0.0,0.0
189973,0.0,0.0,0.0,0.0,0.0,0.0
190073,0.0,0.0,0.0,0.0,0.0,0.0
190173,0.0,0.0,0.0,0.0,0.0,0.0
190273,0.0,0.0,0.0,0.0,0.0,0.0
190373,0.0,0.0,0.0,0.0,0.0,0.0
190473,0.0,0.0,0.0,0.0,0.0,0.0
190573,0.0,0.0,0.0,0.0,0.0,0.0
190673,0.0,0.0,0.0,0.0,0.0,0.0
190773,0.0,0.0,0.0,0.0,0.0,0.0
190873,0.0,0.0,0.0,0.0,0.0,0.0
190973,0.0,0.0,0.0,0.0,0.0,0.0
191073,0.0,0.0,0.0,0.0,0.0,0.0
191176,0.0,0.0,0.0,0.0,0.0,0.0
191273,0.0,0.0,0.0,0.0,0.0,0.0
191373,0.0,0.0,0.0,0.0,0.0,0.0
191473,0.0,0.0,0.0,0.0,0.0,0.0
191574,0.0,0.0,0.0,0.0,0.0,0.0
191675,0.0,0.0,0.0,0.0,0.0,0.0
191775,0.0,0.0,0.0,0.0,0.0,0.0
191908,0.0,0.0,0.0,0.0,0.0,0.0
191974,0.0,0.0,0.0,0.0,0.0,0.0
192075,0.0,0.0,0.0,0.0,0.0,0.0
192174,0.0,0.0,0.0,0.0,0.0,0.0
192274,0.0,0.0,0.0,0.0,0.0,0.0
192374,0.0,0.0,0.0,0.0,0.0,0.0
192473,0.0,0.0,0.0,0.0,0.0,0.0
192573,0.0,0.0,0.0,0.0,0.0,0.0
192673,0.0,0.0,0.0,0.0,0.0,0.0
192773,0.0,0.0,0.0,0.0,0.0,0.0
192873,0.0,0.0,0.0,0.0,0.0,0.0
192973,0.0,0.0,0.0,0.0,0.0,0.0
193073,0.0,0.0,0.0,0.0,0.0,0.0
193173,0.0,0.0,0.0,0.0,0.0,0.0
193273,0.0,0.0,0.0,0.0,0.0,0.0
193373,0.0,0.0,0.0,0.0,0.0,0.0
193473,0.0,0.0,0.0,0.0,0.0,0.0
193573,0.0,0.0,0.0,0.0,0.0,0.0
193673,0.0,0.0,0.0,0.0,0.0,0.0
193773,0.0,0.0,0.0,0.0,0.0,0.0
193873,0.0,0.0,0.0,0.0,0.0,0.0
193973,0.0,0.0,0.0,0.0,0.0,0.0
194073,0.0,0.0,0.0,0.0,0.0,0.0
194173,0.0,0.0,0.0,0.0,0.0,0.0
194273,0.0,0.0,0.0,0.0,0.0,0.0
194373,0.0,0.0,0.0,0.0,0.0,0.0
194473,0.0,0.0,0.0,0.0,0.0,0.0
