timestamp,memTst.errCntW
154966,0
155066,0
155168,0
155268,0
155368,0
155468,0
155567,0
155667,0
155767,0
155867,0
155967,0
156067,0
156166,0
156266,0
156366,0
156466,0
156566,0
156666,0
156766,0
156866,0
156966,0
157066,0
157166,0
157266,0
157366,0
157466,0
157566,0
157666,0
157766,0
157866,0
157966,0
158066,0
158166,0
158266,0
158366,0
158466,0
158566,0
158666,0
158766,0
158866,0
158966,0
159066,0
159166,0
159266,0
159366,0
159466,0
159566,0
159666,0
159766,0
159866,0
159966,0
160066,0
160166,0
160266,0
160366,0
160466,0
160566,0
160666,0
160766,0
160866,0
160966,0
161066,0
161166,0
161266,0
161366,0
161466,0
161566,0
161666,0
161766,0
161869,0
161966,0
162069,0
162168,0
162268,0
162367,0
162466,0
162567,0
162666,0
162766,0
162866,0
162966,0
163066,0
163166,0
163266,0
163366,0
163466,0
163566,0
163666,0
163766,0
163866,0
163966,0
164066,0
164166,0
164266,0
164366,0
164466,0
164566,0
164666,0
164766,0
164866,0
164968,0
165068,0
165168,0
165268,0
165368,0
165468,0
165568,0
165668,0
165766,0
165868,0
165966,0
166067,0
166166,0
166268,0
166367,0
166467,0
166567,0
166666,0
166767,0
166866,0
166967,0
167067,0
167167,0
167267,0
167367,0
167467,0
167567,0
167667,0
167767,0
167867,0
167967,0
168067,0
168168,0
168267,0
168367,0
168466,0
168567,0
168666,0
168766,0
168866,0
168966,0
169066,0
169166,0
169266,0
169366,0
169466,0
169566,0
169666,0
169766,0
169866,0
169966,0
170066,0
170166,0
170266,0
170366,0
170466,0
170566,0
170666,0
170766,0
170866,0
170966,0
171066,0
171166,0
171266,0
171366,0
171466,0
171566,0
171666,0
171766,0
171866,0
171966,0
172066,0
172166,0
172266,0
172366,0
172466,0
172566,0
172666,0
172766,0
172866,0
172966,0
173066,0
173166,0
173266,0
173366,0
173466,0
173566,0
173666,0
173767,0
173866,0
173966,0
174066,0
174166,0
174266,0
174366,0
174466,0
174566,0
174666,0
174766,0
174866,0
174966,0
175066,0
175166,0
175266,0
175366,0
175466,0
175566,0
175666,0
175766,0
175866,0
175966,0
176066,0
176166,0
176266,0
176366,0
176466,0
176566,0
