timestamp,twr.rangingSuccessRate0,twr.rangingPerSec0,twr.rangingSuccessRate1,twr.rangingPerSec1,twr.rangingSuccessRate2,twr.rangingPerSec2,twr.rangingSuccessRate3,twr.rangingPerSec3,twr.rangingSuccessRate4,twr.rangingPerSec4,twr.rangingSuccessRate5,twr.rangingPerSec5
210790,0,0,0,0,0,0,0,0,0,0,0,0
210887,0,0,0,0,0,0,0,0,0,0,0,0
210987,0,0,0,0,0,0,0,0,0,0,0,0
211087,0,0,0,0,0,0,0,0,0,0,0,0
211188,0,0,0,0,0,0,0,0,0,0,0,0
211287,0,0,0,0,0,0,0,0,0,0,0,0
211387,0,0,0,0,0,0,0,0,0,0,0,0
211488,0,0,0,0,0,0,0,0,0,0,0,0
211587,0,0,0,0,0,0,0,0,0,0,0,0
211687,0,0,0,0,0,0,0,0,0,0,0,0
211787,0,0,0,0,0,0,0,0,0,0,0,0
211887,0,0,0,0,0,0,0,0,0,0,0,0
211987,0,0,0,0,0,0,0,0,0,0,0,0
212087,0,0,0,0,0,0,0,0,0,0,0,0
212187,0,0,0,0,0,0,0,0,0,0,0,0
212287,0,0,0,0,0,0,0,0,0,0,0,0
212387,0,0,0,0,0,0,0,0,0,0,0,0
212487,0,0,0,0,0,0,0,0,0,0,0,0
212587,0,0,0,0,0,0,0,0,0,0,0,0
212687,0,0,0,0,0,0,0,0,0,0,0,0
212787,0,0,0,0,0,0,0,0,0,0,0,0
212887,0,0,0,0,0,0,0,0,0,0,0,0
212987,0,0,0,0,0,0,0,0,0,0,0,0
213087,0,0,0,0,0,0,0,0,0,0,0,0
213187,0,0,0,0,0,0,0,0,0,0,0,0
213287,0,0,0,0,0,0,0,0,0,0,0,0
213387,0,0,0,0,0,0,0,0,0,0,0,0
213487,0,0,0,0,0,0,0,0,0,0,0,0
213587,0,0,0,0,0,0,0,0,0,0,0,0
213687,0,0,0,0,0,0,0,0,0,0,0,0
213787,0,0,0,0,0,0,0,0,0,0,0,0
213887,0,0,0,0,0,0,0,0,0,0,0,0
213987,0,0,0,0,0,0,0,0,0,0,0,0
214087,0,0,0,0,0,0,0,0,0,0,0,0
214187,0,0,0,0,0,0,0,0,0,0,0,0
214287,0,0,0,0,0,0,0,0,0,0,0,0
214389,0,0,0,0,0,0,0,0,0,0,0,0
214488,0,0,0,0,0,0,0,0,0,0,0,0
214588,0,0,0,0,0,0,0,0,0,0,0,0
214689,0,0,0,0,0,0,0,0,0,0,0,0
214788,0,0,0,0,0,0,0,0,0,0,0,0
214889,0,0,0,0,0,0,0,0,0,0,0,0
214988,0,0,0,0,0,0,0,0,0,0,0,0
215088,0,0,0,0,0,0,0,0,0,0,0,0
215188,0,0,0,0,0,0,0,0,0,0,0,0
215288,0,0,0,0,0,0,0,0,0,0,0,0
215388,0,0,0,0,0,0,0,0,0,0,0,0
215488,0,0,0,0,0,0,0,0,0,0,0,0
215588,0,0,0,0,0,0,0,0,0,0,0,0
215688,0,0,0,0,0,0,0,0,0,0,0,0
215788,0,0,0,0,0,0,0,0,0,0,0,0
215888,0,0,0,0,0,0,0,0,0,0,0,0
215988,0,0,0,0,0,0,0,0,0,0,0,0
