timestamp,range.front,range.back,range.up,range.left,range.right,range.zrange
210742,0,0,0,0,0,1
210842,0,0,0,0,0,3
210942,0,0,0,0,0,3
211042,0,0,0,0,0,1
211142,0,0,0,0,0,5
211242,0,0,0,0,0,3
211342,0,0,0,0,0,2
211442,0,0,0,0,0,3
211542,0,0,0,0,0,1
211642,0,0,0,0,0,1
211742,0,0,0,0,0,3
211842,0,0,0,0,0,4
211942,0,0,0,0,0,2
212042,0,0,0,0,0,4
212142,0,0,0,0,0,0
212242,0,0,0,0,0,0
212345,0,0,0,0,0,30
212445,0,0,0,0,0,80
212542,0,0,0,0,0,155
212645,0,0,0,0,0,209
212744,0,0,0,0,0,260
212844,0,0,0,0,0,312
212944,0,0,0,0,0,380
213044,0,0,0,0,0,406
213143,0,0,0,0,0,427
213244,0,0,0,0,0,449
213344,0,0,0,0,0,462
213443,0,0,0,0,0,472
213543,0,0,0,0,0,484
213643,0,0,0,0,0,491
213742,0,0,0,0,0,490
213842,0,0,0,0,0,485
213942,0,0,0,0,0,482
214042,0,0,0,0,0,493
214142,0,0,0,0,0,508
214242,0,0,0,0,0,519
214342,0,0,0,0,0,530
214442,0,0,0,0,0,543
214542,0,0,0,0,0,547
214642,0,0,0,0,0,560
214742,0,0,0,0,0,560
214842,0,0,0,0,0,565
214942,0,0,0,0,0,566
215042,0,0,0,0,0,564
215142,0,0,0,0,0,560
215242,0,0,0,0,0,556
215342,0,0,0,0,0,550
215442,0,0,0,0,0,546
215542,0,0,0,0,0,545
215642,0,0,0,0,0,544
215742,0,0,0,0,0,547
215842,0,0,0,0,0,548
215942,0,0,0,0,0,545
216042,0,0,0,0,0,547
216142,0,0,0,0,0,538
216242,0,0,0,0,0,528
216342,0,0,0,0,0,529
216442,0,0,0,0,0,526
216542,0,0,0,0,0,523
216642,0,0,0,0,0,512
216742,0,0,0,0,0,501
216842,0,0,0,0,0,490
216942,0,0,0,0,0,489
217042,0,0,0,0,0,486
217142,0,0,0,0,0,493
217242,0,0,0,0,0,510
217342,0,0,0,0,0,538
217442,0,0,0,0,0,574
217542,0,0,0,0,0,556
217642,0,0,0,0,0,540
217742,0,0,0,0,0,519
217842,0,0,0,0,0,489
217942,0,0,0,0,0,473
218042,0,0,0,0,0,469
218142,0,0,0,0,0,462
218242,0,0,0,0,0,443
218342,0,0,0,0,0,410
218442,0,0,0,0,0,358
218542,0,0,0,0,0,295
218642,0,0,0,0,0,191
218742,0,0,0,0,0,113
218842,0,0,0,0,0,29
218942,0,0,0,0,0,6
219042,0,0,0,0,0,3
219142,0,0,0,0,0,9
219242,0,0,0,0,0,9
219342,0,0,0,0,0,9
219442,0,0,0,0,0,11
219545,0,0,0,0,0,8
219645,0,0,0,0,0,8
219742,0,0,0,0,0,9
219844,0,0,0,0,0,11
219942,0,0,0,0,0,10
220044,0,0,0,0,0,8
220143,0,0,0,0,0,11
220243,0,0,0,0,0,12
220343,0,0,0,0,0,6
220444,0,0,0,0,0,8
220543,0,0,0,0,0,9
220643,0,0,0,0,0,12
220743,0,0,0,0,0,9
220843,0,0,0,0,0,11
220942,0,0,0,0,0,12
221042,0,0,0,0,0,11
221142,0,0,0,0,0,9
221242,0,0,0,0,0,9
221342,0,0,0,0,0,8
221442,0,0,0,0,0,8
221542,0,0,0,0,0,10
221642,0,0,0,0,0,9
221742,0,0,0,0,0,9
221842,0,0,0,0,0,8
221942,0,0,0,0,0,11
222042,0,0,0,0,0,9
222142,0,0,0,0,0,11
222245,0,0,0,0,0,9
222342,0,0,0,0,0,6
222444,0,0,0,0,0,9
222544,0,0,0,0,0,9
222644,0,0,0,0,0,8
222744,0,0,0,0,0,8
222844,0,0,0,0,0,10
222945,0,0,0,0,0,11
223042,0,0,0,0,0,10
223145,0,0,0,0,0,9
223244,0,0,0,0,0,8
223345,0,0,0,0,0,7
223445,0,0,0,0,0,7
223544,0,0,0,0,0,8
223644,0,0,0,0,0,9
223744,0,0,0,0,0,9
223844,0,0,0,0,0,8
223942,0,0,0,0,0,10
224044,0,0,0,0,0,15
224144,0,0,0,0,0,15
224242,0,0,0,0,0,0
224344,0,0,0,0,0,0
224444,0,0,0,0,0,0
224544,0,0,0,0,0,11
224644,0,0,0,0,0,43
224744,0,0,0,0,0,70
224844,0,0,0,0,0,106
224944,0,0,0,0,0,135
225044,0,0,0,0,0,185
225144,0,0,0,0,0,222
225244,0,0,0,0,0,259
225344,0,0,0,0,0,289
225444,0,0,0,0,0,335
225544,0,0,0,0,0,357
225644,0,0,0,0,0,370
225744,0,0,0,0,0,393
225844,0,0,0,0,0,402
225944,0,0,0,0,0,410
226043,0,0,0,0,0,421
226144,0,0,0,0,0,429
226243,0,0,0,0,0,436
226344,0,0,0,0,0,436
226443,0,0,0,0,0,440
226544,0,0,0,0,0,446
226642,0,0,0,0,0,449
226742,0,0,0,0,0,455
226843,0,0,0,0,0,466
226943,0,0,0,0,0,507
227043,0,0,0,0,0,529
227143,0,0,0,0,0,534
227257,0,0,0,0,0,528
227342,0,0,0,0,0,516
227443,0,0,0,0,0,503
227542,0,0,0,0,0,496
227644,0,0,0,0,0,493
227744,0,0,0,0,0,495
227844,0,0,0,0,0,496
227944,0,0,0,0,0,492
228044,0,0,0,0,0,488
228144,0,0,0,0,0,493
228244,0,0,0,0,0,503
228342,0,0,0,0,0,520
228444,0,0,0,0,0,525
228542,0,0,0,0,0,536
228644,0,0,0,0,0,544
228742,0,0,0,0,0,551
228842,0,0,0,0,0,561
228944,0,0,0,0,0,563
229043,0,0,0,0,0,560
229144,0,0,0,0,0,551
229243,0,0,0,0,0,550
229344,0,0,0,0,0,555
229443,0,0,0,0,0,555
229543,0,0,0,0,0,559
229642,0,0,0,0,0,554
229743,0,0,0,0,0,549
229842,0,0,0,0,0,542
229942,0,0,0,0,0,540
230042,0,0,0,0,0,540
230142,0,0,0,0,0,539
230242,0,0,0,0,0,538
230342,0,0,0,0,0,545
230442,0,0,0,0,0,545
230542,0,0,0,0,0,551
230642,0,0,0,0,0,546
230742,0,0,0,0,0,539
