timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz
87428,602,7,536,-632,-6,-8
87528,542,5,539,-627,-13,-3
87628,482,3,538,-618,-15,-2
87728,426,3,533,-592,-10,-22
87828,380,-1,541,-515,-18,42
87930,317,2,532,-553,4,-25
88030,272,0,535,-495,-1,6
88130,218,3,533,-486,16,-26
88230,173,5,529,-452,18,-33
88330,134,7,526,-393,12,-23
88429,101,8,526,-323,2,-3
88529,73,7,528,-252,-6,5
88628,51,7,528,-194,-9,6
88729,33,6,529,-141,-16,-7
88829,19,5,530,-112,-8,-8
88929,9,2,529,-79,-10,-13
89029,-1,4,527,-64,-12,-20
89128,-9,4,529,-49,-9,-5
89228,-16,5,529,-38,0,-4
89328,-21,6,528,-23,6,-10
89428,-25,7,525,-10,-1,-50
89528,-27,7,519,17,-6,-94
89628,-28,8,503,25,-4,-212
89728,-26,8,468,32,-3,-421
89828,-23,9,420,44,0,-597
89928,-19,10,353,50,5,-734
90028,-15,11,277,46,-3,-772
90128,-12,11,206,26,-5,-688
90228,-10,10,137,22,-4,-818
90328,-7,8,22,59,-104,-1407
90428,-5,15,0,143,84,-324
90528,-2,15,-3,9,-66,-76
90628,-2,16,-1,9,64,-22
90728,-3,16,0,-10,30,-8
90828,-2,15,0,-12,2,2
90928,-2,15,0,8,-3,3
91028,-2,16,0,-11,23,0
91128,-2,15,0,-31,21,-1
