timestamp,radio.rssi,radio.isConnected
69475,65,1
69576,65,1
69675,65,1
69775,65,1
69875,64,1
69975,65,1
70075,64,1
70175,65,1
70275,65,1
70375,66,1
70475,65,1
70575,65,1
70675,67,1
70775,66,1
70875,68,1
70975,69,1
71075,66,1
71175,65,1
71275,62,1
71375,62,1
71475,64,1
71575,62,1
71675,61,1
71775,67,1
71875,71,1
71975,67,1
72075,70,1
72175,64,1
72275,69,1
72375,70,1
72475,69,1
72575,66,1
72675,64,1
72775,63,1
72875,63,1
72975,64,1
73075,68,1
73175,66,1
73275,66,1
73375,80,1
73475,65,1
73575,78,1
73675,63,1
73775,61,1
73875,63,1
73975,63,1
74075,68,1
74175,79,1
74275,70,1
74375,63,1
74475,66,1
74575,65,1
74675,65,1
74775,65,1
74875,62,1
74975,69,1
75075,66,1
75175,67,1
75275,76,1
75375,76,1
75475,65,1
75575,64,1
75678,61,1
75777,65,1
75877,65,1
75976,65,1
76077,65,1
76176,65,1
76275,67,1
76375,65,1
76475,64,1
76575,64,1
76675,64,1
76775,64,1
76875,66,1
76975,66,1
77075,61,1
77175,61,1
77275,71,1
77375,64,1
77475,68,1
77575,67,1
77675,63,1
77775,64,1
77875,63,1
77975,64,1
78075,63,1
78175,64,1
78275,63,1
78375,63,1
78475,63,1
78575,63,1
78675,63,1
78775,63,1
78875,63,1
78975,63,1
79075,63,1
79175,63,1
79275,63,1
79375,63,1
79475,63,1
79575,63,1
79675,63,1
79775,63,1
79875,63,1
79975,62,1
80075,63,1
80175,63,1
80275,63,1
80375,63,1
80475,63,1
80575,63,1
80675,63,1
80775,63,1
80875,63,1
80975,63,1
81075,63,1
81175,63,1
81275,63,1
81375,63,1
81475,63,1
81575,63,1
81675,63,1
81775,63,1
81875,63,1
81975,63,1
82075,63,1
82175,63,1
82275,63,1
82375,63,1
82475,63,1
82575,63,1
82675,63,1
82775,63,1
82875,63,1
82975,64,1
83075,63,1
83175,64,1
83275,73,1
83375,65,1
83475,63,1
83575,63,1
83675,63,1
83775,61,1
83875,63,1
83975,59,1
84075,67,1
84177,64,1
84275,62,1
84377,64,1
84477,65,1
84577,68,1
84675,66,1
84776,61,1
84876,61,1
84975,61,1
85076,63,1
85176,64,1
85275,63,1
85375,63,1
85475,64,1
85575,65,1
85675,65,1
85775,66,1
85875,64,1
85975,62,1
86075,63,1
86175,63,1
86275,64,1
86375,74,1
86475,63,1
86575,66,1
86675,61,1
86775,63,1
86875,79,1
86975,66,1
87075,64,1
87175,65,1
87275,73,1
87375,61,1
87475,69,1
87575,71,1
87675,65,1
87775,67,1
87875,61,1
87975,65,1
88075,74,1
88175,64,1
88277,69,1
88378,64,1
88475,65,1
88578,65,1
88677,63,1
88775,63,1
88875,63,1
88975,65,1
89075,68,1
89175,71,1
89277,71,1
89375,69,1
89477,69,1
89577,70,1
89677,77,1
89777,65,1
89877,62,1
89977,61,1
90077,61,1
90177,61,1
90277,69,1
90375,68,1
90477,63,1
90577,64,1
90675,64,1
90777,65,1
90875,64,1
90975,65,1
91077,64,1
