timestamp,locSrv.qw
183262,0.0
183362,0.0
183462,0.0
183562,0.0
183662,0.0
183762,0.0
183862,0.0
183962,0.0
184062,0.0
184166,0.0
184265,0.0
184365,0.0
184465,0.0
184565,0.0
184665,0.0
184765,0.0
184865,0.0
184965,0.0
185064,0.0
185165,0.0
185265,0.0
185365,0.0
185462,0.0
185562,0.0
185662,0.0
185762,0.0
185862,0.0
185965,0.0
186065,0.0
186165,0.0
186264,0.0
186364,0.0
186462,0.0
186564,0.0
186664,0.0
186764,0.0
186864,0.0
186964,0.0
187062,0.0
187163,0.0
187263,0.0
187362,0.0
187462,0.0
187562,0.0
187662,0.0
187763,0.0
187863,0.0
187962,0.0
188062,0.0
188162,0.0
188262,0.0
188362,0.0
188462,0.0
188562,0.0
188662,0.0
188762,0.0
188862,0.0
188962,0.0
189062,0.0
189162,0.0
189262,0.0
189362,0.0
189462,0.0
189562,0.0
189662,0.0
189762,0.0
189862,0.0
189962,0.0
190062,0.0
190162,0.0
190262,0.0
190362,0.0
190462,0.0
190562,0.0
190662,0.0
190762,0.0
190863,0.0
190962,0.0
191062,0.0
191162,0.0
191262,0.0
191365,0.0
191462,0.0
191565,0.0
191662,0.0
191765,0.0
191865,0.0
191964,0.0
192064,0.0
192164,0.0
192264,0.0
192364,0.0
192463,0.0
192563,0.0
192663,0.0
192763,0.0
192862,0.0
192963,0.0
193062,0.0
193162,0.0
193262,0.0
193362,0.0
193462,0.0
193563,0.0
193662,0.0
193762,0.0
193863,0.0
193962,0.0
194062,0.0
194162,0.0
194263,0.0
194362,0.0
194462,0.0
194562,0.0
194662,0.0
194762,0.0
194862,0.0
194962,0.0
195062,0.0
195162,0.0
195262,0.0
195362,0.0
195462,0.0
195562,0.0
195662,0.0
195762,0.0
195862,0.0
195962,0.0
196062,0.0
196162,0.0
196262,0.0
196362,0.0
196462,0.0
196562,0.0
196662,0.0
196762,0.0
196862,0.0
196962,0.0
197062,0.0
197162,0.0
197262,0.0
197362,0.0
197463,0.0
197562,0.0
197662,0.0
197762,0.0
197862,0.0
197962,0.0
198062,0.0
198162,0.0
198262,0.0
198362,0.0
198462,0.0
198562,0.0
198662,0.0
198762,0.0
198862,0.0
198962,0.0
199062,0.0
199162,0.0
199262,0.0
199362,0.0
199462,0.0
199562,0.0
199662,0.0
199762,0.0
199865,0.0
199965,0.0
200062,0.0
200162,0.0
200265,0.0
200364,0.0
200464,0.0
200564,0.0
200664,0.0
200764,0.0
200864,0.0
200964,0.0
201064,0.0
201163,0.0
201263,0.0
201363,0.0
201463,0.0
201563,0.0
201663,0.0
201763,0.0
201862,0.0
201962,0.0
202062,0.0
202163,0.0
202262,0.0
202362,0.0
202462,0.0
202562,0.0
202662,0.0
202762,0.0
202863,0.0
202962,0.0
203062,0.0
203163,0.0
203262,0.0
203362,0.0
203462,0.0
203562,0.0
203662,0.0
203762,0.0
203862,0.0
203962,0.0
204062,0.0
204163,0.0
204262,0.0
204362,0.0
204462,0.0
204562,0.0
204662,0.0
204762,0.0
204862,0.0
