timestamp,posCtl.Yd,posCtl.Zp,posCtl.Zi,posCtl.Zd,posCtl.VXp,posCtl.VXi
210198,-0.0,-0.42278578877449036,-0.050198595970869064,0.0,-1.4023069143295288,-0.0005609227810055017
210298,-0.0,-0.42278578877449036,-0.050198595970869064,0.0,-0.48430246114730835,-0.0001937209744937718
210398,-0.0,-0.42278578877449036,-0.050198595970869064,0.0,-0.4567771553993225,-0.00018271086446475238
210498,-0.0,-0.42278578877449036,-0.050198595970869064,0.0,-0.011370059102773666,-4.548023298411863e-06
210598,-0.0,-0.42278578877449036,-0.050198595970869064,0.0,-0.24468326568603516,-9.787330054678023e-05
210698,-0.0,-0.42278578877449036,-0.050198595970869064,0.0,0.9677940011024475,0.0003871175867971033
210798,-0.0,-0.42278578877449036,-0.050198595970869064,0.0,1.1754003763198853,0.00047016015741974115
210898,-0.0,-0.42278578877449036,-0.050198595970869064,0.0,0.23945413529872894,9.578165190760046e-05
210998,-0.0,-0.42278578877449036,-0.050198595970869064,0.0,0.7727161645889282,0.0003090864629484713
211098,-0.0,-0.42278578877449036,-0.050198595970869064,0.0,-0.20043891668319702,-8.017556683626026e-05
211198,-0.0,0.0017687667859718204,1.4461367754847743e-05,0.0,0.38026192784309387,-0.0003177746548317373
211298,0.0,0.02804672345519066,0.000336506956955418,0.0,0.7792889475822449,0.003350015264004469
211398,-0.0,0.11396420001983643,0.002078139688819647,0.0,1.2092030048370361,0.00649311114102602
211501,-0.0,0.26231691241264343,0.006851107347756624,0.0,0.4732294976711273,0.004969497211277485
211598,0.0,0.4481479823589325,0.01592968963086605,0.0,3.94138765335083,0.014416893012821674
211700,0.0,0.6177545785903931,0.02957691065967083,0.0,3.0862185955047607,0.02935289777815342
211800,0.0,0.7034497261047363,0.04635338857769966,0.0,2.672126054763794,0.04040130600333214
211899,0.0,0.698360025882721,0.06404054909944534,-0.0,1.8086459636688232,0.04721556603908539
212000,0.0,0.6211778521537781,0.08056917786598206,-0.0,1.0673588514328003,0.052363403141498566
212099,0.0,0.5025923252105713,0.09447669237852097,-0.0,1.398430585861206,0.05696495622396469
212199,0.0,0.3896360397338867,0.10545118153095245,-0.0,1.0919471979141235,0.061519622802734375
