timestamp,controller.accelz,controller.actuatorThrust,controller.cmd_pitch,controller.cmd_roll,controller.cmd_thrust,controller.cmd_yaw
111551,1.0014184713363647,0.0,0.0,0.0,0.0,0.0
111651,0.9989117980003357,0.0,0.0,0.0,0.0,0.0
111751,1.00174880027771,0.0,0.0,0.0,0.0,0.0
111851,1.0015263557434082,0.0,0.0,0.0,0.0,0.0
111951,1.0023552179336548,0.0,0.0,0.0,0.0,0.0
112051,1.0018199682235718,0.0,0.0,0.0,0.0,0.0
112151,1.0026649236679077,0.0,0.0,0.0,0.0,0.0
112251,1.000976800918579,0.0,0.0,0.0,0.0,0.0
112351,0.997280478477478,0.0,0.0,0.0,0.0,0.0
112451,1.0017263889312744,0.0,0.0,0.0,0.0,0.0
112551,1.0035816431045532,35946.328125,2452.0,3357.0,35946.328125,38.0
112655,1.0217169523239136,36614.55078125,1076.0,5505.0,36614.55078125,932.0
112754,1.0284744501113892,38864.21875,-6540.0,1287.0,38864.21875,-1235.0
112854,1.0370935201644897,41820.01171875,-306.0,-142.0,41820.01171875,37.0
112951,1.1434255838394165,45669.61328125,-9726.0,-5568.0,45501.296875,495.0
113054,1.1924439668655396,46996.30078125,-6387.0,-6361.0,46996.30078125,942.0
113151,1.1647275686264038,45403.109375,-1808.0,-1586.0,45568.17578125,875.0
113251,1.0657345056533813,40537.33203125,-6484.0,-4855.0,41643.43359375,866.0
113351,0.9439154863357544,38745.66796875,-6592.0,-1189.0,38963.98828125,863.0
113453,0.9258399605751038,40291.79296875,-2574.0,-2462.0,40291.79296875,870.0
113552,0.9593907594680786,39645.84375,-973.0,-5321.0,40128.8359375,760.0
113652,0.9336666464805603,39043.046875,-2403.0,-2655.0,39084.6328125,742.0
113751,0.9252358078956604,38976.4296875,-4870.0,-2131.0,38976.4296875,866.0
113851,0.9161577820777893,39063.4921875,-1581.0,-549.0,39063.4921875,832.0
113951,0.9390096664428711,39005.05859375,-2650.0,-193.0,39005.05859375,746.0
114051,0.9419317245483398,39727.84375,-3553.0,-1478.0,39727.84375,656.0
114151,0.9698285460472107,40342.5625,-2389.0,-3295.0,40342.5625,753.0
114251,0.9758120179176331,40730.55078125,-3924.0,-1768.0,40730.55078125,718.0
114351,0.9740322828292847,40391.515625,-4592.0,-1628.0,40391.515625,807.0
114451,0.9766346216201782,40234.3359375,-2002.0,-1904.0,40234.3359375,913.0
114551,0.9542311429977417,40193.3359375,-2895.0,-4130.0,40193.3359375,1139.0
114651,0.9687814712524414,40177.80078125,-2154.0,-4610.0,40177.80078125,859.0
114751,0.9530460238456726,40443.70703125,-4668.0,-2097.0,40443.70703125,934.0
114851,1.0014435052871704,40577.14453125,-3940.0,-1705.0,40577.14453125,869.0
114951,1.0219368934631348,40922.47265625,-2742.0,-709.0,40922.47265625,1094.0
115051,1.003842830657959,40591.421875,-3105.0,-2453.0,40591.421875,1152.0
115151,0.9859159588813782,40833.42578125,-5172.0,-1166.0,40833.42578125,1049.0
115251,0.9845237135887146,41173.5234375,-3110.0,-955.0,41173.5234375,850.0
115351,1.0042972564697266,40693.296875,-3391.0,-2430.0,40693.296875,867.0
115451,1.0134114027023315,40857.33203125,-5523.0,-530.0,40857.33203125,784.0
115551,0.975482702255249,39785.57421875,-5562.0,-1022.0,39785.57421875,839.0
115651,0.941375732421875,37337.734375,-4011.0,-2503.0,37337.734375,924.0
115751,0.9477261900901794,44246.0390625,-4732.0,-2199.0,44246.0390625,1155.0
115851,1.084786295890808,44352.38671875,-9479.0,-428.0,44352.38671875,1283.0
115951,1.1026036739349365,42408.58203125,-4073.0,-2036.0,42408.58203125,1327.0
116051,1.0362634658813477,40353.6875,-3598.0,-1666.0,40353.6875,1064.0
116151,0.9867572784423828,39910.59765625,-6555.0,-1276.0,39910.59765625,838.0
116251,0.936652421951294,40164.3125,-3257.0,-3160.0,39929.04296875,1101.0
116351,0.9786303639411926,40298.58984375,-1982.0,-4492.0,40479.37109375,1064.0
116451,0.9993024468421936,40718.37109375,-7031.0,-3922.0,40480.55859375,973.0
116551,1.0029031038284302,40565.85546875,-4698.0,-4247.0,40406.9453125,820.0
116651,0.9949533343315125,39801.6875,-4235.0,-5862.0,40203.828125,958.0
116751,0.9722184538841248,39835.53515625,-5435.0,-1270.0,39814.734375,846.0
116851,1.0066120624542236,40560.6640625,-5404.0,-3517.0,40412.52734375,853.0
116951,1.0097122192382812,40748.78515625,-4487.0,-1733.0,40748.78515625,861.0
117051,1.0071427822113037,40885.8828125,-4181.0,-2333.0,40885.8828125,992.0
117151,1.0294878482818604,40804.8359375,-4180.0,-2654.0,40804.8359375,1008.0
117251,1.0023223161697388,40731.76953125,-4356.0,-1175.0,40731.76953125,888.0
117351,1.0357509851455688,40464.09375,-2732.0,-2269.0,40464.09375,875.0
117451,1.001789927482605,41995.45703125,-5253.0,-2336.0,41995.45703125,955.0
117554,1.022201657295227,39573.9921875,-1744.0,-1306.0,39550.40625,1048.0
117651,0.9995822310447693,40004.9921875,-5364.0,-1762.0,40004.9921875,907.0
117751,1.0169522762298584,41811.62109375,-5020.0,-1079.0,41811.62109375,944.0
117854,1.0080149173736572,40718.98046875,-3757.0,-1952.0,40744.3046875,758.0
117951,1.0041559934616089,40547.31640625,-4785.0,-1601.0,40547.31640625,647.0
118053,0.9856445789337158,41352.171875,-4675.0,-990.0,41352.171875,777.0
118154,0.9957796335220337,41151.2578125,-3518.0,-1521.0,41151.2578125,735.0
118254,0.98032546043396,40765.01171875,-3754.0,-1324.0,40765.01171875,804.0
118353,1.0263803005218506,40287.1171875,-2676.0,-1520.0,40287.1171875,698.0
