timestamp,range.front,range.back,range.up,range.left,range.right,range.zrange
69483,0,0,0,0,0,0
69583,0,0,0,0,0,0
69683,0,0,0,0,0,0
69783,0,0,0,0,0,0
69883,0,0,0,0,0,0
69983,0,0,0,0,0,0
70083,0,0,0,0,0,0
70183,0,0,0,0,0,0
70283,0,0,0,0,0,0
70383,0,0,0,0,0,0
70483,0,0,0,0,0,0
70583,0,0,0,0,0,0
70683,0,0,0,0,0,0
70783,0,0,0,0,0,0
70883,0,0,0,0,0,0
70983,0,0,0,0,0,2
71083,0,0,0,0,0,30
71183,0,0,0,0,0,98
71283,0,0,0,0,0,146
71383,0,0,0,0,0,199
71483,0,0,0,0,0,281
71583,0,0,0,0,0,325
71683,0,0,0,0,0,365
71783,0,0,0,0,0,392
71883,0,0,0,0,0,436
71983,0,0,0,0,0,457
72083,0,0,0,0,0,472
72183,0,0,0,0,0,484
72283,0,0,0,0,0,497
72383,0,0,0,0,0,503
72483,0,0,0,0,0,507
72583,0,0,0,0,0,516
72683,0,0,0,0,0,523
72783,0,0,0,0,0,529
72883,0,0,0,0,0,527
72983,0,0,0,0,0,525
73083,0,0,0,0,0,521
73183,0,0,0,0,0,521
73283,0,0,0,0,0,527
73383,0,0,0,0,0,537
73483,0,0,0,0,0,547
73583,0,0,0,0,0,551
73683,0,0,0,0,0,550
73783,0,0,0,0,0,548
73883,0,0,0,0,0,539
73983,0,0,0,0,0,531
74083,0,0,0,0,0,534
74183,0,0,0,0,0,541
74283,0,0,0,0,0,550
74383,0,0,0,0,0,554
74483,0,0,0,0,0,557
74583,0,0,0,0,0,558
74683,0,0,0,0,0,552
74783,0,0,0,0,0,545
74883,0,0,0,0,0,532
74983,0,0,0,0,0,516
75083,0,0,0,0,0,507
75183,0,0,0,0,0,510
75283,0,0,0,0,0,514
75383,0,0,0,0,0,523
75486,0,0,0,0,0,524
75586,0,0,0,0,0,519
75685,0,0,0,0,0,518
75785,0,0,0,0,0,517
75885,0,0,0,0,0,510
75985,0,0,0,0,0,509
76084,0,0,0,0,0,507
76184,0,0,0,0,0,509
76285,0,0,0,0,0,505
76384,0,0,0,0,0,503
76484,0,0,0,0,0,507
76584,0,0,0,0,0,505
76684,0,0,0,0,0,505
76783,0,0,0,0,0,500
76883,0,0,0,0,0,496
76985,0,0,0,0,0,491
77084,0,0,0,0,0,471
77183,0,0,0,0,0,436
77283,0,0,0,0,0,384
77383,0,0,0,0,0,278
77483,0,0,0,0,0,197
77583,0,0,0,0,0,112
77683,0,0,0,0,0,0
