timestamp,ctrltargetZ.ax,ctrltargetZ.ay,ctrltargetZ.az
111574,0,0,0
111674,0,0,0
111774,0,0,0
111874,0,0,0
111976,0,0,0
112076,0,0,0
112176,0,0,0
112276,0,0,0
112376,0,0,0
112475,0,0,0
112575,0,0,1274
112675,0,0,3157
112775,0,0,3728
112874,0,0,2554
112974,0,0,202
113074,0,0,-2242
113174,0,0,-3655
113274,0,0,-3357
113374,0,0,-1595
113477,0,0,-29
113574,8,0,-20
113676,33,0,-19
113776,68,0,-17
113874,112,0,-15
113976,160,0,-12
114074,210,0,-9
114176,259,0,-6
114276,305,0,-3
114375,347,0,0
114476,383,0,2
114576,412,0,5
114676,433,0,7
114776,446,0,9
114875,450,0,11
114974,446,0,12
115076,432,0,14
115175,413,0,14
115275,384,0,15
115375,347,0,15
115474,304,0,15
115574,255,0,14
115674,201,0,13
115775,143,0,12
115875,83,0,11
115975,21,0,9
116075,-41,0,8
116175,-102,0,6
116275,-162,0,4
116375,-219,0,3
116475,-271,0,1
116575,-318,0,0
116675,-359,0,-2
116775,-394,0,-3
116875,-420,0,-4
116975,-439,0,-5
117075,-449,0,-6
117175,-450,0,-7
117274,-442,0,-7
117374,-426,0,-8
117475,-401,0,-7
117574,-369,0,-7
117674,-330,0,-7
117774,-286,0,-6
117874,-238,0,-5
117974,-189,0,-4
118074,-144,0,-3
118174,-97,0,-2
118274,-56,0,-1
118374,-23,0,0
118474,-4,0,0
118574,0,0,-1043
118674,0,0,-2985
118774,0,0,-3752
118874,0,0,-2765
118974,0,0,-499
119074,0,0,1995
119174,0,0,3573
119274,0,0,3480
119374,0,0,1834
119475,0,0,105
119575,0,0,0
119674,0,0,0
119774,0,0,0
119874,0,0,0
119974,0,0,0
120074,0,0,0
120174,0,0,0
120274,0,0,0
120374,0,0,0
120474,0,0,0
120574,0,0,0
120674,0,0,0
120774,0,0,0
120874,0,0,0
120974,0,0,0
121074,0,0,0
121174,0,0,0
121274,0,0,0
121374,0,0,0
121474,0,0,0
121574,0,0,0
121674,0,0,0
121774,0,0,0
121874,0,0,0
121976,0,0,0
122074,0,0,0
122174,0,0,0
122276,0,0,0
122376,0,0,0
122474,0,0,0
122574,0,0,0
122676,0,0,0
122776,0,0,0
122875,0,0,0
122975,0,0,0
123075,0,0,0
123175,0,0,0
123274,0,0,0
123374,0,0,0
123474,0,0,0
123574,0,0,0
123674,0,0,0
123774,0,0,0
123874,0,0,0
123974,0,0,0
124074,0,0,0
124174,0,0,0
124274,0,0,0
124374,0,0,0
124474,0,0,0
124574,0,0,151
124674,0,0,501
124774,0,0,916
124874,0,0,1210
124974,0,0,1299
125074,0,0,1163
125174,0,0,826
125274,0,0,349
125374,0,0,-185
125474,0,0,-690
125574,0,0,-1078
125674,0,0,-1281
125774,0,0,-1261
125874,0,0,-1025
125974,0,0,-635
126074,0,0,-222
126174,0,0,-6
126274,-11,0,-6
126374,-37,0,-6
126474,-75,0,-5
126574,-120,0,-4
126674,-169,-1,-3
126774,-220,-1,-2
126874,-270,-1,-1
126976,-317,-2,0
127074,-360,-2,0
127174,-396,-2,0
127274,-424,-2,1
127374,-445,-2,2
127476,-457,-3,3
127576,-460,-3,3
127676,-454,-3,4
127776,-439,-2,4
127874,-416,-2,4
127974,-388,-2,4
128074,-350,-2,4
128174,-305,-2,4
128274,-254,-1,4
128374,-198,-1,4
128474,-139,0,3
128574,-77,0,3
128674,-13,0,3
128774,49,0,2
128874,112,0,1
128974,173,1,1
129074,230,1,0
129174,283,1,0
129274,331,2,0
129374,372,2,0
129474,406,2,-1
129574,432,2,-1
129674,450,3,-1
129774,459,3,-2
129874,459,3,-2
129974,450,3,-2
130074,432,2,-2
130174,406,2,-2
130274,372,2,-2
130374,332,2,-2
130474,287,1,-1
130574,237,1,-1
130674,187,1,-1
130774,136,0,0
130876,89,0,0
130976,49,0,0
131076,18,0,0
131176,0,0,-13
131276,0,0,-1512
131376,0,0,-3307
131474,0,0,-3722
131576,0,0,-2325
131676,0,0,97
131774,0,0,2273
131876,0,0,3712
131976,0,0,3338
132076,0,0,1563
132174,0,0,22
132274,0,0,0
132376,0,0,0
132475,0,0,0
132574,0,0,0
132674,0,0,0
132774,0,0,0
132874,0,0,0
132974,0,0,0
133074,0,0,0
133174,0,0,0
