timestamp,controller.roll,controller.rollRate,controller.yaw,controller.yawRate
111557,0,10.485268592834473,0.3333897292613983,-60.34420394897461
111657,0,7.408229351043701,0.344897598028183,-62.42715072631836
111757,0,8.182666778564453,0.32891562581062317,-59.534385681152344
111857,0,5.695233345031738,0.30793753266334534,-55.737308502197266
111957,0,7.333559989929199,0.26975658535957336,-48.826473236083984
112057,0,8.003884315490723,0.2524465024471283,-45.69331741333008
112157,0,8.38994026184082,0.27025848627090454,-48.917327880859375
112257,0,8.82216739654541,0.31824710965156555,-57.542118072509766
112357,0,9.400870323181152,0.32315582036972046,-58.49184036254883
112457,0,10.390974998474121,0.32690009474754333,-59.1695671081543
112557,0,14.31978702545166,0.32640406489372253,-1.191054344177246
112657,0,8.48882007598877,0.3198588490486145,0.24196602404117584
112757,0,8.633395195007324,0.295645534992218,0.1120695173740387
112857,0,-6.559568405151367,0.2482796013355255,0.7953454256057739
112957,-1,-16.788320541381836,0.182968869805336,-0.7585949301719666
113057,0,-2.9696993827819824,0.11322295665740967,-15.677261352539062
113157,-1,-11.839288711547852,0.05460592359304428,-5.3379435539245605
113257,-1,-5.1771321296691895,0.017539000138640404,-5.3238959312438965
113357,-1,-5.268610954284668,0.002422383986413479,-5.9146575927734375
113457,0,-0.2618614435195923,1.0669607945601456e-05,-6.272655010223389
113557,0,-0.924339771270752,-2.8154906885902165e-06,-6.112635135650635
113657,0,1.743645429611206,-7.643991011718754e-06,-4.813498497009277
113757,0,-0.39598017930984497,-1.2447385415725876e-05,-6.228372573852539
113857,0,-1.2702949047088623,-1.7194392057717778e-05,-6.206215858459473
113957,0,-1.8053733110427856,-2.1845078663318418e-05,-5.278886795043945
114057,0,-5.764622688293457,-2.6354466172051616e-05,-4.452274799346924
114157,0,-5.648530960083008,-3.0676335882162675e-05,-4.118714809417725
114257,0,-4.272556781768799,-3.476221900200471e-05,-5.824283123016357
114357,0,-3.8176491260528564,-3.8563066482311115e-05,-5.562788009643555
114457,0,2.0401077270507812,-4.203626303933561e-05,-5.423614025115967
114557,0,5.503173351287842,-4.514109605224803e-05,-7.355450630187988
114657,1,6.107994556427002,-4.7841811465332285e-05,-7.22609281539917
114757,1,5.0869035720825195,-5.0109771109418944e-05,-5.929643630981445
114857,1,1.2431440353393555,-5.192345633986406e-05,-6.285290718078613
114957,1,-0.5898526310920715,-5.326667815097608e-05,-6.220033645629883
115057,0,-1.756137490272522,-5.413252074504271e-05,-6.289729595184326
115157,0,-2.338931083679199,-5.452058030641638e-05,-4.3392438888549805
