timestamp,crtp.rxRate,crtp.txRate
111559,40,2
111659,548,199
111759,548,199
111859,548,199
111959,548,199
112059,548,199
112159,712,319
112259,712,319
112359,712,319
112459,712,319
112559,712,319
112661,657,304
112759,657,304
112859,657,304
112959,657,304
113059,657,304
113159,896,257
113261,896,257
113361,896,257
113459,896,257
113559,896,257
113659,744,161
113759,744,161
113859,744,161
113959,744,161
114059,744,161
114159,534,159
114259,534,159
114359,534,159
114459,534,159
114559,534,159
114659,682,159
114759,682,159
114859,682,159
114959,682,159
115059,682,159
115159,636,159
115259,636,159
115359,636,159
115459,636,159
115559,636,159
115659,578,159
115759,578,159
115859,578,159
115959,578,159
116059,578,159
116159,556,159
116259,556,159
116359,556,159
116459,556,159
116559,556,159
116662,633,159
116761,633,159
116861,633,159
116961,633,159
117061,633,159
117160,628,159
117259,628,159
117359,628,159
117460,628,159
117559,628,159
117659,646,159
117759,646,159
117859,646,159
117959,646,159
118059,646,159
118159,523,159
118259,523,159
118359,523,159
118459,523,159
118559,523,159
118659,580,161
118759,580,161
118859,580,161
118959,580,161
119060,580,161
119161,463,139
119260,463,139
119360,463,139
119460,463,139
119560,463,139
119660,525,181
119760,525,181
119859,525,181
119959,525,181
120060,525,181
120159,802,159
120259,802,159
120359,802,159
120459,802,159
120559,802,159
120659,764,159
120759,764,159
120859,764,159
120959,764,159
121059,764,159
121159,698,159
121259,698,159
121359,698,159
121459,698,159
121559,698,159
121659,624,161
121759,624,161
121859,624,161
121959,624,161
122059,624,161
122159,716,159
122259,716,159
122359,716,159
122459,716,159
122559,716,159
122659,610,159
122759,610,159
122859,610,159
122959,610,159
123059,610,159
123159,722,159
123259,722,159
123359,722,159
123459,722,159
123559,722,159
123659,742,159
123759,742,159
123859,742,159
123959,742,159
124059,742,159
124159,686,159
124259,686,159
124359,686,159
124459,686,159
124559,686,159
124659,724,163
124759,724,163
124859,724,163
124959,724,163
125061,724,163
125161,734,159
125260,734,159
125360,734,159
125460,734,159
125560,734,159
125660,814,159
125760,814,159
125860,814,159
125959,814,159
126059,814,159
126159,574,159
126259,574,159
126359,574,159
126459,574,159
126559,574,159
126659,678,161
126759,678,161
126859,678,161
126959,678,161
127059,678,161
127159,724,161
127259,724,161
127359,724,161
127459,724,161
127559,724,161
127659,568,161
127759,568,161
127860,568,161
127960,568,161
128059,568,161
128159,597,159
128259,597,159
128359,597,159
128459,597,159
128559,597,159
128659,564,159
128759,564,159
128859,564,159
128959,564,159
129059,564,159
129159,556,159
129259,556,159
129359,556,159
129459,556,159
129559,556,159
129659,556,159
129759,545,160
129859,545,160
129959,545,160
130059,545,160
130159,545,160
130259,742,165
130359,742,165
130459,742,165
130559,742,165
130659,742,165
130759,671,157
130859,671,157
130959,671,157
131059,671,157
131159,671,157
131259,660,161
131359,660,161
131459,660,161
131559,660,161
131659,660,161
131759,812,163
131859,812,163
131959,812,163
132059,812,163
132159,812,163
132259,714,161
132359,714,161
132459,714,161
132559,714,161
132659,714,161
132759,650,159
132859,650,159
132959,650,159
133059,650,159
133159,650,159
