timestamp,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,ctrltargetZ.vx,ctrltargetZ.vy,ctrltargetZ.vz
111573,0,0,0,0,0,0
111672,0,0,0,0,0,0
111772,0,0,0,0,0,0
111872,0,0,0,0,0,0
111975,0,0,0,0,0,0
112072,0,0,0,0,0,0
112175,0,0,0,0,0,0
112275,0,0,0,0,0,0
112375,0,0,0,0,0,0
112475,0,0,0,0,0,0
112575,0,0,0,0,0,45
112675,0,0,15,0,0,270
112775,0,0,59,0,0,626
112874,0,0,138,0,0,951
112972,0,0,241,0,0,1093
113074,0,0,346,0,0,988
113172,0,0,430,0,0,683
113273,0,0,480,0,0,320
113373,0,0,497,0,0,67
113474,0,0,500,0,0,0
113574,0,0,499,0,0,-1
113672,0,0,499,2,0,-4
113772,0,0,499,7,0,-5
113873,1,0,498,16,0,-7
113972,3,0,497,28,0,-8
114073,7,0,496,47,0,-10
114176,13,0,495,71,0,-10
114275,21,0,494,99,0,-11
114372,31,0,493,128,0,-11
114472,46,0,492,164,0,-11
114572,64,0,491,203,0,-11
114673,86,0,490,245,0,-10
114772,113,0,489,288,0,-9
114875,147,0,488,337,0,-8
114972,179,0,487,377,0,-7
115075,223,0,486,425,0,-5
115175,262,0,486,463,0,-4
115275,310,0,485,503,0,-3
115373,362,0,485,539,0,-1
115472,417,0,485,572,0,0
115572,475,0,485,599,0,1
115672,536,0,485,622,0,2
115775,598,0,486,639,0,4
115875,662,0,486,650,0,5
115975,727,0,487,656,0,6
116075,792,0,487,655,0,7
116175,857,0,488,647,0,7
116275,921,0,489,634,0,8
116375,983,0,490,615,0,8
116475,1042,0,491,591,0,9
116575,1100,0,492,562,0,9
116675,1154,0,493,528,0,9
116775,1204,0,493,490,0,8
116875,1251,0,494,450,0,8
116975,1293,0,495,407,0,7
117074,1332,0,496,363,0,7
117175,1366,0,497,319,0,6
117274,1395,0,497,274,0,5
117374,1420,0,498,231,0,4
117475,1441,0,498,190,0,4
117574,1458,0,499,152,0,3
117674,1471,0,499,117,0,2
117774,1481,0,499,86,0,2
117873,1488,0,499,63,0,1
117974,1493,0,499,41,0,0
118074,1496,0,499,24,0,0
