timestamp,lighthouse.width3,lighthouse.comSync,lighthouse.bsReceive,lighthouse.bsActive,lighthouse.bsCalUd,lighthouse.bsCalCon,lighthouse.status,lighthouse.posRt,lighthouse.estBs0Rt,lighthouse.estBs1Rt
183248,394,1,3,3,0,3,2,487.2085876464844,298.1315002441406,189.0771026611328
183348,389,1,3,3,0,3,2,487.2085876464844,298.1315002441406,189.0771026611328
183448,389,1,3,3,0,3,2,487.2085876464844,298.1315002441406,189.0771026611328
183548,395,1,3,3,0,3,2,487.2085876464844,298.1315002441406,189.0771026611328
183648,392,1,3,3,0,3,2,487.2085876464844,298.1315002441406,189.0771026611328
183748,394,1,3,3,0,3,2,487.2085876464844,298.1315002441406,189.0771026611328
183848,392,1,3,3,0,3,2,487.2085876464844,373.33331298828125,373.33331298828125
183948,395,1,3,3,0,3,2,487.2085876464844,373.33331298828125,373.33331298828125
184048,394,1,3,3,0,3,2,487.2085876464844,373.33331298828125,373.33331298828125
184148,387,1,3,3,0,3,2,487.2085876464844,373.33331298828125,373.33331298828125
184248,387,1,3,3,0,3,2,487.2085876464844,373.33331298828125,373.33331298828125
184348,394,1,3,3,0,3,2,749.0908813476562,373.33331298828125,373.33331298828125
184448,404,1,3,3,0,3,2,749.0908813476562,386.6666564941406,360.0
184548,401,1,3,3,0,3,2,749.0908813476562,386.6666564941406,360.0
184648,395,1,3,3,0,3,2,749.0908813476562,386.6666564941406,360.0
184748,402,1,3,3,0,3,2,749.0908813476562,386.6666564941406,360.0
184848,402,1,3,3,0,3,2,749.0908813476562,386.6666564941406,360.0
184948,417,1,3,3,0,3,2,749.0908813476562,386.6666564941406,360.0
185048,448,1,3,3,0,3,2,749.0908813476562,399.9999694824219,346.6666564941406
185148,442,1,3,3,0,3,2,749.0908813476562,399.9999694824219,346.6666564941406
185248,458,1,3,3,0,3,2,749.0908813476562,399.9999694824219,346.6666564941406
185348,481,1,3,3,0,3,2,749.0908813476562,399.9999694824219,346.6666564941406
185448,486,1,3,3,0,3,2,727.272705078125,399.9999694824219,346.6666564941406
185548,476,1,3,3,0,3,2,727.272705078125,399.9999694824219,346.6666564941406
185648,482,1,3,3,0,3,2,727.272705078125,333.33331298828125,213.3333282470703
185748,517,1,3,3,0,3,2,727.272705078125,333.33331298828125,213.3333282470703
185848,485,1,3,3,0,3,2,727.272705078125,333.33331298828125,213.3333282470703
185948,485,1,3,3,0,3,2,727.272705078125,333.33331298828125,213.3333282470703
186048,499,1,3,3,0,3,2,727.272705078125,333.33331298828125,213.3333282470703
186148,472,1,3,3,0,3,2,727.272705078125,333.33331298828125,213.3333282470703
186248,500,1,3,3,0,3,2,727.272705078125,320.0,333.33331298828125
186348,481,1,3,3,0,3,2,727.272705078125,320.0,333.33331298828125
186448,474,1,3,3,0,3,2,727.272705078125,320.0,333.33331298828125
186548,489,1,3,3,0,3,2,610.9090576171875,320.0,333.33331298828125
186648,476,1,3,3,0,3,2,610.9090576171875,320.0,333.33331298828125
186748,460,1,3,3,0,3,2,610.9090576171875,320.0,333.33331298828125
186848,456,1,3,3,0,3,2,610.9090576171875,373.33331298828125,386.6666564941406
186948,451,1,3,3,0,3,2,610.9090576171875,373.33331298828125,386.6666564941406
187048,449,1,3,3,0,3,2,610.9090576171875,373.33331298828125,386.6666564941406
187148,443,1,3,3,0,3,2,610.9090576171875,373.33331298828125,386.6666564941406
187248,236,1,3,3,0,3,2,610.9090576171875,373.33331298828125,386.6666564941406
187348,245,1,1,1,0,3,2,610.9090576171875,373.33331298828125,386.6666564941406
187448,250,1,1,1,0,3,2,610.9090576171875,239.99998474121094,133.3333282470703
187548,259,1,2,2,0,3,2,610.9090576171875,239.99998474121094,133.3333282470703
