timestamp,kalman.varZ,kalman.varPX,kalman.varPY,kalman.varPZ,kalman.varD0,kalman.varD1
153873,1.1825486581074074e-06,0.00010249812476104125,0.00010506960825296119,0.00020770558330696076,1.0015894076786935e-05,9.980703907785937e-06
153973,1.5204900591925252e-06,0.00011047734733438119,0.0001119530716096051,0.00023361585044767708,1.0308820492355153e-05,1.0293672858097125e-05
154073,9.999999974752427e-07,0.00011023839033441618,0.00011164764873683453,0.00020491880422923714,1.0363434739701916e-05,1.0344097972847521e-05
154175,1.0000809425037005e-06,0.00011697918671416119,0.00011821061343653128,0.00022240223188418895,1.0612255209707655e-05,1.059421083482448e-05
154276,1.000017050500901e-06,0.00011538392573129386,0.00011863600957440212,0.00022820604499429464,1.0817898328241426e-05,1.0763007594505325e-05
154375,1.0000809425037005e-06,0.00010567808931227773,0.00010699609265429899,0.00019651632464956492,1.0608768207021058e-05,1.0592306352918968e-05
154476,1.0000809425037005e-06,0.0001122697358368896,0.00011309302499284968,0.0001906760298879817,1.0743164239102043e-05,1.0732503142207861e-05
154575,1.0002560202337918e-06,0.00011711965635186061,0.00011720884504029527,0.00020805347594432533,1.08716458271374e-05,1.0872290658880956e-05
154675,1.0000809425037005e-06,0.00011994592932751402,0.00012109324597986415,0.0001847882813308388,1.1023242223018315e-05,1.1002671271853615e-05
154775,1.0000809425037005e-06,0.00010784178448375314,0.0001087939745048061,0.00021525193005800247,1.0826915968209505e-05,1.0810001185745932e-05
154875,1.0000809425037005e-06,0.00010716438555391505,0.00010806094360304996,0.000236784660955891,1.0994197509717196e-05,1.0978699719998986e-05
154974,1.0000809425037005e-06,0.00011193105456186458,0.00011364387319190428,0.00022106095275375992,1.1286107110208832e-05,1.126103143178625e-05
155074,1.0000809425037005e-06,0.00011358009942341596,0.00011659885058179498,0.00019783522293437272,1.1354960406606551e-05,1.1307950444461312e-05
155174,1.0000809425037005e-06,0.0001192220370285213,0.00012127465015510097,0.00021708558779209852,1.1426673154346645e-05,1.1398714377719443e-05
155274,1.0000809425037005e-06,0.00011738792090909556,0.0001208405737997964,0.00022675096988677979,1.1492485100461636e-05,1.1424237527535297e-05
155373,1.0000809425037005e-06,0.00011293295392533764,0.00011715953587554395,0.00021019756968598813,1.1324358638375998e-05,1.1241647371207364e-05
155473,1.0000809425037005e-06,0.00011672199616441503,0.00011936472583329305,0.00021792022744193673,1.127228642872069e-05,1.1224420632061083e-05
155573,1.0000809425037005e-06,0.00012022477312711999,0.00012210931163281202,0.00024084489268716425,1.1396488844184205e-05,1.1352899491612334e-05
155673,1.5602884104737313e-06,0.0001254743110621348,0.00012453991803340614,0.00022508563415613025,1.1132052350149024e-05,1.1150634236400947e-05
155773,1.0000051133829402e-06,8.891362813301384e-05,0.00014052093320060521,0.00016398399020545185,1.1105036719527561e-05,9.947324542736169e-06
155873,1.0002560202337918e-06,0.00013619483797810972,0.00018004882440436631,0.00022497749887406826,1.1739533874788322e-05,1.1019763405784033e-05
155973,1.000017050500901e-06,0.0001700416614767164,0.00020152765500824898,0.00021025662135798484,1.1922144039999694e-05,1.1554084267118014e-05
