timestamp,posCtl.targetVX,posCtl.targetVY,posCtl.targetVZ,posCtl.targetX,posCtl.targetY,posCtl.targetZ
210190,0.0,0.0,0.0,-8.903854791242338e-07,-2.1107998904312808e-08,-1.1977972462773323e-06
210290,0.0,0.0,0.0,-8.903854791242338e-07,-2.1107998904312808e-08,-1.1977972462773323e-06
210390,0.0,0.0,0.0,-8.903854791242338e-07,-2.1107998904312808e-08,-1.1977972462773323e-06
210490,0.0,0.0,0.0,-8.903854791242338e-07,-2.1107998904312808e-08,-1.1977972462773323e-06
210590,0.0,0.0,0.0,-8.903854791242338e-07,-2.1107998904312808e-08,-1.1977972462773323e-06
210690,0.0,0.0,0.0,-8.903854791242338e-07,-2.1107998904312808e-08,-1.1977972462773323e-06
210790,0.0,0.0,0.0,-8.903854791242338e-07,-2.1107998904312808e-08,-1.1977972462773323e-06
210890,0.0,0.0,0.0,-8.903854791242338e-07,-2.1107998904312808e-08,-1.1977972462773323e-06
210990,0.0,0.0,0.0,-8.903854791242338e-07,-2.1107998904312808e-08,-1.1977972462773323e-06
211090,0.0,0.0,0.0,-8.903854791242338e-07,-2.1107998904312808e-08,-1.1977972462773323e-06
211190,0.00020661856979131699,2.069026231765747e-05,0.0013547869166359305,0.0058944812044501305,0.019174886867403984,0.0014731951523572206
211290,0.0011212434619665146,-0.0001135803759098053,0.0236795824021101,0.00593976117670536,0.019160909578204155,0.01260874979197979
211390,0.0035636425018310547,-0.0020439624786376953,0.10354862362146378,0.006249097641557455,0.019062265753746033,0.051622722297906876
211490,0.00909196026623249,-0.006024476140737534,0.25095272064208984,0.0065286471508443356,0.018968340009450912,0.12599575519561768
211590,0.02188785746693611,-0.0012034326791763306,0.44384634494781494,0.0065912967547774315,0.018946662545204163,0.2268666923046112
211690,0.03566090017557144,0.016966722905635834,0.6296348571777344,0.00683432724326849,0.018860358744859695,0.333050936460495
211790,0.051359303295612335,0.046193256974220276,0.7434180974960327,0.007041498553007841,0.018783994019031525,0.42096757888793945
211890,0.0615856796503067,0.07066208124160767,0.7641074061393738,0.007310373708605766,0.0186809953302145,0.4754393994808197
211990,0.07101757824420929,0.09048280864953995,0.7099655866622925,0.007469505071640015,0.018617933616042137,0.49687328934669495
212090,0.07836980372667313,0.10381919145584106,0.6071141958236694,0.007574302144348621,0.01857554167509079,0.4999915063381195
212190,0.08254749327898026,0.11132799088954926,0.5041887760162354,0.007595791015774012,0.01856822893023491,0.4999355673789978
212290,0.08303011953830719,0.11460286378860474,0.4140363931655884,0.007663516327738762,0.018571538850665092,0.49968305230140686
212390,0.08140445500612259,0.11287008225917816,0.34577038884162903,0.00801748689264059,0.018570521846413612,0.49924883246421814
212490,0.07616600394248962,0.10725884139537811,0.28885379433631897,0.009016198106110096,0.01854645274579525,0.4986495077610016
212590,0.06737378984689713,0.10012749582529068,0.24536532163619995,0.0110483942553401,0.018499724566936493,0.4979068636894226
212690,0.06452283263206482,0.0859125405550003,0.20976467430591583,0.014580762013792992,0.018417533487081528,0.4970453083515167
212790,0.06147842854261398,0.07009689509868622,0.1807970404624939,0.02009475789964199,0.018290728330612183,0.4960917830467224
212890,0.06241519749164581,0.052515946328639984,0.15287253260612488,0.02807345986366272,0.018103955313563347,0.4950747489929199
212990,0.07081186771392822,0.029957516118884087,0.13092567026615143,0.03893515467643738,0.017929058521986008,0.4940224289894104
213090,0.08446142077445984,0.012154340744018555,0.1135391891002655,0.05314259231090546,0.017701944336295128,0.4929627776145935
213190,0.10226966440677643,0.0030169226229190826,0.1016167402267456,0.0690871924161911,0.017468111589550972,0.49202442169189453
213290,0.12870319187641144,-0.009031005203723907,0.0868537425994873,0.09060247987508774,0.017061445862054825,0.4910220801830292
213390,0.15966472029685974,-0.015969816595315933,0.07883782684803009,0.11631618440151215,0.01652543991804123,0.4900839328765869
213490,0.1997780203819275,-0.02456134557723999,0.07151049375534058,0.14636845886707306,0.015860378742218018,0.48923003673553467
213590,0.23989564180374146,-0.028725048527121544,0.062220603227615356,0.18082158267498016,0.01502054464071989,0.4884777069091797
213690,0.28334617614746094,-0.030854713171720505,0.05853754281997681,0.21963918209075928,0.01412099227309227,0.4878409802913666
213790,0.328035444021225,-0.03177838772535324,0.0568726509809494,0.2627105712890625,0.013220779597759247,0.487330824136734
213890,0.36831367015838623,-0.027617981657385826,0.053101547062397,0.3098354637622833,0.012747581116855145,0.48695483803749084
213990,0.38105976581573486,-0.017172526568174362,0.023241378366947174,0.3607597053050995,0.012044349685311317,0.48671749234199524
214090,0.3936951160430908,-0.008276054635643959,-0.0066603124141693115,0.415139764547348,0.011068813502788544,0.4866200387477875
214190,0.5336143970489502,-0.020679136738181114,0.005331963300704956,0.47255802154541016,0.009831939823925495,0.4866607189178467
214290,0.5357677936553955,-0.031004536896944046,0.055583879351615906,0.5325304865837097,0.008956309407949448,0.48683491349220276
214390,0.5987075567245483,-0.04252846539020538,0.09645412117242813,0.5945479273796082,0.00803012028336525,0.48713552951812744
214490,0.6149646639823914,-0.03744291886687279,0.08049888163805008,0.658062756061554,0.006897160317748785,0.48755311965942383
214590,0.6627081036567688,-0.045660994946956635,0.07514599710702896,0.7224533557891846,0.006040637381374836,0.48807600140571594
214690,0.682447075843811,-0.04322667419910431,0.06340930610895157,0.7871668338775635,0.0039018529932945967,0.4886913299560547
214790,0.6861616373062134,-0.04186033457517624,0.0569206178188324,0.8515515327453613,0.001318187452852726,0.48938438296318054
214890,0.6872375011444092,-0.04076671600341797,0.035985708236694336,0.9150124192237854,-0.0014085182920098305,0.49013978242874146
