timestamp,loco.mode,loco.spiWr,loco.spiRe
183252,0,0.0,0.0
183352,0,0.0,0.0
183452,0,0.0,0.0
183552,0,0.0,0.0
183652,0,0.0,0.0
183752,0,0.0,0.0
183852,0,0.0,0.0
183952,0,0.0,0.0
184052,0,0.0,0.0
184152,0,0.0,0.0
184252,0,0.0,0.0
184352,0,0.0,0.0
184452,0,0.0,0.0
184552,0,0.0,0.0
184652,0,0.0,0.0
184752,0,0.0,0.0
184852,0,0.0,0.0
184952,0,0.0,0.0
185052,0,0.0,0.0
185152,0,0.0,0.0
185252,0,0.0,0.0
185352,0,0.0,0.0
185452,0,0.0,0.0
185552,0,0.0,0.0
185652,0,0.0,0.0
185752,0,0.0,0.0
185852,0,0.0,0.0
185952,0,0.0,0.0
186052,0,0.0,0.0
186152,0,0.0,0.0
186252,0,0.0,0.0
186352,0,0.0,0.0
186452,0,0.0,0.0
186552,0,0.0,0.0
186652,0,0.0,0.0
186752,0,0.0,0.0
186852,0,0.0,0.0
186956,0,0.0,0.0
187052,0,0.0,0.0
187152,0,0.0,0.0
187253,0,0.0,0.0
187352,0,0.0,0.0
187452,0,0.0,0.0
187552,0,0.0,0.0
187652,0,0.0,0.0
187752,0,0.0,0.0
187852,0,0.0,0.0
187955,0,0.0,0.0
188055,0,0.0,0.0
188155,0,0.0,0.0
188253,0,0.0,0.0
188352,0,0.0,0.0
188454,0,0.0,0.0
188553,0,0.0,0.0
188653,0,0.0,0.0
188753,0,0.0,0.0
188852,0,0.0,0.0
188952,0,0.0,0.0
189052,0,0.0,0.0
189152,0,0.0,0.0
189253,0,0.0,0.0
189352,0,0.0,0.0
189452,0,0.0,0.0
189552,0,0.0,0.0
189653,0,0.0,0.0
189752,0,0.0,0.0
189852,0,0.0,0.0
189952,0,0.0,0.0
190052,0,0.0,0.0
190152,0,0.0,0.0
190256,0,0.0,0.0
190356,0,0.0,0.0
190452,0,0.0,0.0
190555,0,0.0,0.0
190655,0,0.0,0.0
190755,0,0.0,0.0
190855,0,0.0,0.0
190955,0,0.0,0.0
191054,0,0.0,0.0
191155,0,0.0,0.0
191254,0,0.0,0.0
191355,0,0.0,0.0
191455,0,0.0,0.0
191555,0,0.0,0.0
191655,0,0.0,0.0
191754,0,0.0,0.0
191855,0,0.0,0.0
191954,0,0.0,0.0
192054,0,0.0,0.0
192154,0,0.0,0.0
192254,0,0.0,0.0
192354,0,0.0,0.0
192455,0,0.0,0.0
192554,0,0.0,0.0
192654,0,0.0,0.0
192754,0,0.0,0.0
192854,0,0.0,0.0
192954,0,0.0,0.0
193054,0,0.0,0.0
193155,0,0.0,0.0
193254,0,0.0,0.0
193354,0,0.0,0.0
193454,0,0.0,0.0
193554,0,0.0,0.0
193654,0,0.0,0.0
193755,0,0.0,0.0
193854,0,0.0,0.0
193954,0,0.0,0.0
194054,0,0.0,0.0
194154,0,0.0,0.0
194254,0,0.0,0.0
194355,0,0.0,0.0
194454,0,0.0,0.0
194553,0,0.0,0.0
194654,0,0.0,0.0
194754,0,0.0,0.0
194854,0,0.0,0.0
194954,0,0.0,0.0
195054,0,0.0,0.0
195154,0,0.0,0.0
195254,0,0.0,0.0
195352,0,0.0,0.0
195452,0,0.0,0.0
195552,0,0.0,0.0
195654,0,0.0,0.0
195754,0,0.0,0.0
195854,0,0.0,0.0
195953,0,0.0,0.0
196054,0,0.0,0.0
196154,0,0.0,0.0
196254,0,0.0,0.0
196354,0,0.0,0.0
196454,0,0.0,0.0
196554,0,0.0,0.0
196653,0,0.0,0.0
196752,0,0.0,0.0
196853,0,0.0,0.0
196953,0,0.0,0.0
197052,0,0.0,0.0
197152,0,0.0,0.0
197253,0,0.0,0.0
197353,0,0.0,0.0
197452,0,0.0,0.0
197552,0,0.0,0.0
197653,0,0.0,0.0
197753,0,0.0,0.0
197852,0,0.0,0.0
197953,0,0.0,0.0
198052,0,0.0,0.0
198152,0,0.0,0.0
198252,0,0.0,0.0
198352,0,0.0,0.0
198452,0,0.0,0.0
198552,0,0.0,0.0
198653,0,0.0,0.0
198752,0,0.0,0.0
198852,0,0.0,0.0
198952,0,0.0,0.0
199052,0,0.0,0.0
199152,0,0.0,0.0
199252,0,0.0,0.0
199352,0,0.0,0.0
199452,0,0.0,0.0
199554,0,0.0,0.0
199654,0,0.0,0.0
199754,0,0.0,0.0
199854,0,0.0,0.0
199954,0,0.0,0.0
200053,0,0.0,0.0
200154,0,0.0,0.0
200252,0,0.0,0.0
200353,0,0.0,0.0
200453,0,0.0,0.0
200552,0,0.0,0.0
200652,0,0.0,0.0
200753,0,0.0,0.0
200853,0,0.0,0.0
200953,0,0.0,0.0
201053,0,0.0,0.0
201153,0,0.0,0.0
201254,0,0.0,0.0
201352,0,0.0,0.0
201453,0,0.0,0.0
201553,0,0.0,0.0
201653,0,0.0,0.0
201752,0,0.0,0.0
201852,0,0.0,0.0
201952,0,0.0,0.0
202052,0,0.0,0.0
202153,0,0.0,0.0
202253,0,0.0,0.0
202352,0,0.0,0.0
202453,0,0.0,0.0
202552,0,0.0,0.0
202653,0,0.0,0.0
202753,0,0.0,0.0
202852,0,0.0,0.0
202953,0,0.0,0.0
203052,0,0.0,0.0
203152,0,0.0,0.0
203252,0,0.0,0.0
203352,0,0.0,0.0
203452,0,0.0,0.0
203552,0,0.0,0.0
203652,0,0.0,0.0
203752,0,0.0,0.0
203853,0,0.0,0.0
203952,0,0.0,0.0
204052,0,0.0,0.0
204152,0,0.0,0.0
204252,0,0.0,0.0
204352,0,0.0,0.0
204452,0,0.0,0.0
204552,0,0.0,0.0
204652,0,0.0,0.0
204752,0,0.0,0.0
204852,0,0.0,0.0
