timestamp,outlierf.lhWin,outlierf.bucket0,outlierf.bucket1,outlierf.bucket2,outlierf.bucket3,outlierf.bucket4
183288,40,0,0,0,0,0
183388,40,0,0,0,0,0
183488,40,0,0,0,0,0
183588,40,0,0,0,0,0
183688,40,0,0,0,0,0
183788,40,0,0,0,0,0
183888,40,0,0,0,0,0
183988,40,0,0,0,0,0
184088,40,0,0,0,0,0
184188,40,0,0,0,0,0
184288,40,0,0,0,0,0
184388,40,0,0,0,0,0
184488,40,0,0,0,0,0
184588,40,0,0,0,0,0
184688,40,0,0,0,0,0
184788,40,0,0,0,0,0
184888,40,0,0,0,0,0
184988,40,0,0,0,0,0
185088,40,0,0,0,0,0
185188,40,0,0,0,0,0
185288,40,0,0,0,0,0
185388,40,0,0,0,0,0
185488,40,0,0,0,0,0
185588,40,0,0,0,0,0
185688,40,0,0,0,0,0
185788,40,0,0,0,0,0
185888,40,0,0,0,0,0
185988,40,0,0,0,0,0
186088,40,0,0,0,0,0
186188,40,0,0,0,0,0
186288,40,0,0,0,0,0
186388,40,0,0,0,0,0
186488,40,0,0,0,0,0
186588,40,0,0,0,0,0
186688,40,0,0,0,0,0
186788,40,0,0,0,0,0
186888,40,0,0,0,0,0
186988,40,0,0,0,0,0
187088,40,0,0,0,0,0
187188,40,0,0,0,0,0
187288,40,0,0,0,0,0
187388,40,0,0,0,0,0
187488,40,0,0,0,0,0
187588,40,0,0,0,0,0
187688,40,0,0,0,0,0
187788,40,0,0,0,0,0
187888,40,0,0,0,0,0
187988,40,0,0,0,0,0
188088,40,0,0,0,0,0
188188,40,0,0,0,0,0
188288,40,0,0,0,0,0
188388,40,0,0,0,0,0
188488,40,0,0,0,0,0
188588,40,0,0,0,0,0
188688,40,0,0,0,0,0
188788,40,0,0,0,0,0
188888,40,0,0,0,0,0
188988,40,0,0,0,0,0
189088,40,0,0,0,0,0
189190,40,0,0,0,0,0
189288,40,0,0,0,0,0
189389,40,0,0,0,0,0
189489,40,0,0,0,0,0
189588,40,0,0,0,0,0
189688,40,0,0,0,0,0
189788,40,0,0,0,0,0
189888,40,0,0,0,0,0
189988,40,0,0,0,0,0
190088,40,0,0,0,0,0
190188,40,0,0,0,0,0
190288,40,0,0,0,0,0
190388,40,0,0,0,0,0
190488,40,0,0,0,0,0
190588,40,0,0,0,0,0
190688,40,0,0,0,0,0
190788,40,0,0,0,0,0
190888,40,0,0,0,0,0
190988,40,0,0,0,0,0
191088,40,0,0,0,0,0
191188,40,0,0,0,0,0
191288,40,0,0,0,0,0
191388,40,0,0,0,0,0
191488,40,0,0,0,0,0
191588,40,0,0,0,0,0
191688,40,0,0,0,0,0
191788,40,0,0,0,0,0
191888,40,0,0,0,0,0
191988,40,0,0,0,0,0
192088,40,0,0,0,0,0
192188,40,0,0,0,0,0
192288,40,0,0,0,0,0
192388,40,0,0,0,0,0
192488,40,0,0,0,0,0
192588,40,0,0,0,0,0
192688,40,0,0,0,0,0
192788,40,0,0,0,0,0
192888,40,0,0,0,0,0
192988,40,0,0,0,0,0
193088,40,0,0,0,0,0
193188,40,0,0,0,0,0
193288,40,0,0,0,0,0
193388,40,0,0,0,0,0
193488,40,0,0,0,0,0
193588,40,0,0,0,0,0
193688,40,0,0,0,0,0
193788,40,0,0,0,0,0
193888,40,0,0,0,0,0
193988,40,0,0,0,0,0
194088,40,0,0,0,0,0
194188,40,0,0,0,0,0
194288,40,0,0,0,0,0
194388,40,0,0,0,0,0
194488,40,0,0,0,0,0
194588,40,0,0,0,0,0
194688,40,0,0,0,0,0
194788,40,0,0,0,0,0
194888,40,0,0,0,0,0
194988,40,0,0,0,0,0
195088,40,0,0,0,0,0
195188,40,0,0,0,0,0
195288,40,0,0,0,0,0
195388,40,0,0,0,0,0
195488,40,0,0,0,0,0
195588,40,0,0,0,0,0
195688,40,0,0,0,0,0
195788,20,0,0,0,0,0
195888,20,0,0,0,0,0
195988,20,0,0,0,0,0
196088,20,0,0,0,0,0
196188,20,0,0,0,0,0
196288,40,0,0,0,0,0
196388,20,0,0,0,0,0
196488,20,0,0,0,0,0
196588,20,0,0,0,0,0
196688,40,0,0,0,0,0
196788,40,0,0,0,0,0
196888,40,0,0,0,0,0
196988,40,0,0,0,0,0
197088,20,0,0,0,0,0
197188,40,0,0,0,0,0
197288,40,0,0,0,0,0
197388,40,0,0,0,0,0
197488,40,0,0,0,0,0
197591,40,0,0,0,0,0
197690,40,0,0,0,0,0
197788,40,0,0,0,0,0
197890,40,0,0,0,0,0
197990,40,0,0,0,0,0
198089,40,0,0,0,0,0
198189,40,0,0,0,0,0
198289,40,0,0,0,0,0
198388,40,0,0,0,0,0
198488,40,0,0,0,0,0
198588,40,0,0,0,0,0
198688,40,0,0,0,0,0
198788,40,0,0,0,0,0
198888,40,0,0,0,0,0
198988,40,0,0,0,0,0
199088,40,0,0,0,0,0
199188,40,0,0,0,0,0
199288,40,0,0,0,0,0
199388,40,0,0,0,0,0
199488,40,0,0,0,0,0
199588,40,0,0,0,0,0
199688,40,0,0,0,0,0
199788,40,0,0,0,0,0
199888,40,0,0,0,0,0
199988,40,0,0,0,0,0
200088,40,0,0,0,0,0
200188,40,0,0,0,0,0
200288,40,0,0,0,0,0
200388,40,0,0,0,0,0
200488,40,0,0,0,0,0
200588,40,0,0,0,0,0
200688,40,0,0,0,0,0
200788,40,0,0,0,0,0
200888,40,0,0,0,0,0
200988,40,0,0,0,0,0
201088,40,0,0,0,0,0
201188,40,0,0,0,0,0
201288,40,0,0,0,0,0
201388,40,0,0,0,0,0
201488,40,0,0,0,0,0
201588,40,0,0,0,0,0
201688,40,0,0,0,0,0
201788,40,0,0,0,0,0
201888,40,0,0,0,0,0
201988,40,0,0,0,0,0
202088,40,0,0,0,0,0
202188,40,0,0,0,0,0
202288,40,0,0,0,0,0
202388,40,0,0,0,0,0
202488,40,0,0,0,0,0
202588,40,0,0,0,0,0
202688,40,0,0,0,0,0
202788,40,0,0,0,0,0
202888,40,0,0,0,0,0
202988,40,0,0,0,0,0
203088,40,0,0,0,0,0
203188,40,0,0,0,0,0
203288,40,0,0,0,0,0
203388,40,0,0,0,0,0
203488,40,0,0,0,0,0
203588,40,0,0,0,0,0
203688,40,0,0,0,0,0
203788,40,0,0,0,0,0
203888,40,0,0,0,0,0
203988,40,0,0,0,0,0
204088,40,0,0,0,0,0
204188,40,0,0,0,0,0
204288,40,0,0,0,0,0
204388,40,0,0,0,0,0
204488,40,0,0,0,0,0
204588,40,0,0,0,0,0
204688,40,0,0,0,0,0
204788,40,0,0,0,0,0
204888,40,0,0,0,0,0
