timestamp,sensfusion6.qw,sensfusion6.qx,sensfusion6.qy,sensfusion6.qz,sensfusion6.gravityX,sensfusion6.gravityY
69496,1.0,0.0,0.0,0.0,0.0,0.0
69596,1.0,0.0,0.0,0.0,0.0,0.0
69696,1.0,0.0,0.0,0.0,0.0,0.0
69796,1.0,0.0,0.0,0.0,0.0,0.0
69896,1.0,0.0,0.0,0.0,0.0,0.0
69996,1.0,0.0,0.0,0.0,0.0,0.0
70096,1.0,0.0,0.0,0.0,0.0,0.0
70196,1.0,0.0,0.0,0.0,0.0,0.0
70296,1.0,0.0,0.0,0.0,0.0,0.0
70396,1.0,0.0,0.0,0.0,0.0,0.0
70496,1.0,0.0,0.0,0.0,0.0,0.0
70596,1.0,0.0,0.0,0.0,0.0,0.0
70696,1.0,0.0,0.0,0.0,0.0,0.0
70796,1.0,0.0,0.0,0.0,0.0,0.0
70896,1.0,0.0,0.0,0.0,0.0,0.0
70996,1.0,0.0,0.0,0.0,0.0,0.0
71096,1.0,0.0,0.0,0.0,0.0,0.0
71196,1.0,0.0,0.0,0.0,0.0,0.0
71296,1.0,0.0,0.0,0.0,0.0,0.0
71396,1.0,0.0,0.0,0.0,0.0,0.0
71496,1.0,0.0,0.0,0.0,0.0,0.0
71596,1.0,0.0,0.0,0.0,0.0,0.0
71696,1.0,0.0,0.0,0.0,0.0,0.0
71796,1.0,0.0,0.0,0.0,0.0,0.0
71896,1.0,0.0,0.0,0.0,0.0,0.0
71996,1.0,0.0,0.0,0.0,0.0,0.0
72096,1.0,0.0,0.0,0.0,0.0,0.0
72196,1.0,0.0,0.0,0.0,0.0,0.0
72296,1.0,0.0,0.0,0.0,0.0,0.0
72396,1.0,0.0,0.0,0.0,0.0,0.0
72496,1.0,0.0,0.0,0.0,0.0,0.0
72596,1.0,0.0,0.0,0.0,0.0,0.0
72696,1.0,0.0,0.0,0.0,0.0,0.0
72796,1.0,0.0,0.0,0.0,0.0,0.0
72896,1.0,0.0,0.0,0.0,0.0,0.0
72996,1.0,0.0,0.0,0.0,0.0,0.0
73096,1.0,0.0,0.0,0.0,0.0,0.0
73196,1.0,0.0,0.0,0.0,0.0,0.0
73296,1.0,0.0,0.0,0.0,0.0,0.0
73396,1.0,0.0,0.0,0.0,0.0,0.0
73496,1.0,0.0,0.0,0.0,0.0,0.0
73596,1.0,0.0,0.0,0.0,0.0,0.0
73696,1.0,0.0,0.0,0.0,0.0,0.0
73796,1.0,0.0,0.0,0.0,0.0,0.0
73896,1.0,0.0,0.0,0.0,0.0,0.0
73996,1.0,0.0,0.0,0.0,0.0,0.0
74096,1.0,0.0,0.0,0.0,0.0,0.0
74196,1.0,0.0,0.0,0.0,0.0,0.0
74296,1.0,0.0,0.0,0.0,0.0,0.0
74396,1.0,0.0,0.0,0.0,0.0,0.0
74496,1.0,0.0,0.0,0.0,0.0,0.0
74596,1.0,0.0,0.0,0.0,0.0,0.0
74696,1.0,0.0,0.0,0.0,0.0,0.0
74796,1.0,0.0,0.0,0.0,0.0,0.0
74896,1.0,0.0,0.0,0.0,0.0,0.0
74996,1.0,0.0,0.0,0.0,0.0,0.0
75096,1.0,0.0,0.0,0.0,0.0,0.0
75196,1.0,0.0,0.0,0.0,0.0,0.0
75298,1.0,0.0,0.0,0.0,0.0,0.0
75396,1.0,0.0,0.0,0.0,0.0,0.0
75496,1.0,0.0,0.0,0.0,0.0,0.0
75596,1.0,0.0,0.0,0.0,0.0,0.0
75698,1.0,0.0,0.0,0.0,0.0,0.0
75797,1.0,0.0,0.0,0.0,0.0,0.0
75897,1.0,0.0,0.0,0.0,0.0,0.0
75997,1.0,0.0,0.0,0.0,0.0,0.0
76096,1.0,0.0,0.0,0.0,0.0,0.0
76196,1.0,0.0,0.0,0.0,0.0,0.0
76296,1.0,0.0,0.0,0.0,0.0,0.0
76396,1.0,0.0,0.0,0.0,0.0,0.0
76496,1.0,0.0,0.0,0.0,0.0,0.0
76596,1.0,0.0,0.0,0.0,0.0,0.0
76696,1.0,0.0,0.0,0.0,0.0,0.0
76796,1.0,0.0,0.0,0.0,0.0,0.0
76896,1.0,0.0,0.0,0.0,0.0,0.0
76996,1.0,0.0,0.0,0.0,0.0,0.0
77096,1.0,0.0,0.0,0.0,0.0,0.0
77196,1.0,0.0,0.0,0.0,0.0,0.0
77296,1.0,0.0,0.0,0.0,0.0,0.0
77396,1.0,0.0,0.0,0.0,0.0,0.0
77496,1.0,0.0,0.0,0.0,0.0,0.0
77596,1.0,0.0,0.0,0.0,0.0,0.0
77696,1.0,0.0,0.0,0.0,0.0,0.0
77796,1.0,0.0,0.0,0.0,0.0,0.0
77896,1.0,0.0,0.0,0.0,0.0,0.0
77996,1.0,0.0,0.0,0.0,0.0,0.0
78096,1.0,0.0,0.0,0.0,0.0,0.0
78196,1.0,0.0,0.0,0.0,0.0,0.0
78296,1.0,0.0,0.0,0.0,0.0,0.0
78396,1.0,0.0,0.0,0.0,0.0,0.0
78496,1.0,0.0,0.0,0.0,0.0,0.0
78596,1.0,0.0,0.0,0.0,0.0,0.0
78696,1.0,0.0,0.0,0.0,0.0,0.0
78796,1.0,0.0,0.0,0.0,0.0,0.0
78896,1.0,0.0,0.0,0.0,0.0,0.0
78996,1.0,0.0,0.0,0.0,0.0,0.0
79096,1.0,0.0,0.0,0.0,0.0,0.0
79196,1.0,0.0,0.0,0.0,0.0,0.0
79296,1.0,0.0,0.0,0.0,0.0,0.0
79396,1.0,0.0,0.0,0.0,0.0,0.0
79496,1.0,0.0,0.0,0.0,0.0,0.0
79596,1.0,0.0,0.0,0.0,0.0,0.0
79696,1.0,0.0,0.0,0.0,0.0,0.0
79796,1.0,0.0,0.0,0.0,0.0,0.0
79896,1.0,0.0,0.0,0.0,0.0,0.0
79996,1.0,0.0,0.0,0.0,0.0,0.0
80096,1.0,0.0,0.0,0.0,0.0,0.0
