timestamp,ext_pos.X,ext_pos.Y,ext_pos.Z
111577,0.0,0.0,0.0
111677,0.0,0.0,0.0
111777,0.0,0.0,0.0
111877,0.0,0.0,0.0
111977,0.0,0.0,0.0
112077,0.0,0.0,0.0
112177,0.0,0.0,0.0
112277,0.0,0.0,0.0
112377,0.0,0.0,0.0
112477,0.0,0.0,0.0
112577,0.0,0.0,0.0
112677,0.0,0.0,0.0
112777,0.0,0.0,0.0
112877,0.0,0.0,0.0
112977,0.0,0.0,0.0
113077,0.0,0.0,0.0
113177,0.0,0.0,0.0
113277,0.0,0.0,0.0
113377,0.0,0.0,0.0
113477,0.0,0.0,0.0
113577,0.0,0.0,0.0
113677,0.0,0.0,0.0
113777,0.0,0.0,0.0
113877,0.0,0.0,0.0
113977,0.0,0.0,0.0
114077,0.0,0.0,0.0
114177,0.0,0.0,0.0
114277,0.0,0.0,0.0
114377,0.0,0.0,0.0
114477,0.0,0.0,0.0
114577,0.0,0.0,0.0
114677,0.0,0.0,0.0
114777,0.0,0.0,0.0
114877,0.0,0.0,0.0
114977,0.0,0.0,0.0
115077,0.0,0.0,0.0
115177,0.0,0.0,0.0
115277,0.0,0.0,0.0
115377,0.0,0.0,0.0
115477,0.0,0.0,0.0
115577,0.0,0.0,0.0
115677,0.0,0.0,0.0
115777,0.0,0.0,0.0
115877,0.0,0.0,0.0
115977,0.0,0.0,0.0
116077,0.0,0.0,0.0
116177,0.0,0.0,0.0
116277,0.0,0.0,0.0
116377,0.0,0.0,0.0
116477,0.0,0.0,0.0
116577,0.0,0.0,0.0
116677,0.0,0.0,0.0
116777,0.0,0.0,0.0
116877,0.0,0.0,0.0
116977,0.0,0.0,0.0
117077,0.0,0.0,0.0
117177,0.0,0.0,0.0
117277,0.0,0.0,0.0
117377,0.0,0.0,0.0
117479,0.0,0.0,0.0
117579,0.0,0.0,0.0
117677,0.0,0.0,0.0
117779,0.0,0.0,0.0
117879,0.0,0.0,0.0
117979,0.0,0.0,0.0
118079,0.0,0.0,0.0
118178,0.0,0.0,0.0
118278,0.0,0.0,0.0
118377,0.0,0.0,0.0
118477,0.0,0.0,0.0
118577,0.0,0.0,0.0
118677,0.0,0.0,0.0
118777,0.0,0.0,0.0
118877,0.0,0.0,0.0
118977,0.0,0.0,0.0
119077,0.0,0.0,0.0
119177,0.0,0.0,0.0
119277,0.0,0.0,0.0
119377,0.0,0.0,0.0
119477,0.0,0.0,0.0
119579,0.0,0.0,0.0
119679,0.0,0.0,0.0
119777,0.0,0.0,0.0
119879,0.0,0.0,0.0
119979,0.0,0.0,0.0
120079,0.0,0.0,0.0
120179,0.0,0.0,0.0
120277,0.0,0.0,0.0
120377,0.0,0.0,0.0
120477,0.0,0.0,0.0
120578,0.0,0.0,0.0
120678,0.0,0.0,0.0
120778,0.0,0.0,0.0
120878,0.0,0.0,0.0
120978,0.0,0.0,0.0
121077,0.0,0.0,0.0
121177,0.0,0.0,0.0
121277,0.0,0.0,0.0
121377,0.0,0.0,0.0
121477,0.0,0.0,0.0
121577,0.0,0.0,0.0
121677,0.0,0.0,0.0
121777,0.0,0.0,0.0
121877,0.0,0.0,0.0
121977,0.0,0.0,0.0
122077,0.0,0.0,0.0
122177,0.0,0.0,0.0
122277,0.0,0.0,0.0
122377,0.0,0.0,0.0
122477,0.0,0.0,0.0
122577,0.0,0.0,0.0
122677,0.0,0.0,0.0
122777,0.0,0.0,0.0
122877,0.0,0.0,0.0
122977,0.0,0.0,0.0
123077,0.0,0.0,0.0
123177,0.0,0.0,0.0
123277,0.0,0.0,0.0
123377,0.0,0.0,0.0
123477,0.0,0.0,0.0
123577,0.0,0.0,0.0
123677,0.0,0.0,0.0
123777,0.0,0.0,0.0
123877,0.0,0.0,0.0
123977,0.0,0.0,0.0
124077,0.0,0.0,0.0
124177,0.0,0.0,0.0
124277,0.0,0.0,0.0
124377,0.0,0.0,0.0
124477,0.0,0.0,0.0
124577,0.0,0.0,0.0
