timestamp,stateEstimateZ.ax,stateEstimateZ.ay,stateEstimateZ.az,stateEstimateZ.quat,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw
308324,-6,-36,9817,3769633308,-2,0,1
308424,-15,-20,9802,3768584732,1,1,-1
308524,-37,-11,9803,3769632284,-2,0,0
308624,-10,-28,9814,3769633308,-1,0,3
308724,-1,-31,9826,3768584732,-1,0,3
308824,-10,-12,9795,3769633308,-1,-1,3
308924,16,-13,9807,3770682908,1,4,-1
309024,-2,36,9803,3770682908,-2,3,1
309124,-7,-14,9818,3769633308,0,0,0
309224,7,-43,9805,3769634332,1,-2,2
309324,91,-90,9882,3768585756,55,-87,21
309424,177,-602,10010,3760205344,62,-71,-41
309524,147,47,10067,3760206366,-167,275,-77
309624,-347,-511,10280,3231194652,366,1385,226
309724,-1153,-304,11257,3232270864,46,-752,456
309824,-305,159,11538,3760732162,352,61,524
309924,64,-28,11202,3224371218,-447,-545,315
310024,371,-20,10687,3761253403,143,-51,181
310124,479,52,10270,3764403232,66,-222,69
310224,622,-310,9170,3761259552,-93,-169,-44
310324,232,220,9284,3762311197,29,-32,-58
310424,613,-40,8711,3763361818,-5,-141,-70
310524,515,-23,8867,3762314264,-34,-34,-69
310624,156,146,9105,3764410389,103,42,-53
310724,358,-180,8856,3758114836,38,284,-22
310824,-57,96,9705,3761251347,-182,-57,5
310924,-114,-2,10352,3765440532,-261,73,25
311024,102,12,9775,3770680340,-54,153,30
311124,-316,347,9678,3770160148,59,150,-22
311224,-507,120,9423,3221757971,520,240,-22
311324,-622,-641,8798,3234350098,253,238,-40
311424,-929,-552,9667,3240647697,61,96,-36
311524,-689,-632,9699,3241693200,-57,-218,-24
311624,-255,-507,9969,3236439056,-145,-405,13
311724,364,-301,10676,3226482705,-601,-1166,31
311824,1151,256,10359,3771768850,-59,-280,30
311924,472,-238,10297,3227548689,258,152,-22
312024,385,-86,9922,3231741968,228,351,-51
312124,423,-346,9903,3230684175,-180,79,-38
312224,151,-222,9729,3226483726,-123,154,-39
312324,-168,17,9846,3221237773,-111,95,-34
312424,202,-308,9186,3761252363,-157,-59,-25
312524,-265,407,9991,3764398090,-59,-43,-27
312624,253,94,9812,3766497289,-14,3,-29
312724,-188,487,10209,3766498313,25,-45,-5
312824,-354,356,10281,3765449737,54,23,-12
312924,173,-296,9682,3763351561,22,11,-5
313024,36,-243,9746,3760203784,42,69,7
313124,-44,88,10053,3758104585,74,71,24
313224,-72,-526,9863,3222279177,18,53,-1
313324,-454,-45,9972,3221227529,-9,38,0
313424,-176,-499,9492,3224371208,-42,100,-11
313524,-670,27,9965,3221751816,-50,39,-19
313624,-689,12,9880,3760721927,-67,56,-8
313724,-571,-280,9990,3760724999,-26,40,3
313824,-428,-82,10197,3761773575,-15,26,5
313924,-622,210,10381,3761774599,-30,-58,-9
314024,-165,-222,9755,3760723975,-45,340,-26
314127,-619,-47,9459,3768081414,47,64,-9
314227,-947,253,9463,3765988357,-17,96,-24
314325,-836,143,9351,3763889155,60,-131,-36
314426,-530,-69,8593,3767024641,-101,-1335,3
314526,73,123,8507,3766498305,279,102,4
314626,14,70,9764,3762307073,77,87,-26
314725,-65,-292,10494,3223328769,-14,256,37
314825,-444,-296,10840,3223851010,93,376,48
314925,-799,-359,10500,3227005956,60,372,24
315024,-901,-576,9753,3227020292,8,305,-10
315124,-1055,-485,9504,3229125635,-80,285,-26
315224,-1600,31,9890,3225987075,-27,75,-31
315324,-1379,229,10075,3222840322,-37,-41,-14
315424,-1036,-541,9714,3759705089,-60,-169,-50
315524,-769,-58,9666,3761794048,-68,-295,-48
315624,-342,-84,9409,3763880449,7,-256,-67
315724,-228,29,8505,3763871233,-40,-253,-4
315824,3,4,8104,3763341825,72,-161,-2
315924,128,-68,8054,3761250816,35,-167,-19
316024,286,-78,9697,3224384000,225,-74,17
316124,724,-786,11378,3239075841,213,-77,101
316224,-273,236,10590,3760723971,-94,659,20
316324,-321,-271,5719,3232250888,653,-686,361
316424,359,-495,3353,3252709403,851,-1331,615
316524,161,24,2061,3781182485,-1257,-351,-892
316624,686,-1390,10096,3763868698,-884,-280,406
316724,-74,27,9796,3763867673,-29,0,83
316824,-155,6,9774,3761769497,6,3,3
316924,-98,-169,9784,3223323673,23,1,-5
317024,-121,-127,9849,3223323674,4,-3,-10
317124,-60,-85,9779,3222274074,0,9,-4
317224,37,-108,9787,3223323674,-3,-4,-2
317324,-49,-31,9807,3758096410,-1,-4,-2
317424,-26,-64,9843,3222275098,0,1,2
317524,-23,-35,9815,3758097434,0,0,2
317624,-14,-44,9831,3758097434,3,1,0
317726,-8,-12,9782,3759146010,0,-1,0
317826,-8,-15,9821,3759146010,-1,0,0
317927,-34,-44,9803,3759146010,-1,0,0
318026,5,7,9818,3760194586,-1,2,-4
318126,-18,10,9796,3760194586,0,5,-3
318226,-2,-11,9806,3758098458,0,0,1
318326,3,-17,9808,3759146010,0,-3,-3
318426,-11,1,9804,3759147034,3,0,0
318526,11,-31,9801,3759147033,-2,-2,-2
318624,-27,15,9832,3760194585,1,0,-2
318726,18,-11,9818,3760195610,0,-4,1
318826,-6,-4,9807,3759147034,0,2,3
318926,-19,-2,9811,3759147034,-1,-2,-3
319026,-4,42,9795,3760195610,-2,-1,-1
319126,26,-1,9796,3760196634,2,0,-4
319226,-10,-6,9807,3760195610,0,-3,0
319326,-12,8,9816,3760195610,0,-1,0
319426,6,-6,9833,3760195610,3,-3,0
319526,-2,-15,9820,3760195610,0,-1,0
319626,14,29,9815,3760195610,0,-1,1
319726,-14,16,9832,3760194586,-1,3,1
319826,-11,-3,9788,3760194586,0,2,2
319926,6,18,9803,3760195610,0,-2,1
320026,9,3,9802,3759147034,-2,0,2
320126,0,-1,9820,3759147034,0,-3,0
320226,-1,-8,9814,3760195610,3,-3,5
320326,-6,-20,9813,3759147034,0,-5,1
320426,21,-9,9837,3759147034,1,7,-1
320526,11,-2,9816,3760195610,-3,-2,1
320625,-14,-17,9806,3760195610,-1,1,0
320726,3,-14,9816,3759147034,1,5,-3
320826,27,-28,9817,3758099482,0,-1,0
320925,28,-39,9815,3758099482,0,0,2
321026,29,-23,9822,3221228570,-2,-1,2
321125,30,-30,9808,3758098458,0,0,-1
321226,2,-30,9798,3759147034,0,-3,0
321325,-40,-5,9873,3758099482,3,-16,25
321424,-177,-192,10134,3758098459,-27,16,267
321524,-171,-89,10559,3222274078,-219,136,150
321624,-526,8,11606,3764920356,464,-211,137
321725,114,-69,10970,3760718889,-401,-18,168
321825,-514,35,8784,3764926511,288,1128,85
321926,-658,153,8482,3768081455,-489,-853,-26
322025,-100,-113,8554,3767010349,240,-640,-63
322125,407,-48,10043,3766500394,284,-164,-51
322225,660,-53,11615,3763362857,-6,243,28
322325,476,-75,11908,3760209963,77,325,49
322425,23,68,11395,3759150123,200,203,-74
322526,-63,-121,10440,3221225511,-173,107,-146
322625,-75,-187,9400,3221753890,-59,164,-202
322725,-128,-338,8925,3758628891,84,85,-152
322825,-446,21,9536,3758631958,-51,6,-112
322924,-665,-139,8751,3760730131,-25,14,-92
323024,-272,-296,9956,3222807569,126,-157,6
323124,-261,-399,11176,3226995731,72,-138,78
323224,167,-384,9135,3760720918,-1279,1769,-22
323324,-1267,1,8342,3768112149,320,-41,-48
323425,-618,242,8188,3781715985,2,-1275,-4
323525,-196,51,8240,3773305872,258,-1138,1
323624,837,143,8283,3769668623,301,-111,-7
323724,1157,-123,10261,3226511374,291,-260,15
323824,1152,-702,12245,3241187345,269,380,165
323924,1037,-1020,11123,3250620437,-729,1194,68
324024,-1009,-73,9275,3769144341,223,1234,-71
324124,-2307,70,8953,3768147985,-64,407,-82
324224,-616,282,8181,3776483339,-409,-1575,26
324324,-696,44,8515,3765981196,443,-420,-4
324424,-157,-155,10135,3767012362,330,100,-54
324524,-146,-67,10798,3763865610,-216,15,19
324624,-190,-136,10828,3762824204,-66,236,15
324724,-247,31,10266,3763877900,24,229,-18
324824,-523,-50,9959,3764933642,-54,159,-59
324924,-1026,406,10174,3764940807,160,144,-72
325024,-917,-29,9990,3761798148,-78,-39,-34
325124,-996,300,9983,3763894275,-70,-161,-59
325224,-883,366,10161,3764938755,97,-24,33
325324,-1080,773,10436,3763885059,121,-128,-20
325424,-302,-67,10840,3758636036,-5,-166,82
325524,-533,80,10546,3767031816,-490,203,54
325624,-83,59,9088,3775415303,-76,-449,-58
325724,357,248,8587,3773829126,64,-408,-19
325826,527,272,9083,3769646085,163,-244,-40
325927,564,36,9556,3763359748,286,44,-56
326025,305,-173,10351,3228584961,497,179,-79
326126,457,-652,9781,3241160193,313,208,11
326226,240,-1078,9792,3249539072,166,247,50
326325,-74,-1263,9896,3251115009,-43,141,-49
326425,-110,-622,10015,3244826113,-204,-52,-14
326525,100,-255,10411,3235387904,-292,-68,48
326625,123,29,10383,3222801410,-801,-145,60
326725,51,959,10533,3782215684,-788,-169,45
326825,470,1094,9476,3803195396,-497,-157,-63
326925,453,1574,9877,3816829955,-238,-178,17
327025,457,1241,9770,3816834052,174,-23,30
327125,295,1498,10168,3807398916,390,-34,-54
327224,718,151,9437,3788525569,535,45,-14
327324,494,-33,9553,3765456384,625,41,-25
327424,393,-382,9920,3230678528,268,-12,17
327524,394,-943,9815,3241163264,188,85,-1
327624,432,-823,9775,3246405120,119,16,-33
327725,178,-788,9815,3250600449,150,33,-24
327825,564,-1340,9538,3248500225,-248,-140,-28
327925,555,-831,9967,3241161218,-178,102,16
328024,533,-807,9693,3233821185,-149,-10,-23
328124,351,-546,9362,3227528706,-40,-7,-26
328224,-186,171,9401,3224382979,-22,31,-45
328324,78,-281,8776,3224380932,-44,57,-24
328424,135,-226,8213,3223331332,-92,86,-3
328524,95,-196,7815,3222281732,38,-27,-7
328624,99,-147,8152,3222280709,0,24,-41
328724,-28,-112,8918,3223327239,10,80,-51
328824,-118,-197,9726,3225421322,10,78,-58
328924,-171,133,10970,3223847434,5,39,39
329024,-17,-143,5460,3759672834,-73,154,490
329124,-48,-17,3339,3768064019,-7,16,698
329224,469,315,1734,3863067146,-3074,-4238,-1218
329324,318,385,2197,3931336242,1503,-372,472
329424,-649,-610,3862,3786542650,8079,5716,1393
329524,-28,-250,609,3785904136,3971,-458,2433
329624,19,-244,9826,3771213835,39,-35,0
329724,-124,-64,9905,3768064010,-24,10,-5
329824,-51,-208,9861,3768061962,4,-8,2
329924,-115,54,9833,3769110539,-20,14,-10
