timestamp,lighthouse.angle1x,lighthouse.angle1y,lighthouse.angle0x_1,lighthouse.angle0y_1,lighthouse.angle1x_1,lighthouse.angle1y_1
2153562,-0.13474509119987488,-0.8108454942703247,0.4510911703109741,-0.5581397414207458,-0.13911810517311096,-0.8169065117835999
2153662,-0.1347058117389679,-0.8108221292495728,0.4510783553123474,-0.5581756234169006,-0.13911184668540955,-0.8168705701828003
2153762,-0.13469919562339783,-0.81082683801651,0.45107829570770264,-0.5581952929496765,-0.13912492990493774,-0.8168613910675049
2153862,-0.13471239805221558,-0.8108382225036621,0.45107829570770264,-0.5581952929496765,-0.1390986144542694,-0.8168798089027405
2153962,-0.13471266627311707,-0.8107865452766418,0.4511568546295166,-0.5582123398780823,-0.13911205530166626,-0.8168299794197083
2154062,-0.13471239805221558,-0.8108174204826355,0.45116350054740906,-0.5582038164138794,-0.13911831378936768,-0.8168660402297974
2154162,-0.13471215963363647,-0.8108484745025635,0.45112383365631104,-0.5581562519073486,-0.13907891511917114,-0.8168936967849731
2154262,-0.13471248745918274,-0.8108278512954712,0.45116350054740906,-0.5582038164138794,-0.13911831378936768,-0.8168660402297974
2154362,-0.1346926987171173,-0.8108212947845459,0.4510849118232727,-0.5581868886947632,-0.13912492990493774,-0.8168613910675049
2154462,-0.13471883535385132,-0.8108435869216919,0.45116350054740906,-0.5582038164138794,-0.1390853226184845,-0.8168891668319702
2154562,-0.13473862409591675,-0.8108294010162354,0.4511696696281433,-0.5581566095352173,-0.1390986144542694,-0.8168798089027405
2154662,-0.13467392325401306,-0.8106393218040466,0.4510909914970398,-0.5580422878265381,-0.13896146416664124,-0.8167742490768433
2154762,-0.13478580117225647,-0.8105279803276062,0.4509071707725525,-0.5579053163528442,-0.13909953832626343,-0.8166769742965698
2154862,-0.13509586453437805,-0.8101398944854736,0.45088669657707214,-0.5575804710388184,-0.13935017585754395,-0.8164193630218506
2154962,-0.13509586453437805,-0.8101398944854736,0.45257723331451416,-0.5566331744194031,-0.13935017585754395,-0.8164193630218506
