timestamp,lighthouse.validAngles,lighthouse.rawAngle0x,lighthouse.rawAngle0y,lighthouse.rawAngle1x,lighthouse.rawAngle1y,lighthouse.angle0x,lighthouse.angle0y
2153562,0,0.0,0.0,0.0,0.0,0.4461856782436371,-0.55373615026474
2153662,0,0.0,0.0,0.0,0.0,0.44615963101387024,-0.5537697076797485
2153762,0,0.0,0.0,0.0,0.0,0.44615963101387024,-0.5537697076797485
2153862,0,0.0,0.0,0.0,0.0,0.4461531937122345,-0.553777813911438
2153962,0,0.0,0.0,0.0,0.0,0.4462054669857025,-0.5537887215614319
2154062,0,0.0,0.0,0.0,0.0,0.44621187448501587,-0.5537806153297424
2154162,0,0.0,0.0,0.0,0.0,0.4461856782436371,-0.55373615026474
2154262,0,0.0,0.0,0.0,0.0,0.44621187448501587,-0.5537806153297424
2154362,0,0.0,0.0,0.0,0.0,0.44615963101387024,-0.5537697076797485
2154462,0,0.0,0.0,0.0,0.0,0.44621187448501587,-0.5537806153297424
2154562,0,0.0,0.0,0.0,0.0,0.4462445378303528,-0.5537384748458862
2154662,0,0.0,0.0,0.0,0.0,0.4461330771446228,-0.5536468029022217
2154762,0,0.0,0.0,0.0,0.0,0.44590994715690613,-0.5534626245498657
2154862,0,0.0,0.0,0.0,0.0,0.4459674656391144,-0.5529969334602356
2154962,0,0.0,0.0,0.0,0.0,0.4477563202381134,-0.5520296692848206
2155062,0,0.0,0.0,0.0,0.0,0.45014429092407227,-0.5503654479980469
2155162,0,0.0,0.0,0.0,0.0,0.45014429092407227,-0.5503654479980469
2155262,0,0.0,0.0,0.0,0.0,0.46847397089004517,-0.5314367413520813
2155362,0,0.0,0.0,0.0,0.0,0.47842156887054443,-0.5185748338699341
2155462,0,0.0,0.0,0.0,0.0,0.4882098138332367,-0.5045854449272156
2155562,0,0.0,0.0,0.0,0.0,0.4971509873867035,-0.4911021888256073
2155662,0,0.0,0.0,0.0,0.0,0.5047175288200378,-0.4791427254676819
2155762,0,0.0,0.0,0.0,0.0,0.510405957698822,-0.4689432680606842
2155862,0,0.0,0.0,0.0,0.0,0.5136967301368713,-0.461955189704895
2155962,0,0.0,0.0,0.0,0.0,0.516473650932312,-0.45346134901046753
2156062,0,0.0,0.0,0.0,0.0,0.51710045337677,-0.44812577962875366
2156162,0,0.0,0.0,0.0,0.0,0.5163768529891968,-0.4439372718334198
2156262,0,0.0,0.0,0.0,0.0,0.5154298543930054,-0.4419601559638977
2156362,0,0.0,0.0,0.0,0.0,0.5122360587120056,-0.4387371838092804
2156462,0,0.0,0.0,0.0,0.0,0.5104819536209106,-0.43821999430656433
2156562,0,0.0,0.0,0.0,0.0,0.5104819536209106,-0.43821999430656433
