timestamp,controller.accelz,controller.actuatorThrust,controller.cmd_pitch,controller.cmd_roll,controller.cmd_thrust,controller.cmd_yaw
1975916,0.9985703229904175,0.0,0.0,0.0,0.0,0.0
1976016,0.9984943866729736,0.0,0.0,0.0,0.0,0.0
1976116,0.9982503652572632,0.0,0.0,0.0,0.0,0.0
1976216,0.9984787702560425,0.0,0.0,0.0,0.0,0.0
1976316,0.9979321956634521,0.0,0.0,0.0,0.0,0.0
1976416,0.9985421299934387,0.0,0.0,0.0,0.0,0.0
1976516,0.9992715120315552,0.0,0.0,0.0,0.0,0.0
1976616,1.0006532669067383,0.0,0.0,0.0,0.0,0.0
1976716,0.9985430836677551,0.0,0.0,0.0,0.0,0.0
1976816,0.9993535876274109,0.0,0.0,0.0,0.0,0.0
1976916,0.9955527186393738,35970.77734375,1894.0,4635.0,35970.77734375,218.0
1977016,0.972396969795227,36227.3984375,-244.0,5642.0,36227.3984375,-2872.0
1977116,1.0390228033065796,38388.27734375,-195.0,2363.0,38388.27734375,354.0
1977216,1.0336458683013916,41285.3359375,-1242.0,-9814.0,41285.3359375,-328.0
1977316,1.1317073106765747,45101.28125,-2304.0,2913.0,45101.28125,2765.0
1977416,1.1860047578811646,46525.61328125,513.0,5267.0,46525.61328125,4510.0
1977516,1.154556393623352,46369.97265625,-4451.0,-3582.0,46369.97265625,5180.0
1977616,1.1119221448898315,44504.15625,1109.0,-916.0,44504.15625,4992.0
1977719,1.0412530899047852,42687.90234375,1443.0,1429.0,42687.90234375,4523.0
1977818,0.9919854998588562,40001.3515625,-218.0,204.0,40001.3515625,4013.0
1977918,0.9175711870193481,38104.10546875,-1074.0,-1321.0,38104.10546875,3334.0
1978018,0.9048519134521484,37847.34765625,110.0,1424.0,37847.34765625,3119.0
1978117,0.8840608596801758,38813.2265625,-663.0,-237.0,38813.2265625,3073.0
1978217,0.9517127275466919,39321.3984375,-15.0,231.0,39321.3984375,3222.0
1978317,0.9684225916862488,40214.640625,-414.0,511.0,40214.640625,3180.0
1978417,0.9415566325187683,40620.96484375,-1852.0,-1193.0,40620.96484375,3163.0
1978516,0.9531933069229126,40894.81640625,-283.0,-732.0,40894.81640625,3170.0
1978616,0.9762187600135803,40455.03125,-279.0,-2422.0,40455.03125,3314.0
1978716,0.9946053624153137,40786.17578125,-293.0,-2156.0,40786.17578125,3127.0
1978816,0.9998507499694824,41372.3984375,-699.0,-1427.0,41372.3984375,3455.0
1978916,0.9985697865486145,41269.15625,1058.0,210.0,41269.15625,3529.0
1979016,1.0074479579925537,41432.29296875,-340.0,-1879.0,41432.29296875,3459.0
1979116,0.9966657757759094,42153.421875,-623.0,-2558.0,42153.421875,3616.0
1979216,0.9885935187339783,41757.2578125,-1056.0,-5071.0,41757.2578125,3535.0
1979316,1.0202138423919678,41681.10546875,512.0,-1499.0,41681.10546875,3696.0
1979416,1.030008316040039,39790.65625,-483.0,1058.0,39790.65625,3604.0
1979516,0.9646487236022949,41354.30859375,-3736.0,-548.0,41354.30859375,3485.0
1979616,0.9930115342140198,40349.52734375,174.0,-575.0,40349.52734375,3481.0
1979716,0.9623962640762329,41816.50390625,-1478.0,1267.0,41816.50390625,3528.0
1979816,1.0306676626205444,40235.44921875,-2746.0,-1181.0,40235.44921875,3662.0
1979916,1.0342053174972534,43457.3046875,606.0,1752.0,43457.3046875,3334.0
1980016,1.0373815298080444,41151.22265625,240.0,2403.0,41151.22265625,3740.0
1980116,0.9821221232414246,40589.32421875,-3492.0,-1512.0,40589.32421875,3588.0
1980216,0.9998260736465454,40204.078125,-377.0,2097.0,40204.078125,3602.0
1980316,0.9711911082267761,39654.2890625,-2510.0,-301.0,39654.2890625,3402.0
1980416,0.9756866693496704,40024.90234375,-3553.0,604.0,40024.90234375,2614.0
1980516,0.9642764925956726,40057.3203125,-1618.0,1234.0,40057.3203125,3114.0
1980616,0.983270525932312,39927.4765625,-2966.0,1253.0,39927.4765625,3127.0
1980716,1.0013304948806763,40566.76171875,-2075.0,909.0,40566.76171875,3114.0
1980816,0.9983097314834595,40750.390625,-3021.0,1078.0,40750.390625,3075.0
1980916,1.0425084829330444,40598.515625,-3785.0,1593.0,40598.515625,3393.0
1981016,0.9957968592643738,40190.8359375,-2863.0,1250.0,40190.8359375,3532.0
1981116,1.0133447647094727,40241.2265625,-1775.0,646.0,40241.2265625,3303.0
1981216,1.0037164688110352,39959.1796875,-4119.0,1145.0,39959.1796875,3295.0
1981316,0.9832455515861511,40138.12109375,-3519.0,742.0,40138.12109375,3278.0
1981416,0.987766683101654,40874.20703125,-2880.0,2009.0,40874.20703125,3214.0
1981516,1.0463588237762451,40879.40234375,-1721.0,4565.0,40879.40234375,3330.0
1981616,1.0180552005767822,40936.1640625,-3482.0,2332.0,40936.1640625,3599.0
1981716,0.9948924779891968,38600.54296875,-2901.0,-518.0,38600.54296875,3962.0
1981816,0.9433611631393433,39684.43359375,-3964.0,1577.0,39684.43359375,3386.0
1981916,1.0247998237609863,43543.91015625,-1677.0,2383.0,43543.91015625,3645.0
1982016,0.9625260233879089,38584.94921875,1087.0,-2164.0,38584.94921875,3740.0
1982116,0.9683748483657837,39792.8203125,-2708.0,320.0,39792.8203125,3385.0
1982216,0.9985180497169495,41749.23046875,-3108.0,1822.0,41749.23046875,3673.0
1982316,1.0284875631332397,41638.67578125,-314.0,2334.0,41638.67578125,3974.0
1982416,1.035481572151184,45185.93359375,-477.0,-1536.0,45122.88671875,3845.0
1982516,1.155474066734314,47785.9140625,-401.0,-91.0,47979.578125,4650.0
1982616,1.160415768623352,42989.74609375,1358.0,141.0,44210.83203125,4849.0
1982716,0.9765398502349854,34008.9609375,-3890.0,4490.0,34248.3828125,4159.0
1982816,0.8858121633529663,37097.578125,4467.0,-5983.0,36875.37890625,3707.0
1982916,0.9321437478065491,38488.61328125,2200.0,574.0,37477.39453125,3361.0
1983016,0.9315891265869141,39126.06640625,-8510.0,299.0,39045.60546875,3342.0
1983116,0.9358717799186707,38495.98828125,-2933.0,832.0,38598.6640625,3131.0
1983216,0.9414573907852173,31855.212890625,-32767.0,11520.0,36347.1796875,3339.0
1983316,0.7909544110298157,30634.580078125,5055.0,13830.0,29248.607421875,3737.0
1983416,0.7711372971534729,33224.9375,45.0,3883.0,33293.953125,3429.0
1983516,0.8608502745628357,37661.4765625,1746.0,2875.0,37278.40234375,3213.0
1983616,0.925491988658905,42885.26953125,6097.0,9709.0,40923.31640625,3200.0
1983716,1.061431646347046,44662.8671875,-3428.0,5312.0,44702.390625,3900.0
1983816,1.1603788137435913,45474.56640625,-3085.0,-70.0,45657.9453125,5050.0
1983916,0.7554244995117188,0.0,0.0,0.0,0.0,0.0
1984016,9.571478843688965,0.0,0.0,0.0,0.0,0.0
1984116,0.4336523711681366,0.0,0.0,0.0,0.0,0.0
1984216,1.005499243736267,0.0,0.0,0.0,0.0,0.0
1984316,0.9971972703933716,0.0,0.0,0.0,0.0,0.0
1984416,0.9968419075012207,0.0,0.0,0.0,0.0,0.0
1984516,1.0015757083892822,0.0,0.0,0.0,0.0,0.0
1984616,0.9989472031593323,0.0,0.0,0.0,0.0,0.0
1984716,0.9993572235107422,0.0,0.0,0.0,0.0,0.0
1984816,0.9988122582435608,0.0,0.0,0.0,0.0,0.0
1984916,1.0003536939620972,0.0,0.0,0.0,0.0,0.0
1985016,1.0022344589233398,0.0,0.0,0.0,0.0,0.0
1985116,1.0032427310943604,0.0,0.0,0.0,0.0,0.0
1985216,0.9981029033660889,0.0,0.0,0.0,0.0,0.0
1985316,1.0004228353500366,0.0,0.0,0.0,0.0,0.0
1985416,0.9981160759925842,0.0,0.0,0.0,0.0,0.0
1985516,1.0004321336746216,0.0,0.0,0.0,0.0,0.0
1985616,0.9984220266342163,0.0,0.0,0.0,0.0,0.0
1985717,0.9964203238487244,0.0,0.0,0.0,0.0,0.0
1985817,0.9990089535713196,0.0,0.0,0.0,0.0,0.0
1985916,0.9974932074546814,0.0,0.0,0.0,0.0,0.0
1986016,1.0028104782104492,0.0,0.0,0.0,0.0,0.0
1986116,0.9996870756149292,0.0,0.0,0.0,0.0,0.0
1986216,0.9997814893722534,0.0,0.0,0.0,0.0,0.0
1986316,0.9997082948684692,0.0,0.0,0.0,0.0,0.0
1986416,0.9987776875495911,0.0,0.0,0.0,0.0,0.0
1986516,0.9996273517608643,0.0,0.0,0.0,0.0,0.0
1986616,1.0003206729888916,0.0,0.0,0.0,0.0,0.0
1986716,0.9976244568824768,0.0,0.0,0.0,0.0,0.0
1986816,0.9984269738197327,0.0,0.0,0.0,0.0,0.0
1986916,0.9997453689575195,0.0,0.0,0.0,0.0,0.0
1987016,0.9992310404777527,0.0,0.0,0.0,0.0,0.0
1987116,0.9967982172966003,0.0,0.0,0.0,0.0,0.0
1987216,0.9993332624435425,0.0,0.0,0.0,0.0,0.0
1987316,1.0019495487213135,0.0,0.0,0.0,0.0,0.0
1987416,0.9984205961227417,0.0,0.0,0.0,0.0,0.0
1987516,1.0007433891296387,0.0,0.0,0.0,0.0,0.0
1987616,0.9976033568382263,0.0,0.0,0.0,0.0,0.0
1987716,0.9986334443092346,0.0,0.0,0.0,0.0,0.0
1987816,0.9986430406570435,0.0,0.0,0.0,0.0,0.0
1987916,0.998403012752533,0.0,0.0,0.0,0.0,0.0
1988016,0.9989345669746399,0.0,0.0,0.0,0.0,0.0
1988116,0.9983891844749451,0.0,0.0,0.0,0.0,0.0
1988216,0.9970741868019104,0.0,0.0,0.0,0.0,0.0
1988316,0.9964234232902527,0.0,0.0,0.0,0.0,0.0
1988416,0.9993476271629333,0.0,0.0,0.0,0.0,0.0
1988516,0.9980277419090271,0.0,0.0,0.0,0.0,0.0
1988616,0.9991322755813599,0.0,0.0,0.0,0.0,0.0
1988716,0.9973006248474121,0.0,0.0,0.0,0.0,0.0
1988816,0.998876690864563,0.0,0.0,0.0,0.0,0.0
1988916,0.9816571474075317,35959.359375,-332.0,-1507.0,35959.359375,33.0
1989016,0.9964494705200195,35932.34375,970.0,1056.0,35932.34375,-22.0
1989116,1.0104031562805176,36094.26953125,4303.0,-786.0,36094.26953125,304.0
1989216,1.0353670120239258,35969.16796875,6712.0,-271.0,35969.16796875,-1415.0
1989316,1.0160096883773804,37884.625,-837.0,394.0,37884.625,1679.0
1989416,1.0421122312545776,39535.359375,-1756.0,4881.0,39535.359375,2534.0
1989516,1.0687458515167236,42035.69921875,2143.0,661.0,42035.69921875,2878.0
1989616,1.0887559652328491,43877.75390625,-178.0,-2078.0,43877.75390625,3397.0
1989716,1.0901732444763184,43636.5546875,-4451.0,-2787.0,43636.5546875,4325.0
1989816,1.0518862009048462,41972.0625,1809.0,1815.0,41972.0625,3866.0
1989917,1.0162376165390015,41983.59375,-2004.0,485.0,41983.59375,3687.0
1990017,1.02241849899292,40953.12890625,-4694.0,-686.0,40953.12890625,3074.0
1990116,0.9070498943328857,35485.34765625,1929.0,2006.0,35485.34765625,3178.0
1990218,0.8971035480499268,40267.171875,-2173.0,-361.0,40094.32421875,3735.0
1990317,1.0186660289764404,43712.3046875,-192.0,-133.0,43739.19140625,3498.0
1990417,1.093963861465454,44732.48046875,3765.0,-7855.0,45637.65234375,3717.0
1990517,1.0651980638504028,42287.5625,1884.0,-8572.0,43483.265625,4029.0
1990617,1.0177974700927734,39485.86328125,-803.0,259.0,39485.86328125,3976.0
1990717,0.9617525339126587,37614.3984375,-1246.0,-413.0,37614.3984375,3348.0
1990817,0.918452262878418,39242.15234375,-1006.0,1031.0,39242.15234375,3180.0
1990917,0.9262322187423706,39273.90625,-1117.0,383.0,39273.90625,3246.0
1991017,0.9484006762504578,39158.30859375,-650.0,-85.0,39158.30859375,3444.0
1991117,0.9761559963226318,41494.9453125,-1941.0,363.0,41494.9453125,3422.0
1991217,0.9665653705596924,40619.5078125,-1101.0,464.0,40619.5078125,3328.0
1991317,1.0129055976867676,39591.71484375,-467.0,1507.0,39591.71484375,3357.0
1991416,0.9631179571151733,40709.68359375,-278.0,112.0,40709.68359375,3287.0
1991516,0.9516968727111816,40339.390625,-1085.0,167.0,40339.390625,3337.0
1991616,0.9962840676307678,40288.2890625,-233.0,-329.0,40288.2890625,3415.0
1991716,0.986924409866333,41843.62890625,-1058.0,121.0,41843.62890625,3263.0
1991816,0.9987083077430725,41478.51171875,-745.0,225.0,41478.51171875,3200.0
1991916,1.0074763298034668,40923.03515625,773.0,482.0,40923.03515625,3365.0
1992016,1.0548954010009766,45406.9765625,-787.0,1392.0,45406.9765625,3666.0
1992116,1.1466305255889893,45738.2265625,1781.0,268.0,45738.2265625,4378.0
1992216,0.9857677221298218,36954.234375,-5554.0,6262.0,36954.234375,4208.0
1992317,0.9333984851837158,32029.427734375,-12100.0,-1047.0,32029.427734375,3797.0
1992417,0.8296758532524109,34422.79296875,3583.0,3095.0,34422.79296875,3953.0
1992517,0.8731061816215515,39047.82421875,2000.0,1978.0,39047.82421875,3490.0
