timestamp,motion.motion,motion.deltaX,motion.deltaY,motion.shutter,motion.maxRaw,motion.minRaw,motion.Rawsum,motion.outlierCount,motion.squal,motion.std
131495,176,2,2,5070,255,75,66,1,37,2.0
131595,176,2,-5,4698,255,79,81,1,53,2.0
131695,176,4,0,4607,255,77,73,1,44,2.0
131795,48,0,0,4837,255,76,72,1,45,2.0
131895,176,2,0,4780,255,81,82,1,55,2.0
131995,48,0,0,4706,76,64,42,1,12,2.0
132095,176,2,-8,4960,255,79,75,1,44,2.0
132195,176,2,8,5228,181,70,53,1,14,2.0
132295,176,0,4,4526,77,64,42,1,13,2.0
132395,176,2,21,5089,255,78,75,1,45,2.0
132495,176,-3,0,5365,190,70,54,1,22,2.0
132595,176,-2,4,4679,255,78,76,1,45,2.0
132695,176,0,2,4914,255,80,77,1,42,2.0
132795,176,2,15,3753,158,67,51,1,26,2.0
132895,176,1,-22,2225,255,73,85,1,52,2.0
132995,176,3,-5,1492,255,85,87,1,104,2.0
133095,176,-10,3,1296,255,80,72,1,119,2.0
133197,176,-12,-1,1450,219,87,78,1,127,2.0
133297,176,-8,-8,1717,223,98,91,1,112,2.0
133395,48,0,0,1930,183,87,81,1,96,2.0
133495,176,4,-2,1789,232,93,97,1,101,2.0
133595,176,0,-1,1885,178,80,78,1,87,2.0
133695,176,4,9,1857,229,91,96,1,93,2.0
133795,48,0,0,1843,195,82,82,1,88,2.0
133895,176,-3,1,1815,212,89,89,1,97,2.0
133995,176,6,-1,1912,185,81,78,1,91,2.0
134095,176,3,-1,1883,208,85,84,1,87,2.0
134197,176,1,-2,1992,198,85,81,1,88,2.0
134295,176,-1,0,1968,187,82,78,1,90,2.0
134395,176,-3,0,2065,215,88,87,1,92,2.0
134495,176,4,0,2048,188,82,78,1,90,2.0
134595,176,-4,1,2032,219,91,90,1,99,2.0
134695,176,-11,-4,2010,195,84,80,1,95,2.0
134795,176,-2,-1,1987,214,91,87,1,96,2.0
134895,176,4,0,1972,194,84,79,1,88,2.0
134995,176,6,-2,1965,204,87,81,1,89,2.0
135095,176,6,1,1965,202,83,78,1,84,2.0
135195,176,1,-1,1950,193,82,75,1,94,2.0
135295,176,0,-4,2055,212,89,83,1,101,2.0
135395,176,-1,-3,2167,191,84,75,1,90,2.0
135495,176,-1,-3,2293,220,98,89,1,106,2.0
135595,176,-4,-4,2728,191,94,81,1,105,2.0
135695,176,0,-3,2887,229,112,102,1,120,2.0
135795,176,0,-2,3220,191,102,87,1,104,2.0
135895,176,0,-6,2972,200,103,90,1,111,2.0
135995,176,2,0,3315,203,105,93,1,105,2.0
136095,176,1,-9,3060,182,96,82,1,104,2.0
136195,176,1,-1,3213,217,110,97,1,115,2.0
136295,176,2,-7,3151,183,100,84,1,100,2.0
136395,176,0,-2,3102,231,113,105,1,116,2.0
136495,176,0,-6,3054,185,98,85,1,106,2.0
136595,176,0,-5,2820,235,117,103,1,119,2.0
136695,176,0,-4,2960,194,106,91,1,117,2.0
136795,176,0,-5,2420,197,98,83,1,103,2.0
136895,176,2,-1,2244,211,97,83,1,96,2.0
136995,176,0,-2,2087,192,90,78,1,90,2.0
137095,176,0,-5,2070,220,98,91,1,100,2.0
137195,176,0,3,2046,192,91,83,1,92,2.0
137295,176,1,0,2156,223,102,99,1,101,2.0
137395,176,4,3,2254,190,94,87,1,86,2.0
137495,176,-6,0,2106,221,112,100,1,95,2.0
137598,176,0,-2,2072,190,99,84,1,79,2.0
137697,176,-1,1,1927,235,110,100,1,94,2.0
137797,176,1,-2,2024,216,99,91,1,84,2.0
137897,176,0,-9,1992,186,83,82,1,86,2.0
137997,176,-1,-1,1968,224,93,96,1,107,2.0
138096,48,0,0,1936,191,84,82,1,98,2.0
138196,176,0,-1,1795,230,93,95,1,107,2.0
138296,176,0,3,1884,183,82,79,1,91,2.0
138395,176,0,-1,1855,230,94,96,1,106,2.0
138495,176,0,1,1947,201,86,84,1,93,2.0
138595,176,-3,0,1924,224,93,94,1,104,2.0
138695,176,2,0,2027,212,89,90,1,106,2.0
138795,176,1,0,1879,216,90,92,1,103,2.0
138895,48,0,0,1865,218,92,93,1,103,2.0
138995,176,0,2,1951,185,85,83,1,88,2.0
139095,176,-4,2,1921,235,96,103,1,95,2.0
139195,176,7,-3,1898,181,94,83,1,87,2.0
139295,176,0,2,1766,231,106,99,1,99,2.0
139395,176,-21,-4,1969,223,100,91,1,100,2.0
139495,176,-9,1,1411,251,93,85,1,118,2.0
139595,176,6,0,1146,255,63,55,1,32,2.0
139695,176,-6,0,870,91,64,45,1,47,2.0
139795,48,0,0,1107,255,61,51,1,26,2.0
139895,48,0,0,1497,68,59,37,1,13,2.0
139995,176,24,18,2025,71,60,38,1,12,2.0
140097,176,2,5,2427,255,68,64,1,32,2.0
140197,176,-8,2,2739,255,66,55,1,27,2.0
140296,176,-1,0,3079,255,72,74,1,47,2.0
140396,176,6,-3,3461,255,74,74,1,45,2.0
