timestamp,extrx_raw.ch0,extrx_raw.ch1,extrx_raw.ch2,extrx_raw.ch3,extrx_raw.ch4,extrx_raw.ch5,extrx_raw.ch6,extrx_raw.ch7
2153525,0,0,0,0,0,0,0,0
2153625,0,0,0,0,0,0,0,0
2153725,0,0,0,0,0,0,0,0
2153825,0,0,0,0,0,0,0,0
2153925,0,0,0,0,0,0,0,0
2154025,0,0,0,0,0,0,0,0
2154125,0,0,0,0,0,0,0,0
2154225,0,0,0,0,0,0,0,0
2154325,0,0,0,0,0,0,0,0
2154425,0,0,0,0,0,0,0,0
2154525,0,0,0,0,0,0,0,0
2154625,0,0,0,0,0,0,0,0
2154725,0,0,0,0,0,0,0,0
2154825,0,0,0,0,0,0,0,0
2154925,0,0,0,0,0,0,0,0
2155025,0,0,0,0,0,0,0,0
2155125,0,0,0,0,0,0,0,0
2155225,0,0,0,0,0,0,0,0
2155325,0,0,0,0,0,0,0,0
2155425,0,0,0,0,0,0,0,0
2155525,0,0,0,0,0,0,0,0
2155625,0,0,0,0,0,0,0,0
2155725,0,0,0,0,0,0,0,0
2155825,0,0,0,0,0,0,0,0
2155925,0,0,0,0,0,0,0,0
2156025,0,0,0,0,0,0,0,0
2156125,0,0,0,0,0,0,0,0
2156225,0,0,0,0,0,0,0,0
2156325,0,0,0,0,0,0,0,0
2156425,0,0,0,0,0,0,0,0
2156525,0,0,0,0,0,0,0,0
2156625,0,0,0,0,0,0,0,0
2156725,0,0,0,0,0,0,0,0
2156825,0,0,0,0,0,0,0,0
2156925,0,0,0,0,0,0,0,0
2157025,0,0,0,0,0,0,0,0
2157125,0,0,0,0,0,0,0,0
2157225,0,0,0,0,0,0,0,0
2157325,0,0,0,0,0,0,0,0
2157425,0,0,0,0,0,0,0,0
2157525,0,0,0,0,0,0,0,0
2157625,0,0,0,0,0,0,0,0
2157725,0,0,0,0,0,0,0,0
2157825,0,0,0,0,0,0,0,0
2157925,0,0,0,0,0,0,0,0
2158025,0,0,0,0,0,0,0,0
2158125,0,0,0,0,0,0,0,0
2158225,0,0,0,0,0,0,0,0
2158325,0,0,0,0,0,0,0,0
2158425,0,0,0,0,0,0,0,0
2158525,0,0,0,0,0,0,0,0
2158625,0,0,0,0,0,0,0,0
2158725,0,0,0,0,0,0,0,0
2158825,0,0,0,0,0,0,0,0
2158925,0,0,0,0,0,0,0,0
2159025,0,0,0,0,0,0,0,0
2159125,0,0,0,0,0,0,0,0
2159225,0,0,0,0,0,0,0,0
2159325,0,0,0,0,0,0,0,0
2159425,0,0,0,0,0,0,0,0
2159525,0,0,0,0,0,0,0,0
2159625,0,0,0,0,0,0,0,0
2159725,0,0,0,0,0,0,0,0
2159825,0,0,0,0,0,0,0,0
2159925,0,0,0,0,0,0,0,0
2160025,0,0,0,0,0,0,0,0
2160125,0,0,0,0,0,0,0,0
2160225,0,0,0,0,0,0,0,0
2160325,0,0,0,0,0,0,0,0
2160425,0,0,0,0,0,0,0,0
2160525,0,0,0,0,0,0,0,0
2160625,0,0,0,0,0,0,0,0
2160725,0,0,0,0,0,0,0,0
2160825,0,0,0,0,0,0,0,0
2160925,0,0,0,0,0,0,0,0
2161025,0,0,0,0,0,0,0,0
2161125,0,0,0,0,0,0,0,0
2161225,0,0,0,0,0,0,0,0
