timestamp,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
308255,0,0,0,0
308355,0,0,0,0
308455,0,0,0,0
308555,0,0,0,0
308655,0,0,0,0
308755,0,0,0,0
308855,0,0,0,0
308955,0,0,0,0
309055,0,0,0,0
309155,0,0,0,0
309255,40230,42178,43894,41843
309355,45539,41825,41010,46233
309455,44488,39153,42821,48238
309555,47663,44427,40270,50178
309655,42860,52420,52350,45033
309755,49287,45249,53456,53308
309855,52962,50702,52833,46712
309955,52340,48007,52988,47662
310055,48785,45633,53638,45539
310155,48830,46048,48872,39120
310255,48137,44159,46444,39696
310355,47461,46127,46068,36548
310455,46933,42170,46684,41861
310555,48663,45150,45754,39758
310655,46188,41686,45634,40282
310755,49105,46219,49905,43851
310855,52836,49864,48791,41832
310955,50018,43988,50184,45431
311055,49465,43594,48557,43892
311155,47476,41588,46037,40833
311258,45525,42516,46829,39387
311355,47181,43925,48109,41688
311455,48170,45712,49158,42463
311555,50239,44925,50065,46011
311655,51979,49431,53389,45342
311755,51240,44531,51863,46082
311855,51638,49165,50134,43184
311955,47870,39506,49312,46635
312055,47285,45971,50833,43392
312158,49130,45595,49491,42716
312257,47618,44595,49216,41912
312357,50274,48007,47013,39253
312457,50658,48722,47520,39787
312557,51073,48268,46634,39858
312657,50825,48855,48081,40115
312757,51824,47932,47256,41440
312855,47800,44796,49991,42574
312956,51643,48435,47381,40670
313056,51864,48786,48102,40835
313156,51705,48243,47195,39848
313256,51353,49221,48188,39098
313355,48477,44369,49272,42760
313455,47116,44342,50473,44143
313555,48788,45671,50229,44074
313655,49632,46575,50603,43439
313755,49990,45693,51677,46039
313855,49989,46455,52276,44989
313955,49788,44723,49987,44019
314055,43999,45722,52578,41081
314155,48558,45321,48247,42500
314255,48349,43878,48127,43617
314355,46130,44157,48516,40576
314455,43507,35787,42021,38575
314555,48953,46294,49568,43106
314655,51641,49860,52072,45425
314755,51913,47258,52699,48271
314855,50647,45547,50631,46021
314955,49469,47011,50896,43420
315055,48884,45461,49293,43588
315155,48822,44847,49714,44939
315255,49081,44953,51114,45681
315355,49083,44961,49629,44665
315455,49327,44398,48989,44417
315555,48582,42093,49352,46286
315655,44444,40381,45686,40387
315755,42242,37120,43620,37668
315855,42071,36507,43057,36021
315955,47224,42644,48291,43161
316055,54796,51145,56206,51518
316155,48831,43736,52585,44064
316255,0,0,0,0
316355,0,0,0,0
316455,0,0,0,0
316555,0,0,0,0
316655,0,0,0,0
316755,0,0,0,0
316855,0,0,0,0
316955,0,0,0,0
317055,0,0,0,0
317155,0,0,0,0
317255,0,0,0,0
317355,0,0,0,0
317455,0,0,0,0
317555,0,0,0,0
317655,0,0,0,0
317755,0,0,0,0
317857,0,0,0,0
317957,0,0,0,0
318057,0,0,0,0
318155,0,0,0,0
318257,0,0,0,0
318356,0,0,0,0
318456,0,0,0,0
318556,0,0,0,0
318656,0,0,0,0
318755,0,0,0,0
318855,0,0,0,0
318955,0,0,0,0
319055,0,0,0,0
319155,0,0,0,0
319255,0,0,0,0
319355,0,0,0,0
319455,0,0,0,0
319555,0,0,0,0
319655,0,0,0,0
319755,0,0,0,0
319855,0,0,0,0
319955,0,0,0,0
320055,0,0,0,0
320155,0,0,0,0
320255,0,0,0,0
320355,0,0,0,0
320455,0,0,0,0
320555,0,0,0,0
320655,0,0,0,0
320755,0,0,0,0
320855,0,0,0,0
320955,0,0,0,0
321055,0,0,0,0
321155,0,0,0,0
321255,41713,39961,38668,39625
321355,48600,44885,43002,45351
321455,47601,40621,42997,48687
321555,49852,50116,53226,47612
321655,51354,48402,51931,47516
321755,42741,33871,43595,39482
321855,41554,42846,44779,28633
321955,42612,37654,45872,39346
322055,47631,45462,52286,45254
322155,56031,50794,54510,50084
322255,56942,50179,56506,50252
322355,54599,48458,56756,49115
322455,52887,45697,52107,44924
322555,50530,44047,49680,43021
322655,47927,42169,48404,41949
322755,47153,42493,48437,42588
322855,47681,44168,47487,41261
322955,50195,45814,50266,45357
323055,55666,51058,55984,50809
323155,55803,39737,37243,41620
323255,42351,41192,47112,35384
323355,40788,34645,46567,39529
323455,46267,43880,46116,35796
323555,46594,31772,39490,41128
323655,50805,47897,50347,42373
323755,59259,54393,59142,54407
323855,56695,50792,58036,50014
323955,38166,39852,53954,37873
324055,49698,42072,46929,42060
324155,45000,34640,38416,34376
324255,41741,41340,47705,34563
324355,51018,40036,51026,50871
324455,53951,50167,52067,47624
324555,53776,48157,52615,46685
324655,53023,45542,51826,47690
324755,51245,45818,50299,44271
324855,49987,45255,48817,44028
324955,49022,44803,49842,44957
325055,50603,45171,49814,45857
325155,51712,45169,49169,46557
325255,51656,45568,50678,46102
325355,54588,48834,52422,49560
325455,55195,47811,50885,45945
325555,52805,42809,46508,44637
325655,46937,37728,42637,39233
325755,47849,41507,46978,41846
325855,51435,44223,48947,45813
325955,53269,46130,49660,47727
326055,50911,46129,49371,45867
326155,51346,46450,50113,44923
326255,52710,45614,50697,47231
326355,51547,46247,49828,46680
326455,52235,47062,52144,47602
326557,53860,46173,50687,47622
326657,52452,47084,51780,45050
326757,52047,45198,50568,45325
326855,51518,46827,51153,45421
326955,51769,45598,49880,44266
327055,51363,45747,50328,43967
327157,51838,46150,48849,45000
327257,50765,45140,50208,44826
327356,51350,46413,49880,44263
327456,53520,47206,50301,46594
327556,51989,45960,51167,46328
327656,51240,45302,49685,44343
327756,50242,46640,51465,43978
327855,52503,47590,51613,47361
327955,50990,46204,51462,46100
328055,50300,45566,50780,45601
328155,50627,44970,49201,44687
328255,48663,43286,46757,42075
328355,44463,39687,44108,38277
328455,42836,39686,44194,37124
328555,44711,39714,43868,37852
328655,46654,42022,46000,41892
328755,49910,45394,49904,47270
328855,52072,51845,53850,48155
328955,0,0,0,0
329055,0,0,0,0
329155,0,0,0,0
329255,0,0,0,0
329355,0,0,0,0
329455,0,0,0,0
329555,0,0,0,0
329655,0,0,0,0
329755,0,0,0,0
329855,0,0,0,0
