timestamp,gyro.xRaw,gyro.yRaw,gyro.zRaw
2153532,0,-4,-5
2153632,4,-4,0
2153732,4,5,-4
2153832,-1,4,-2
2153932,6,2,-7
2154032,-4,3,-2
2154132,0,0,0
2154232,3,5,3
2154332,1,14,-4
2154432,6,12,-5
2154532,22,74,37
2154632,-141,-80,-146
2154732,325,26,-51
2154832,354,-262,141
2154932,-328,-263,295
2155032,409,602,387
2155132,-17,-267,227
2155232,-120,20,128
2155332,-69,94,-19
2155432,179,-70,-100
2155532,-113,46,-99
2155632,8,-9,-59
2155732,19,-48,-55
2155832,45,-8,-53
2155932,-8,1,-29
2156032,130,-132,-34
2156132,28,29,-18
2156232,-9,-14,6
2156332,166,-156,-31
2156432,-13,-189,-23
2156532,-90,17,-22
2156632,-281,319,-30
2156732,169,64,1
2156832,112,-129,5
2156932,376,-244,-3
2157032,-202,293,-22
2157132,-131,244,-15
2157232,-48,169,-39
2157332,9,188,-11
2157432,-236,501,-13
2157532,-42,-76,-4
2157632,210,-203,-46
2157732,161,-146,-28
2157832,350,-339,-49
2157932,150,-142,-27
2158032,-246,-79,-5
2158132,-439,-2,36
2158232,-526,145,20
2158332,-334,32,27
2158432,-82,-5,3
2158535,-58,-226,-18
2158632,199,-21,-13
2158732,-278,161,21
2158832,183,9,15
2158932,658,-198,3
2159032,510,-198,-19
2159132,411,3,14
2159232,142,-15,-30
2159332,-286,-87,-21
2159433,-191,364,-4
2159533,-84,-92,-37
2159632,-206,3,-21
2159732,-231,-111,12
2159832,-95,-115,14
2159932,-5,-158,-11
2160032,39,-173,-20
2160132,-14,13,-10
2160232,50,8,-8
2160332,107,63,-58
2160432,-42,88,-9
2160532,84,56,-54
2160632,16,92,-20
2160732,52,58,-24
2160832,47,-6,-22
2160932,-68,46,-13
2161032,11,89,-4
2161132,-71,19,-20
2161232,27,-62,-18
2161332,124,15,-7
2161432,18,-7,-22
2161532,-133,-84,304
2161632,-204,-28,664
2161732,1251,-1844,-653
2161832,1361,-2306,-485
2161932,-968,3242,-1666
2162032,19,-105,-14
2162132,25,-35,144
2162232,-12,8,-20
2162332,-12,19,11
2162432,-8,7,7
2162532,9,2,2
2162632,2,-1,1
2162732,-2,-1,2
2162832,-3,13,-2
2162932,2,7,-3
2163032,2,-5,-3
2163132,3,7,-3
2163232,1,4,0
2163332,4,-5,-8
2163432,5,3,-3
2163532,-1,6,-1
2163632,4,9,3
2163732,0,1,-2
2163832,3,0,-6
2163932,1,1,5
2164032,0,5,-6
2164132,0,4,-6
2164232,0,7,-2
2164332,0,1,3
2164432,4,5,-5
2164532,5,3,4
2164632,2,6,-4
2164732,2,3,-2
2164832,1,3,-1
2164932,4,2,-1
2165032,2,8,-3
2165132,3,2,-2
2165232,6,9,-1
2165332,-4,2,1
2165432,1,-5,-1
2165532,3,8,2
2165632,3,-4,5
2165732,2,3,-1
2165832,0,0,-7
2165932,-1,4,-2
2166032,7,9,0
2166132,-1,5,3
2166232,0,4,-8
2166332,3,1,5
2166432,4,4,-5
2166535,18,20,-37
2166635,-5,17,-100
2166735,79,-40,-75
2166835,90,-129,205
2166935,160,140,199
2167032,425,522,349
2167134,6,-133,441
2167235,168,-1300,353
2167333,-564,307,256
2167434,-131,601,276
2167534,-28,345,337
2167633,-100,288,207
2167732,-144,-101,223
2167833,411,-175,195
2167932,196,-316,78
2168032,38,-186,-12
2168132,-17,-48,-32
2168232,95,-103,-32
2168332,-12,-33,-39
2168432,-27,15,-25
2168532,220,131,-11
2168632,145,137,90
2168732,-12,156,90
2168832,-1274,-1256,-26
2168932,479,-120,-94
2169032,-259,1542,-71
2169132,234,224,-51
2169232,219,970,-37
2169332,276,32,-37
2169432,127,-304,-68
2169536,25,-463,51
2169632,2,-651,40
2169732,-48,-516,-6
2169832,-125,-279,-30
2169935,-148,-114,-62
2170035,-150,36,-60
2170135,13,86,-63
2170234,-14,168,34
2170334,-74,376,2
2170435,-108,57,56
2170532,206,-264,66
2170632,-120,854,17
2170732,370,102,-35
2170832,-26,128,-55
2170932,-36,18,-48
2171032,-17,-60,-7
2171132,8,-166,-3
2171232,-102,-102,-3
2171332,-50,-147,-70
2171432,27,-58,-79
2171532,-52,83,-9
2171635,14,99,20
2171735,-81,242,-18
2171835,38,59,-42
2171935,191,-46,-66
2172035,104,53,-30
2172135,-9,-57,22
2172232,72,-5,31
2172332,49,-126,-72
2172432,-112,-443,9
2172532,-108,181,17
2172635,-18,168,29
2172734,19,219,60
2172834,-10,165,-34
2172934,158,-94,-32
2173034,124,-94,-34
2173134,-15,-62,-20
2173232,2,-97,16
2173335,63,-132,18
2173434,-64,-111,2
2173535,57,-103,15
2173632,71,-85,38
2173732,-113,-414,64
2173832,-48,-302,8
2173932,20,40,-75
2174032,42,18,-32
2174132,-26,5,78
2174232,449,357,465
2174334,655,680,697
2174434,1076,-189,-2818
2174534,-335,284,48
2174635,-86,114,-72
2174732,51,-68,5
2174834,-80,72,-68
2174935,-8,9,-9
2175035,42,-47,50
2175135,-20,22,-11
