timestamp,memTst.errCntW
131485,0
131585,0
131685,0
131785,0
131885,0
131985,0
132085,0
132185,0
132285,0
132385,0
132485,0
132585,0
132685,0
132785,0
132885,0
132985,0
133085,0
133185,0
133285,0
133385,0
133485,0
133585,0
133685,0
133785,0
133885,0
133985,0
134085,0
134185,0
134285,0
134385,0
134485,0
134585,0
134687,0
134787,0
134887,0
134986,0
135086,0
135186,0
135285,0
135385,0
135485,0
135585,0
135685,0
135785,0
135885,0
135985,0
136085,0
136185,0
136285,0
136385,0
136485,0
136585,0
136685,0
136785,0
136885,0
136985,0
137085,0
137185,0
137285,0
137385,0
137485,0
137585,0
137685,0
137785,0
137885,0
137985,0
138085,0
138185,0
138285,0
138385,0
138485,0
138585,0
138685,0
138785,0
138885,0
138985,0
139085,0
139185,0
139285,0
139385,0
139485,0
139585,0
139685,0
139785,0
139885,0
139985,0
140085,0
140185,0
140285,0
140385,0
140485,0
140585,0
140685,0
140785,0
140885,0
140985,0
141085,0
141185,0
141285,0
141385,0
141485,0
141585,0
141685,0
141785,0
141887,0
141987,0
142087,0
142185,0
142285,0
142387,0
142487,0
142586,0
142686,0
142785,0
142885,0
142985,0
143085,0
143185,0
143285,0
143385,0
143485,0
143585,0
143685,0
143785,0
143885,0
143985,0
144085,0
144185,0
144285,0
144385,0
144485,0
144585,0
144685,0
144785,0
144885,0
144985,0
145087,0
145185,0
145287,0
145387,0
145487,0
145587,0
145687,0
145787,0
145887,0
145987,0
146086,0
146186,0
146286,0
146385,0
146486,0
146586,0
146686,0
146786,0
146887,0
146986,0
147086,0
147186,0
147286,0
147386,0
147486,0
147586,0
147686,0
147786,0
147886,0
147986,0
148086,0
148186,0
148286,0
148386,0
148486,0
148586,0
148685,0
148785,0
148886,0
148986,0
149086,0
149186,0
149286,0
149386,0
149487,0
149587,0
149686,0
149787,0
149887,0
149987,0
150087,0
150187,0
150287,0
150385,0
150485,0
150586,0
150687,0
150785,0
150885,0
150985,0
151086,0
151187,0
151286,0
151386,0
151486,0
151585,0
151685,0
151785,0
151886,0
151985,0
152086,0
152185,0
152285,0
152385,0
152485,0
152585,0
152685,0
152785,0
152885,0
152985,0
153085,0
