timestamp,pid_rate.roll_outP,pid_rate.roll_outI,pid_rate.roll_outD,pid_rate.pitch_outP,pid_rate.pitch_outI,pid_rate.pitch_outD
218771,2273.503173828125,9.094013214111328,11367.5146484375,1884.3438720703125,7.537375450134277,9421.71875
218871,2203.687744140625,8.814751625061035,11018.4375,1968.896240234375,7.875585079193115,9844.48046875
218971,2191.033935546875,8.764135360717773,10955.16796875,2096.185302734375,8.384740829467773,10480.92578125
219071,2138.08740234375,8.552350044250488,10690.4375,2226.278076171875,8.905113220214844,11131.390625
219171,2122.12109375,8.488484382629395,10610.60546875,2093.702392578125,8.374809265136719,10468.5107421875
219271,2299.604736328125,9.198418617248535,11498.0224609375,2228.65625,8.91462516784668,11143.28125
219371,2180.402099609375,8.721609115600586,10902.009765625,2093.234375,8.372937202453613,10466.1708984375
219471,2104.596923828125,8.418387413024902,10522.9833984375,2146.193359375,8.584773063659668,10730.9658203125
219571,2204.52783203125,8.818111419677734,11022.638671875,2171.865478515625,8.68746280670166,10859.3271484375
219671,2116.18505859375,8.464740753173828,10580.923828125,1956.0379638671875,7.824152946472168,9780.189453125
219771,2092.733154296875,194.30648803710938,-189.27215576171875,2890.859375,244.39602661132812,596.9094848632812
219871,1197.936279296875,610.1197509765625,-1928.73583984375,3376.60595703125,861.259033203125,1079.7022705078125
219971,2890.60302734375,1021.1659545898438,691.5950927734375,2627.535888671875,1382.0928955078125,531.736572265625
220071,-9140.841796875,841.892333984375,-2129.497314453125,2446.734375,1884.37060546875,-2851.0771484375
220171,2729.119384765625,816.98046875,-2155.3515625,2150.9833984375,552.3723754882812,3204.81591796875
220271,5292.6865234375,38.70518493652344,4495.27734375,-1990.017333984375,730.5499877929688,-430.4891662597656
220371,-5940.49462890625,413.89654541015625,752.4823608398438,309.5431213378906,513.1337890625,-649.251953125
220471,3112.73486328125,247.63525390625,-246.4949951171875,-405.0985107421875,231.61570739746094,2365.8583984375
220571,-1802.8829345703125,49.478851318359375,1840.08935546875,-2498.072021484375,193.0487518310547,271.2261657714844
220671,-1009.9093627929688,296.96539306640625,-1358.6749267578125,-641.8218383789062,213.9881591796875,-1962.8387451171875
220771,1292.947998046875,167.47720336914062,-700.9976806640625,-181.2303009033203,57.45274353027344,-313.17352294921875
220871,363.6762390136719,18.979907989501953,164.77374267578125,-1462.22265625,-78.05018615722656,1179.4560546875
220971,-668.6148071289062,-88.49284362792969,-932.139404296875,-602.2208251953125,-190.8787078857422,53.56401062011719
221071,-697.5062866210938,-190.846435546875,-805.76025390625,-1130.1134033203125,-344.19775390625,-434.6596984863281
221171,-242.22576904296875,-263.70465087890625,-115.95486450195312,-428.9573974609375,-444.9315490722656,-625.1886596679688
221271,-656.9964599609375,-276.3853759765625,288.6056823730469,-229.93075561523438,-529.0809936523438,526.528076171875
221371,-528.1231689453125,-360.6937561035156,514.10791015625,-564.68505859375,-619.00634765625,92.86015319824219
221471,-2093.54443359375,-465.5768127441406,-763.0264282226562,-830.4891967773438,-664.9880981445312,-1437.7220458984375
221571,16.349077224731445,-376.5928039550781,-79.09654998779297,523.237060546875,-761.1337890625,528.9146118164062
221671,1371.6781005859375,-326.9826965332031,-788.410888671875,362.92828369140625,-786.8538818359375,-1274.57666015625
221771,2771.0,-360.2613220214844,865.058837890625,-774.7083740234375,-830.764892578125,658.3448486328125
221871,4461.25732421875,-203.99163818359375,272.88433837890625,-385.2656555175781,-790.12939453125,3.7333366870880127
221974,3780.222900390625,-222.81666564941406,-217.76913452148438,-59.0282096862793,-798.3189697265625,-1287.3997802734375
222074,-1481.603759765625,163.45338439941406,279.16845703125,27.235626220703125,-721.8942260742188,-939.7482299804688
222173,379.7091369628906,23.95580291748047,-574.6996459960938,535.3355712890625,-731.3853759765625,-656.8416748046875
222273,-1253.989990234375,-151.75262451171875,-389.73809814453125,650.167236328125,-983.1041870117188,868.0128173828125
222373,-3043.065673828125,-257.1607971191406,422.4824523925781,197.03961181640625,-938.1737060546875,-1200.9287109375
222473,-2260.002197265625,-155.46925354003906,-324.9168395996094,-706.5321044921875,-912.1572265625,991.178466796875
222573,-698.0659790039062,-193.60296630859375,-950.67138671875,248.83782958984375,-916.2060546875,-270.3505859375
222672,-1302.59130859375,-288.8731384277344,-322.8985900878906,-857.1032104492188,-981.302978515625,-1113.4609375
222772,-991.3090209960938,-375.44439697265625,1154.494873046875,-607.855712890625,-1079.0633544921875,-185.89317321777344
222872,-1512.8963623046875,-440.3357849121094,-259.3904724121094,-776.1217651367188,-1191.70849609375,-987.1297607421875
222972,-1227.55859375,-498.0960693359375,264.9569396972656,-1270.7493896484375,-1368.759033203125,76.69865417480469
223072,1047.515625,-433.733154296875,-339.6487121582031,-1112.7955322265625,-1494.0504150390625,-672.6407470703125
223171,811.055419921875,-437.8997802734375,569.4841918945312,-557.4705810546875,-1598.1590576171875,-561.6787109375
223271,-136.6646270751953,-388.28778076171875,1507.78759765625,-911.7974243164062,-1724.22705078125,218.33299255371094
223371,-348.4742736816406,-309.26593017578125,478.99420166015625,-532.5597534179688,-1840.2850341796875,-1605.9071044921875
223471,-685.0835571289062,-245.52342224121094,928.8525390625,-277.8291015625,-1951.2664794921875,2142.033203125
223571,-67.91895294189453,-247.15249633789062,524.77978515625,-798.0824584960938,-2052.823974609375,-756.1820068359375
223671,-296.940673828125,-203.78697204589844,735.1661376953125,-217.58326721191406,-2074.59619140625,567.1058349609375
223771,-931.1063232421875,-190.41033935546875,42.4402961730957,-26.292301177978516,-2164.56640625,-259.59002685546875
223871,-647.2754516601562,-168.6219940185547,162.50877380371094,-462.03399658203125,-2196.031494140625,1290.328369140625
223972,-425.0688781738281,-190.3887939453125,-593.5765380859375,-241.08279418945312,-2197.270263671875,-930.3321533203125
224071,-1979.3382568359375,-280.447265625,-564.13525390625,122.8585205078125,-2278.935302734375,-1221.5628662109375
224172,1159.2274169921875,-308.1828918457031,-367.1669921875,-786.1550903320312,-2342.93115234375,76.23970031738281
224271,375.79364013671875,-200.8669891357422,-561.3878173828125,648.074951171875,-2246.613037109375,-477.76995849609375
224371,-765.8257446289062,-64.2757568359375,-1663.0743408203125,1019.322265625,-2171.533203125,-189.06234741210938
224471,-637.669677734375,-135.0413818359375,-1229.2259521484375,1763.326416015625,-2219.30322265625,13.17858600616455
224571,-1249.421630859375,-463.4435729980469,1315.314697265625,-724.5816650390625,-2295.20556640625,755.3430786132812
224671,-1229.331787109375,-498.5240478515625,623.5921020507812,74.72789001464844,-2244.8681640625,-1156.971923828125
224771,-97.80740356445312,-495.17633056640625,456.6955261230469,209.15591430664062,-2231.542724609375,-918.2479858398438
224871,-333.3093566894531,-373.68634033203125,-41.37933349609375,911.10693359375,-2088.306640625,822.1530151367188
224971,715.6610717773438,-361.8160095214844,-639.4791259765625,266.4305419921875,-2001.067626953125,385.8764343261719
225071,-316.2748718261719,-528.0302734375,528.5250854492188,103.92697143554688,-1888.497802734375,151.82102966308594
225171,-182.22808837890625,-564.7057495117188,-109.36974334716797,95.30970764160156,-1791.27978515625,11.475682258605957
225271,525.140625,-583.582275390625,52.146907806396484,528.9361572265625,-1699.7886962890625,182.89414978027344
225371,599.569091796875,-538.1377563476562,10.818243026733398,254.74620056152344,-1587.755615234375,384.24969482421875
225471,1013.1406860351562,-380.658203125,-230.635986328125,-33.11163330078125,-1561.56640625,968.3340454101562
