timestamp,motor.m1,motor.m2,motor.m3,motor.m4
131500,0,0,0,0
131600,0,0,0,0
131700,0,0,0,0
131800,0,0,0,0
131900,0,0,0,0
132000,0,0,0,0
132100,0,0,0,0
132200,0,0,0,0
132300,0,0,0,0
132400,0,0,0,0
132500,33267,32033,36597,37215
132600,24804,39892,28810,48222
132700,37816,35924,38786,37214
132800,41137,41339,41169,39143
132900,48763,42635,51193,46609
133000,49562,41348,51766,41696
133100,49700,40552,48362,39482
133200,46793,41343,47689,36327
133300,44893,35399,44973,38071
133400,41583,34109,42023,35369
133500,41619,35403,41497,33765
133600,40577,35285,40801,33377
133700,42723,36589,41375,34193
133800,41921,36519,42889,35727
133900,41710,35166,40760,35368
134000,40960,36288,41576,34180
134100,42871,38185,43013,35291
134200,46526,46024,47518,34908
134300,45350,39068,43956,35314
134400,43672,34574,42258,36516
134500,46402,48176,46760,28806
134600,45671,36353,44807,38021
134700,44097,34699,45281,39127
134800,46051,44641,40215,29921
134900,42561,33105,39681,37845
135000,38630,36558,43832,36912
135100,46508,38760,46014,42082
135200,45182,36838,46502,39626
135300,42418,37854,43270,34362
135400,42231,38883,42215,33319
135500,41755,37979,42479,34851
135600,42676,39960,41740,32896
135700,43043,40313,43485,34507
135800,43948,40262,44618,35140
135900,44191,41043,46679,35479
136000,43609,38393,45965,36057
136103,43613,39047,45127,35281
136200,42798,40116,44308,35750
136302,43133,39039,43871,36137
136402,43055,38603,44155,35931
136502,43297,36653,44001,37429
136600,42606,39476,44652,34674
136700,41992,38768,45636,35324
136800,42201,38915,44241,34027
136900,44050,40008,46890,37148
137000,44996,40694,48350,37624
137100,40765,42087,51271,32037
137200,38977,29475,38281,32855
137300,42135,35965,41859,32969
137400,42744,40030,45780,34138
137500,44100,38972,46308,36420
137600,44679,37897,46943,38513
137700,44115,38707,44271,34291
137800,42371,36169,43377,34255
137900,42533,34689,42989,35193
138000,43623,38031,46021,35801
138100,44357,37917,45909,36893
138200,44207,36109,44927,36961
138300,45482,38408,45254,36848
138400,43652,36670,43982,35820
138500,43772,36612,43408,35536
138600,45154,36292,41760,35814
138700,44421,36349,43589,36101
138800,39714,32804,39958,32024
138900,36101,29089,35903,27671
139000,37062,28806,35898,28418
139100,36507,29665,34883,29473
139200,40752,34608,38552,33036
139300,47320,40532,45242,35742
139400,52033,40199,47431,39617
139500,0,0,0,0
139600,0,0,0,0
139700,0,0,0,0
139800,0,0,0,0
139900,0,0,0,0
140000,0,0,0,0
140100,0,0,0,0
140200,0,0,0,0
140300,0,0,0,0
140400,0,0,0,0
140500,0,0,0,0
140600,0,0,0,0
140700,0,0,0,0
140800,0,0,0,0
140900,0,0,0,0
141000,0,0,0,0
141100,0,0,0,0
141200,0,0,0,0
141300,0,0,0,0
141400,0,0,0,0
141500,0,0,0,0
141600,0,0,0,0
141700,0,0,0,0
141800,0,0,0,0
141900,0,0,0,0
142000,0,0,0,0
142100,0,0,0,0
142200,0,0,0,0
142300,0,0,0,0
142400,0,0,0,0
142500,0,0,0,0
142600,0,0,0,0
142700,0,0,0,0
142800,0,0,0,0
142900,0,0,0,0
143000,0,0,0,0
143100,0,0,0,0
143200,0,0,0,0
143300,0,0,0,0
143400,0,0,0,0
143500,0,0,0,0
143600,0,0,0,0
143700,0,0,0,0
143800,0,0,0,0
143900,0,0,0,0
144003,0,0,0,0
144100,0,0,0,0
144200,0,0,0,0
144302,0,0,0,0
144402,0,0,0,0
144502,35534,34774,38232,38480
144602,33222,32642,41642,37498
144701,33935,32543,37719,40287
144801,35430,36770,36698,33006
144900,37036,38868,44898,35418
145000,48395,28985,36057,45351
145100,41253,37505,44919,34451
145200,49700,46856,44806,32102
145300,46523,33705,47003,40265
145400,42975,41199,48807,35911
145500,45078,40138,53016,40136
145600,45526,36772,49052,40714
145700,46911,40271,44781,35185
145800,41722,38854,48738,36750
145900,40389,38009,46563,34703
146000,40151,35277,43285,35015
146100,41124,35106,41696,35038
146200,40254,37254,45386,35530
146300,40374,37144,44522,35280
146400,43235,36129,42727,37177
146500,40282,37112,47366,36816
146600,43395,38477,44103,35101
146700,46197,36615,41867,38637
146800,42850,38176,42608,35926
146900,45009,38823,45877,38535
147000,43879,37257,44643,37977
147100,43328,38176,43506,35302
147200,41530,38626,41974,35078
147300,43097,39913,42405,36133
147400,42696,38532,41228,36208
147500,41197,38119,42545,35387
147600,43316,40066,44284,37822
