timestamp,posCtrlIndi.posRef_x,posCtrlIndi.posRef_y,posCtrlIndi.posRef_z,posCtrlIndi.velS_x,posCtrlIndi.velS_y,posCtrlIndi.velS_z
218806,0.0,0.0,0.0,0.0,0.0,0.0
218908,0.0,0.0,0.0,0.0,0.0,0.0
219008,0.0,0.0,0.0,0.0,0.0,0.0
219108,0.0,0.0,0.0,0.0,0.0,0.0
219208,0.0,0.0,0.0,0.0,0.0,0.0
219308,0.0,0.0,0.0,0.0,0.0,0.0
219407,0.0,0.0,0.0,0.0,0.0,0.0
219507,0.0,0.0,0.0,0.0,0.0,0.0
219608,0.0,0.0,0.0,0.0,0.0,0.0
219707,0.0,0.0,0.0,0.0,0.0,0.0
219807,0.0,0.0,0.0,0.0,0.0,0.0
219907,0.0,0.0,0.0,0.0,0.0,0.0
220006,0.0,0.0,0.0,0.0,0.0,0.0
220106,0.0,0.0,0.0,0.0,0.0,0.0
220206,0.0,0.0,0.0,0.0,0.0,0.0
220306,0.0,0.0,0.0,0.0,0.0,0.0
220407,0.0,0.0,0.0,0.0,0.0,0.0
220506,0.0,0.0,0.0,0.0,0.0,0.0
220606,0.0,0.0,0.0,0.0,0.0,0.0
220706,0.0,0.0,0.0,0.0,0.0,0.0
220806,0.0,0.0,0.0,0.0,0.0,0.0
220906,0.0,0.0,0.0,0.0,0.0,0.0
221006,0.0,0.0,0.0,0.0,0.0,0.0
221106,0.0,0.0,0.0,0.0,0.0,0.0
221206,0.0,0.0,0.0,0.0,0.0,0.0
221306,0.0,0.0,0.0,0.0,0.0,0.0
221406,0.0,0.0,0.0,0.0,0.0,0.0
221506,0.0,0.0,0.0,0.0,0.0,0.0
221606,0.0,0.0,0.0,0.0,0.0,0.0
221706,0.0,0.0,0.0,0.0,0.0,0.0
221806,0.0,0.0,0.0,0.0,0.0,0.0
221906,0.0,0.0,0.0,0.0,0.0,0.0
222006,0.0,0.0,0.0,0.0,0.0,0.0
222106,0.0,0.0,0.0,0.0,0.0,0.0
222206,0.0,0.0,0.0,0.0,0.0,0.0
222306,0.0,0.0,0.0,0.0,0.0,0.0
222406,0.0,0.0,0.0,0.0,0.0,0.0
222506,0.0,0.0,0.0,0.0,0.0,0.0
222606,0.0,0.0,0.0,0.0,0.0,0.0
222706,0.0,0.0,0.0,0.0,0.0,0.0
222806,0.0,0.0,0.0,0.0,0.0,0.0
222906,0.0,0.0,0.0,0.0,0.0,0.0
223006,0.0,0.0,0.0,0.0,0.0,0.0
223106,0.0,0.0,0.0,0.0,0.0,0.0
223206,0.0,0.0,0.0,0.0,0.0,0.0
223306,0.0,0.0,0.0,0.0,0.0,0.0
223406,0.0,0.0,0.0,0.0,0.0,0.0
223506,0.0,0.0,0.0,0.0,0.0,0.0
223608,0.0,0.0,0.0,0.0,0.0,0.0
223708,0.0,0.0,0.0,0.0,0.0,0.0
223808,0.0,0.0,0.0,0.0,0.0,0.0
223908,0.0,0.0,0.0,0.0,0.0,0.0
224007,0.0,0.0,0.0,0.0,0.0,0.0
224107,0.0,0.0,0.0,0.0,0.0,0.0
224206,0.0,0.0,0.0,0.0,0.0,0.0
224306,0.0,0.0,0.0,0.0,0.0,0.0
224406,0.0,0.0,0.0,0.0,0.0,0.0
224506,0.0,0.0,0.0,0.0,0.0,0.0
224606,0.0,0.0,0.0,0.0,0.0,0.0
224706,0.0,0.0,0.0,0.0,0.0,0.0
224806,0.0,0.0,0.0,0.0,0.0,0.0
224906,0.0,0.0,0.0,0.0,0.0,0.0
225006,0.0,0.0,0.0,0.0,0.0,0.0
225106,0.0,0.0,0.0,0.0,0.0,0.0
225206,0.0,0.0,0.0,0.0,0.0,0.0
225306,0.0,0.0,0.0,0.0,0.0,0.0
225406,0.0,0.0,0.0,0.0,0.0,0.0
225508,0.0,0.0,0.0,0.0,0.0,0.0
225608,0.0,0.0,0.0,0.0,0.0,0.0
225706,0.0,0.0,0.0,0.0,0.0,0.0
225806,0.0,0.0,0.0,0.0,0.0,0.0
225907,0.0,0.0,0.0,0.0,0.0,0.0
226007,0.0,0.0,0.0,0.0,0.0,0.0
226107,0.0,0.0,0.0,0.0,0.0,0.0
226206,0.0,0.0,0.0,0.0,0.0,0.0
226306,0.0,0.0,0.0,0.0,0.0,0.0
226406,0.0,0.0,0.0,0.0,0.0,0.0
226506,0.0,0.0,0.0,0.0,0.0,0.0
226606,0.0,0.0,0.0,0.0,0.0,0.0
226706,0.0,0.0,0.0,0.0,0.0,0.0
226806,0.0,0.0,0.0,0.0,0.0,0.0
226906,0.0,0.0,0.0,0.0,0.0,0.0
227006,0.0,0.0,0.0,0.0,0.0,0.0
227106,0.0,0.0,0.0,0.0,0.0,0.0
227206,0.0,0.0,0.0,0.0,0.0,0.0
227306,0.0,0.0,0.0,0.0,0.0,0.0
227406,0.0,0.0,0.0,0.0,0.0,0.0
227506,0.0,0.0,0.0,0.0,0.0,0.0
227606,0.0,0.0,0.0,0.0,0.0,0.0
227706,0.0,0.0,0.0,0.0,0.0,0.0
227806,0.0,0.0,0.0,0.0,0.0,0.0
227906,0.0,0.0,0.0,0.0,0.0,0.0
228006,0.0,0.0,0.0,0.0,0.0,0.0
228106,0.0,0.0,0.0,0.0,0.0,0.0
228206,0.0,0.0,0.0,0.0,0.0,0.0
228306,0.0,0.0,0.0,0.0,0.0,0.0
228406,0.0,0.0,0.0,0.0,0.0,0.0
228506,0.0,0.0,0.0,0.0,0.0,0.0
228606,0.0,0.0,0.0,0.0,0.0,0.0
228706,0.0,0.0,0.0,0.0,0.0,0.0
228806,0.0,0.0,0.0,0.0,0.0,0.0
228906,0.0,0.0,0.0,0.0,0.0,0.0
229006,0.0,0.0,0.0,0.0,0.0,0.0
229106,0.0,0.0,0.0,0.0,0.0,0.0
229206,0.0,0.0,0.0,0.0,0.0,0.0
229306,0.0,0.0,0.0,0.0,0.0,0.0
229406,0.0,0.0,0.0,0.0,0.0,0.0
229506,0.0,0.0,0.0,0.0,0.0,0.0
229606,0.0,0.0,0.0,0.0,0.0,0.0
229706,0.0,0.0,0.0,0.0,0.0,0.0
229806,0.0,0.0,0.0,0.0,0.0,0.0
229906,0.0,0.0,0.0,0.0,0.0,0.0
230006,0.0,0.0,0.0,0.0,0.0,0.0
230106,0.0,0.0,0.0,0.0,0.0,0.0
230206,0.0,0.0,0.0,0.0,0.0,0.0
230306,0.0,0.0,0.0,0.0,0.0,0.0
230406,0.0,0.0,0.0,0.0,0.0,0.0
230506,0.0,0.0,0.0,0.0,0.0,0.0
230606,0.0,0.0,0.0,0.0,0.0,0.0
230706,0.0,0.0,0.0,0.0,0.0,0.0
230806,0.0,0.0,0.0,0.0,0.0,0.0
230906,0.0,0.0,0.0,0.0,0.0,0.0
231006,0.0,0.0,0.0,0.0,0.0,0.0
231106,0.0,0.0,0.0,0.0,0.0,0.0
231206,0.0,0.0,0.0,0.0,0.0,0.0
231306,0.0,0.0,0.0,0.0,0.0,0.0
231406,0.0,0.0,0.0,0.0,0.0,0.0
231506,0.0,0.0,0.0,0.0,0.0,0.0
231608,0.0,0.0,0.0,0.0,0.0,0.0
231708,0.0,0.0,0.0,0.0,0.0,0.0
231808,0.0,0.0,0.0,0.0,0.0,0.0
231908,0.0,0.0,0.0,0.0,0.0,0.0
232007,0.0,0.0,0.0,0.0,0.0,0.0
232107,0.0,0.0,0.0,0.0,0.0,0.0
232207,0.0,0.0,0.0,0.0,0.0,0.0
232306,0.0,0.0,0.0,0.0,0.0,0.0
232406,0.0,0.0,0.0,0.0,0.0,0.0
232506,0.0,0.0,0.0,0.0,0.0,0.0
232606,0.0,0.0,0.0,0.0,0.0,0.0
232706,0.0,0.0,0.0,0.0,0.0,0.0
232806,0.0,0.0,0.0,0.0,0.0,0.0
232906,0.0,0.0,0.0,0.0,0.0,0.0
233006,0.0,0.0,0.0,0.0,0.0,0.0
233106,0.0,0.0,0.0,0.0,0.0,0.0
233206,0.0,0.0,0.0,0.0,0.0,0.0
233306,0.0,0.0,0.0,0.0,0.0,0.0
233406,0.0,0.0,0.0,0.0,0.0,0.0
233506,0.0,0.0,0.0,0.0,0.0,0.0
233606,0.0,0.0,0.0,0.0,0.0,0.0
233706,0.0,0.0,0.0,0.0,0.0,0.0
233806,0.0,0.0,0.0,0.0,0.0,0.0
233906,0.0,0.0,0.0,0.0,0.0,0.0
234006,0.0,0.0,0.0,0.0,0.0,0.0
234106,0.0,0.0,0.0,0.0,0.0,0.0
234206,0.0,0.0,0.0,0.0,0.0,0.0
234306,0.0,0.0,0.0,0.0,0.0,0.0
234406,0.0,0.0,0.0,0.0,0.0,0.0
234506,0.0,0.0,0.0,0.0,0.0,0.0
234606,0.0,0.0,0.0,0.0,0.0,0.0
234706,0.0,0.0,0.0,0.0,0.0,0.0
234806,0.0,0.0,0.0,0.0,0.0,0.0
234906,0.0,0.0,0.0,0.0,0.0,0.0
235006,0.0,0.0,0.0,0.0,0.0,0.0
235106,0.0,0.0,0.0,0.0,0.0,0.0
235206,0.0,0.0,0.0,0.0,0.0,0.0
235306,0.0,0.0,0.0,0.0,0.0,0.0
235406,0.0,0.0,0.0,0.0,0.0,0.0
235506,0.0,0.0,0.0,0.0,0.0,0.0
235606,0.0,0.0,0.0,0.0,0.0,0.0
235706,0.0,0.0,0.0,0.0,0.0,0.0
235806,0.0,0.0,0.0,0.0,0.0,0.0
235906,0.0,0.0,0.0,0.0,0.0,0.0
236006,0.0,0.0,0.0,0.0,0.0,0.0
236106,0.0,0.0,0.0,0.0,0.0,0.0
236206,0.0,0.0,0.0,0.0,0.0,0.0
236306,0.0,0.0,0.0,0.0,0.0,0.0
236406,0.0,0.0,0.0,0.0,0.0,0.0
236506,0.0,0.0,0.0,0.0,0.0,0.0
236606,0.0,0.0,0.0,0.0,0.0,0.0
236706,0.0,0.0,0.0,0.0,0.0,0.0
236806,0.0,0.0,0.0,0.0,0.0,0.0
236906,0.0,0.0,0.0,0.0,0.0,0.0
237006,0.0,0.0,0.0,0.0,0.0,0.0
237106,0.0,0.0,0.0,0.0,0.0,0.0
237206,0.0,0.0,0.0,0.0,0.0,0.0
237306,0.0,0.0,0.0,0.0,0.0,0.0
237406,0.0,0.0,0.0,0.0,0.0,0.0
237506,0.0,0.0,0.0,0.0,0.0,0.0
237606,0.0,0.0,0.0,0.0,0.0,0.0
237706,0.0,0.0,0.0,0.0,0.0,0.0
237806,0.0,0.0,0.0,0.0,0.0,0.0
237906,0.0,0.0,0.0,0.0,0.0,0.0
238006,0.0,0.0,0.0,0.0,0.0,0.0
238106,0.0,0.0,0.0,0.0,0.0,0.0
238206,0.0,0.0,0.0,0.0,0.0,0.0
238306,0.0,0.0,0.0,0.0,0.0,0.0
238406,0.0,0.0,0.0,0.0,0.0,0.0
238506,0.0,0.0,0.0,0.0,0.0,0.0
238606,0.0,0.0,0.0,0.0,0.0,0.0
238706,0.0,0.0,0.0,0.0,0.0,0.0
238806,0.0,0.0,0.0,0.0,0.0,0.0
238906,0.0,0.0,0.0,0.0,0.0,0.0
239006,0.0,0.0,0.0,0.0,0.0,0.0
239106,0.0,0.0,0.0,0.0,0.0,0.0
239206,0.0,0.0,0.0,0.0,0.0,0.0
239306,0.0,0.0,0.0,0.0,0.0,0.0
239406,0.0,0.0,0.0,0.0,0.0,0.0
239506,0.0,0.0,0.0,0.0,0.0,0.0
239606,0.0,0.0,0.0,0.0,0.0,0.0
239706,0.0,0.0,0.0,0.0,0.0,0.0
239806,0.0,0.0,0.0,0.0,0.0,0.0
239906,0.0,0.0,0.0,0.0,0.0,0.0
240006,0.0,0.0,0.0,0.0,0.0,0.0
240106,0.0,0.0,0.0,0.0,0.0,0.0
240206,0.0,0.0,0.0,0.0,0.0,0.0
240306,0.0,0.0,0.0,0.0,0.0,0.0
240406,0.0,0.0,0.0,0.0,0.0,0.0
