timestamp,locSrvZ.tick
131476,0
131576,0
131676,0
131776,0
131876,0
131976,0
132076,0
132176,0
132276,0
132376,0
132476,0
132576,0
132676,0
132776,0
132876,0
132978,0
133078,0
133177,0
133277,0
133377,0
133477,0
133576,0
133678,0
133778,0
133876,0
133976,0
134076,0
134177,0
134276,0
134376,0
134476,0
134576,0
134676,0
134776,0
134876,0
134976,0
135076,0
135176,0
135276,0
135376,0
135476,0
135576,0
135676,0
135776,0
135876,0
135976,0
136076,0
136176,0
136276,0
136376,0
136476,0
136576,0
136676,0
136776,0
136876,0
136976,0
137076,0
137176,0
137279,0
137379,0
137478,0
137578,0
137678,0
137777,0
137877,0
137977,0
138076,0
138176,0
138276,0
138376,0
138476,0
138576,0
138676,0
138776,0
138876,0
138976,0
139076,0
139176,0
139276,0
139376,0
139476,0
139576,0
139678,0
139778,0
139876,0
139976,0
140076,0
140177,0
140276,0
140376,0
140476,0
140576,0
140676,0
140776,0
140876,0
140976,0
141076,0
141176,0
141276,0
141376,0
141476,0
141576,0
141676,0
141776,0
141876,0
141976,0
142076,0
142176,0
142276,0
142376,0
142476,0
142576,0
142676,0
142776,0
142876,0
142976,0
143076,0
143176,0
143276,0
143376,0
143476,0
143576,0
143676,0
143776,0
143876,0
143976,0
144076,0
144176,0
144276,0
144376,0
144476,0
144576,0
144676,0
144776,0
144876,0
144976,0
145076,0
145176,0
145276,0
145376,0
145476,0
145576,0
145678,0
145778,0
145878,0
145977,0
146077,0
146177,0
146277,0
146376,0
146476,0
146576,0
146676,0
146776,0
146876,0
146976,0
147076,0
147176,0
147276,0
147376,0
147476,0
147576,0
147676,0
147776,0
147876,0
147976,0
148076,0
148176,0
148276,0
148376,0
148476,0
148576,0
148676,0
148776,0
148876,0
148976,0
149076,0
149176,0
149276,0
149376,0
149476,0
149576,0
149676,0
149776,0
149876,0
149976,0
150076,0
150176,0
150276,0
150376,0
150476,0
150576,0
150676,0
150776,0
150876,0
150976,0
151076,0
151176,0
151276,0
151376,0
151476,0
151576,0
151676,0
151776,0
151876,0
151976,0
152076,0
152176,0
152276,0
152376,0
152476,0
152576,0
152676,0
152776,0
152876,0
152976,0
153076,0
