timestamp,outlierf.accLev,outlierf.errD
131507,0.0,0.0
131607,0.0,0.0
131707,0.0,0.0
131807,0.0,0.0
131907,0.0,0.0
132007,0.0,0.0
132107,0.0,0.0
132207,0.0,0.0
132307,0.0,0.0
132407,0.0,0.0
132507,0.0,0.0
132607,0.0,0.0
132707,0.0,0.0
132807,0.0,0.0
132907,0.0,0.0
133007,0.0,0.0
133107,0.0,0.0
133207,0.0,0.0
133307,0.0,0.0
133407,0.0,0.0
133507,0.0,0.0
133607,0.0,0.0
133707,0.0,0.0
133809,0.0,0.0
133909,0.0,0.0
134009,0.0,0.0
134107,0.0,0.0
134207,0.0,0.0
134307,0.0,0.0
134408,0.0,0.0
134508,0.0,0.0
134607,0.0,0.0
134707,0.0,0.0
134807,0.0,0.0
134907,0.0,0.0
135007,0.0,0.0
135107,0.0,0.0
135207,0.0,0.0
135307,0.0,0.0
135407,0.0,0.0
135507,0.0,0.0
135607,0.0,0.0
135707,0.0,0.0
135807,0.0,0.0
135907,0.0,0.0
136007,0.0,0.0
136107,0.0,0.0
136207,0.0,0.0
136307,0.0,0.0
136407,0.0,0.0
136507,0.0,0.0
136607,0.0,0.0
136707,0.0,0.0
136807,0.0,0.0
136907,0.0,0.0
137007,0.0,0.0
137107,0.0,0.0
137207,0.0,0.0
137307,0.0,0.0
137407,0.0,0.0
137507,0.0,0.0
137607,0.0,0.0
137707,0.0,0.0
137807,0.0,0.0
137907,0.0,0.0
138009,0.0,0.0
138109,0.0,0.0
138209,0.0,0.0
138309,0.0,0.0
138409,0.0,0.0
138507,0.0,0.0
138607,0.0,0.0
138709,0.0,0.0
138809,0.0,0.0
138909,0.0,0.0
139009,0.0,0.0
139109,0.0,0.0
139209,0.0,0.0
139309,0.0,0.0
139409,0.0,0.0
139509,0.0,0.0
139609,0.0,0.0
139707,0.0,0.0
139807,0.0,0.0
139909,0.0,0.0
140009,0.0,0.0
140109,0.0,0.0
140209,0.0,0.0
140309,0.0,0.0
140409,0.0,0.0
140509,0.0,0.0
140609,0.0,0.0
140709,0.0,0.0
140809,0.0,0.0
140909,0.0,0.0
141009,0.0,0.0
141110,0.0,0.0
141209,0.0,0.0
141308,0.0,0.0
141409,0.0,0.0
141507,0.0,0.0
141607,0.0,0.0
141709,0.0,0.0
141808,0.0,0.0
141908,0.0,0.0
142008,0.0,0.0
142107,0.0,0.0
142208,0.0,0.0
142307,0.0,0.0
142407,0.0,0.0
142507,0.0,0.0
142607,0.0,0.0
142707,0.0,0.0
142807,0.0,0.0
142907,0.0,0.0
143007,0.0,0.0
143107,0.0,0.0
143207,0.0,0.0
143307,0.0,0.0
143407,0.0,0.0
143507,0.0,0.0
143607,0.0,0.0
143707,0.0,0.0
143807,0.0,0.0
143907,0.0,0.0
144007,0.0,0.0
144107,0.0,0.0
144207,0.0,0.0
144309,0.0,0.0
144409,0.0,0.0
144509,0.0,0.0
144609,0.0,0.0
144709,0.0,0.0
144809,0.0,0.0
144908,0.0,0.0
145008,0.0,0.0
145108,0.0,0.0
145207,0.0,0.0
145307,0.0,0.0
145407,0.0,0.0
145507,0.0,0.0
145607,0.0,0.0
145707,0.0,0.0
145807,0.0,0.0
145907,0.0,0.0
146007,0.0,0.0
146107,0.0,0.0
146207,0.0,0.0
146307,0.0,0.0
146407,0.0,0.0
146507,0.0,0.0
146607,0.0,0.0
146707,0.0,0.0
146807,0.0,0.0
146907,0.0,0.0
147007,0.0,0.0
147107,0.0,0.0
147207,0.0,0.0
147307,0.0,0.0
147407,0.0,0.0
147507,0.0,0.0
147607,0.0,0.0
147707,0.0,0.0
147807,0.0,0.0
147907,0.0,0.0
148007,0.0,0.0
148107,0.0,0.0
148207,0.0,0.0
148307,0.0,0.0
148407,0.0,0.0
148507,0.0,0.0
148607,0.0,0.0
148707,0.0,0.0
148807,0.0,0.0
148907,0.0,0.0
149007,0.0,0.0
149107,0.0,0.0
149207,0.0,0.0
149307,0.0,0.0
149407,0.0,0.0
149507,0.0,0.0
149607,0.0,0.0
149707,0.0,0.0
149807,0.0,0.0
149907,0.0,0.0
150007,0.0,0.0
150107,0.0,0.0
150207,0.0,0.0
150307,0.0,0.0
150407,0.0,0.0
150507,0.0,0.0
150607,0.0,0.0
150707,0.0,0.0
150807,0.0,0.0
150907,0.0,0.0
151007,0.0,0.0
151107,0.0,0.0
151207,0.0,0.0
151307,0.0,0.0
151407,0.0,0.0
151507,0.0,0.0
151607,0.0,0.0
151707,0.0,0.0
151807,0.0,0.0
151907,0.0,0.0
152007,0.0,0.0
152107,0.0,0.0
152207,0.0,0.0
152307,0.0,0.0
152407,0.0,0.0
152507,0.0,0.0
152607,0.0,0.0
152707,0.0,0.0
152807,0.0,0.0
152907,0.0,0.0
153007,0.0,0.0
153107,0.0,0.0
