timestamp,health.motorVarXM1,health.motorVarYM1,health.motorVarXM2,health.motorVarYM2,health.motorVarXM3,health.motorVarYM3
2153536,0.0,0.0,0.0,0.0,0.0,0.0
2153636,0.0,0.0,0.0,0.0,0.0,0.0
2153736,0.0,0.0,0.0,0.0,0.0,0.0
2153836,0.0,0.0,0.0,0.0,0.0,0.0
2153936,0.0,0.0,0.0,0.0,0.0,0.0
2154036,0.0,0.0,0.0,0.0,0.0,0.0
2154136,0.0,0.0,0.0,0.0,0.0,0.0
2154236,0.0,0.0,0.0,0.0,0.0,0.0
2154336,0.0,0.0,0.0,0.0,0.0,0.0
2154436,0.0,0.0,0.0,0.0,0.0,0.0
2154536,0.0,0.0,0.0,0.0,0.0,0.0
2154636,0.0,0.0,0.0,0.0,0.0,0.0
2154736,0.0,0.0,0.0,0.0,0.0,0.0
2154836,0.0,0.0,0.0,0.0,0.0,0.0
2154936,0.0,0.0,0.0,0.0,0.0,0.0
2155036,0.0,0.0,0.0,0.0,0.0,0.0
2155136,0.0,0.0,0.0,0.0,0.0,0.0
2155236,0.0,0.0,0.0,0.0,0.0,0.0
2155336,0.0,0.0,0.0,0.0,0.0,0.0
2155436,0.0,0.0,0.0,0.0,0.0,0.0
2155536,0.0,0.0,0.0,0.0,0.0,0.0
2155636,0.0,0.0,0.0,0.0,0.0,0.0
2155736,0.0,0.0,0.0,0.0,0.0,0.0
2155836,0.0,0.0,0.0,0.0,0.0,0.0
2155936,0.0,0.0,0.0,0.0,0.0,0.0
2156036,0.0,0.0,0.0,0.0,0.0,0.0
2156136,0.0,0.0,0.0,0.0,0.0,0.0
2156236,0.0,0.0,0.0,0.0,0.0,0.0
2156336,0.0,0.0,0.0,0.0,0.0,0.0
2156436,0.0,0.0,0.0,0.0,0.0,0.0
2156536,0.0,0.0,0.0,0.0,0.0,0.0
2156636,0.0,0.0,0.0,0.0,0.0,0.0
2156736,0.0,0.0,0.0,0.0,0.0,0.0
2156836,0.0,0.0,0.0,0.0,0.0,0.0
2156936,0.0,0.0,0.0,0.0,0.0,0.0
2157036,0.0,0.0,0.0,0.0,0.0,0.0
2157136,0.0,0.0,0.0,0.0,0.0,0.0
2157236,0.0,0.0,0.0,0.0,0.0,0.0
2157336,0.0,0.0,0.0,0.0,0.0,0.0
2157436,0.0,0.0,0.0,0.0,0.0,0.0
