timestamp,posCtrlIndi.phi_tilde,posCtrlIndi.theta_tilde,posCtrlIndi.T_tilde,posCtrlIndi.T_inner,posCtrlIndi.T_inner_f,posCtrlIndi.T_incremented
218829,0.0,0.0,0.0,0.0,0.0,0.0
218929,0.0,0.0,0.0,0.0,0.0,0.0
219029,0.0,0.0,0.0,0.0,0.0,0.0
219129,0.0,0.0,0.0,0.0,0.0,0.0
219229,0.0,0.0,0.0,0.0,0.0,0.0
219329,0.0,0.0,0.0,0.0,0.0,0.0
219429,0.0,0.0,0.0,0.0,0.0,0.0
219529,0.0,0.0,0.0,0.0,0.0,0.0
219629,0.0,0.0,0.0,0.0,0.0,0.0
219729,0.0,0.0,0.0,0.0,0.0,0.0
219829,0.0,0.0,0.0,0.0,0.0,0.0
219929,0.0,0.0,0.0,0.0,0.0,0.0
220029,0.0,0.0,0.0,0.0,0.0,0.0
220129,0.0,0.0,0.0,0.0,0.0,0.0
220229,0.0,0.0,0.0,0.0,0.0,0.0
220329,0.0,0.0,0.0,0.0,0.0,0.0
220429,0.0,0.0,0.0,0.0,0.0,0.0
220529,0.0,0.0,0.0,0.0,0.0,0.0
220629,0.0,0.0,0.0,0.0,0.0,0.0
220729,0.0,0.0,0.0,0.0,0.0,0.0
220829,0.0,0.0,0.0,0.0,0.0,0.0
220929,0.0,0.0,0.0,0.0,0.0,0.0
221029,0.0,0.0,0.0,0.0,0.0,0.0
221129,0.0,0.0,0.0,0.0,0.0,0.0
221229,0.0,0.0,0.0,0.0,0.0,0.0
221329,0.0,0.0,0.0,0.0,0.0,0.0
221429,0.0,0.0,0.0,0.0,0.0,0.0
221529,0.0,0.0,0.0,0.0,0.0,0.0
221629,0.0,0.0,0.0,0.0,0.0,0.0
221729,0.0,0.0,0.0,0.0,0.0,0.0
221829,0.0,0.0,0.0,0.0,0.0,0.0
221929,0.0,0.0,0.0,0.0,0.0,0.0
222029,0.0,0.0,0.0,0.0,0.0,0.0
222129,0.0,0.0,0.0,0.0,0.0,0.0
222229,0.0,0.0,0.0,0.0,0.0,0.0
222329,0.0,0.0,0.0,0.0,0.0,0.0
222429,0.0,0.0,0.0,0.0,0.0,0.0
222529,0.0,0.0,0.0,0.0,0.0,0.0
222629,0.0,0.0,0.0,0.0,0.0,0.0
222729,0.0,0.0,0.0,0.0,0.0,0.0
222832,0.0,0.0,0.0,0.0,0.0,0.0
222932,0.0,0.0,0.0,0.0,0.0,0.0
223031,0.0,0.0,0.0,0.0,0.0,0.0
223130,0.0,0.0,0.0,0.0,0.0,0.0
223230,0.0,0.0,0.0,0.0,0.0,0.0
223330,0.0,0.0,0.0,0.0,0.0,0.0
223429,0.0,0.0,0.0,0.0,0.0,0.0
223529,0.0,0.0,0.0,0.0,0.0,0.0
223629,0.0,0.0,0.0,0.0,0.0,0.0
223729,0.0,0.0,0.0,0.0,0.0,0.0
223829,0.0,0.0,0.0,0.0,0.0,0.0
223929,0.0,0.0,0.0,0.0,0.0,0.0
224029,0.0,0.0,0.0,0.0,0.0,0.0
224129,0.0,0.0,0.0,0.0,0.0,0.0
224229,0.0,0.0,0.0,0.0,0.0,0.0
224329,0.0,0.0,0.0,0.0,0.0,0.0
224429,0.0,0.0,0.0,0.0,0.0,0.0
224529,0.0,0.0,0.0,0.0,0.0,0.0
224629,0.0,0.0,0.0,0.0,0.0,0.0
224729,0.0,0.0,0.0,0.0,0.0,0.0
224829,0.0,0.0,0.0,0.0,0.0,0.0
224929,0.0,0.0,0.0,0.0,0.0,0.0
225029,0.0,0.0,0.0,0.0,0.0,0.0
225129,0.0,0.0,0.0,0.0,0.0,0.0
225229,0.0,0.0,0.0,0.0,0.0,0.0
225329,0.0,0.0,0.0,0.0,0.0,0.0
225429,0.0,0.0,0.0,0.0,0.0,0.0
225529,0.0,0.0,0.0,0.0,0.0,0.0
225629,0.0,0.0,0.0,0.0,0.0,0.0
225729,0.0,0.0,0.0,0.0,0.0,0.0
225829,0.0,0.0,0.0,0.0,0.0,0.0
225929,0.0,0.0,0.0,0.0,0.0,0.0
226029,0.0,0.0,0.0,0.0,0.0,0.0
226129,0.0,0.0,0.0,0.0,0.0,0.0
226229,0.0,0.0,0.0,0.0,0.0,0.0
226329,0.0,0.0,0.0,0.0,0.0,0.0
226429,0.0,0.0,0.0,0.0,0.0,0.0
226529,0.0,0.0,0.0,0.0,0.0,0.0
226629,0.0,0.0,0.0,0.0,0.0,0.0
226729,0.0,0.0,0.0,0.0,0.0,0.0
226829,0.0,0.0,0.0,0.0,0.0,0.0
226929,0.0,0.0,0.0,0.0,0.0,0.0
227029,0.0,0.0,0.0,0.0,0.0,0.0
227129,0.0,0.0,0.0,0.0,0.0,0.0
227229,0.0,0.0,0.0,0.0,0.0,0.0
227329,0.0,0.0,0.0,0.0,0.0,0.0
227429,0.0,0.0,0.0,0.0,0.0,0.0
227529,0.0,0.0,0.0,0.0,0.0,0.0
227629,0.0,0.0,0.0,0.0,0.0,0.0
227729,0.0,0.0,0.0,0.0,0.0,0.0
227829,0.0,0.0,0.0,0.0,0.0,0.0
227929,0.0,0.0,0.0,0.0,0.0,0.0
228029,0.0,0.0,0.0,0.0,0.0,0.0
228129,0.0,0.0,0.0,0.0,0.0,0.0
228229,0.0,0.0,0.0,0.0,0.0,0.0
228329,0.0,0.0,0.0,0.0,0.0,0.0
228429,0.0,0.0,0.0,0.0,0.0,0.0
228529,0.0,0.0,0.0,0.0,0.0,0.0
228629,0.0,0.0,0.0,0.0,0.0,0.0
228729,0.0,0.0,0.0,0.0,0.0,0.0
228829,0.0,0.0,0.0,0.0,0.0,0.0
228929,0.0,0.0,0.0,0.0,0.0,0.0
229029,0.0,0.0,0.0,0.0,0.0,0.0
229129,0.0,0.0,0.0,0.0,0.0,0.0
229229,0.0,0.0,0.0,0.0,0.0,0.0
229329,0.0,0.0,0.0,0.0,0.0,0.0
229429,0.0,0.0,0.0,0.0,0.0,0.0
229529,0.0,0.0,0.0,0.0,0.0,0.0
229629,0.0,0.0,0.0,0.0,0.0,0.0
229729,0.0,0.0,0.0,0.0,0.0,0.0
229829,0.0,0.0,0.0,0.0,0.0,0.0
229929,0.0,0.0,0.0,0.0,0.0,0.0
230029,0.0,0.0,0.0,0.0,0.0,0.0
230129,0.0,0.0,0.0,0.0,0.0,0.0
230232,0.0,0.0,0.0,0.0,0.0,0.0
230332,0.0,0.0,0.0,0.0,0.0,0.0
230429,0.0,0.0,0.0,0.0,0.0,0.0
230532,0.0,0.0,0.0,0.0,0.0,0.0
230632,0.0,0.0,0.0,0.0,0.0,0.0
230730,0.0,0.0,0.0,0.0,0.0,0.0
230830,0.0,0.0,0.0,0.0,0.0,0.0
230930,0.0,0.0,0.0,0.0,0.0,0.0
231030,0.0,0.0,0.0,0.0,0.0,0.0
231130,0.0,0.0,0.0,0.0,0.0,0.0
231230,0.0,0.0,0.0,0.0,0.0,0.0
231329,0.0,0.0,0.0,0.0,0.0,0.0
231429,0.0,0.0,0.0,0.0,0.0,0.0
231529,0.0,0.0,0.0,0.0,0.0,0.0
231629,0.0,0.0,0.0,0.0,0.0,0.0
231729,0.0,0.0,0.0,0.0,0.0,0.0
231829,0.0,0.0,0.0,0.0,0.0,0.0
231929,0.0,0.0,0.0,0.0,0.0,0.0
232029,0.0,0.0,0.0,0.0,0.0,0.0
232129,0.0,0.0,0.0,0.0,0.0,0.0
232229,0.0,0.0,0.0,0.0,0.0,0.0
232329,0.0,0.0,0.0,0.0,0.0,0.0
232429,0.0,0.0,0.0,0.0,0.0,0.0
232529,0.0,0.0,0.0,0.0,0.0,0.0
232629,0.0,0.0,0.0,0.0,0.0,0.0
232729,0.0,0.0,0.0,0.0,0.0,0.0
232829,0.0,0.0,0.0,0.0,0.0,0.0
232929,0.0,0.0,0.0,0.0,0.0,0.0
233029,0.0,0.0,0.0,0.0,0.0,0.0
233129,0.0,0.0,0.0,0.0,0.0,0.0
233229,0.0,0.0,0.0,0.0,0.0,0.0
233329,0.0,0.0,0.0,0.0,0.0,0.0
233429,0.0,0.0,0.0,0.0,0.0,0.0
233529,0.0,0.0,0.0,0.0,0.0,0.0
233629,0.0,0.0,0.0,0.0,0.0,0.0
233729,0.0,0.0,0.0,0.0,0.0,0.0
233829,0.0,0.0,0.0,0.0,0.0,0.0
233929,0.0,0.0,0.0,0.0,0.0,0.0
234029,0.0,0.0,0.0,0.0,0.0,0.0
234129,0.0,0.0,0.0,0.0,0.0,0.0
234229,0.0,0.0,0.0,0.0,0.0,0.0
234329,0.0,0.0,0.0,0.0,0.0,0.0
234429,0.0,0.0,0.0,0.0,0.0,0.0
234529,0.0,0.0,0.0,0.0,0.0,0.0
234629,0.0,0.0,0.0,0.0,0.0,0.0
234729,0.0,0.0,0.0,0.0,0.0,0.0
234829,0.0,0.0,0.0,0.0,0.0,0.0
234929,0.0,0.0,0.0,0.0,0.0,0.0
235029,0.0,0.0,0.0,0.0,0.0,0.0
235129,0.0,0.0,0.0,0.0,0.0,0.0
235229,0.0,0.0,0.0,0.0,0.0,0.0
235329,0.0,0.0,0.0,0.0,0.0,0.0
235429,0.0,0.0,0.0,0.0,0.0,0.0
235529,0.0,0.0,0.0,0.0,0.0,0.0
235629,0.0,0.0,0.0,0.0,0.0,0.0
235729,0.0,0.0,0.0,0.0,0.0,0.0
235829,0.0,0.0,0.0,0.0,0.0,0.0
235929,0.0,0.0,0.0,0.0,0.0,0.0
236029,0.0,0.0,0.0,0.0,0.0,0.0
236129,0.0,0.0,0.0,0.0,0.0,0.0
236229,0.0,0.0,0.0,0.0,0.0,0.0
236329,0.0,0.0,0.0,0.0,0.0,0.0
236429,0.0,0.0,0.0,0.0,0.0,0.0
236529,0.0,0.0,0.0,0.0,0.0,0.0
236629,0.0,0.0,0.0,0.0,0.0,0.0
236729,0.0,0.0,0.0,0.0,0.0,0.0
236829,0.0,0.0,0.0,0.0,0.0,0.0
236929,0.0,0.0,0.0,0.0,0.0,0.0
237029,0.0,0.0,0.0,0.0,0.0,0.0
237129,0.0,0.0,0.0,0.0,0.0,0.0
237229,0.0,0.0,0.0,0.0,0.0,0.0
237329,0.0,0.0,0.0,0.0,0.0,0.0
237429,0.0,0.0,0.0,0.0,0.0,0.0
237529,0.0,0.0,0.0,0.0,0.0,0.0
237629,0.0,0.0,0.0,0.0,0.0,0.0
237729,0.0,0.0,0.0,0.0,0.0,0.0
237829,0.0,0.0,0.0,0.0,0.0,0.0
237929,0.0,0.0,0.0,0.0,0.0,0.0
238029,0.0,0.0,0.0,0.0,0.0,0.0
238129,0.0,0.0,0.0,0.0,0.0,0.0
238229,0.0,0.0,0.0,0.0,0.0,0.0
238329,0.0,0.0,0.0,0.0,0.0,0.0
238429,0.0,0.0,0.0,0.0,0.0,0.0
238529,0.0,0.0,0.0,0.0,0.0,0.0
238629,0.0,0.0,0.0,0.0,0.0,0.0
238729,0.0,0.0,0.0,0.0,0.0,0.0
238829,0.0,0.0,0.0,0.0,0.0,0.0
238929,0.0,0.0,0.0,0.0,0.0,0.0
239029,0.0,0.0,0.0,0.0,0.0,0.0
239129,0.0,0.0,0.0,0.0,0.0,0.0
239229,0.0,0.0,0.0,0.0,0.0,0.0
239329,0.0,0.0,0.0,0.0,0.0,0.0
239429,0.0,0.0,0.0,0.0,0.0,0.0
239529,0.0,0.0,0.0,0.0,0.0,0.0
239632,0.0,0.0,0.0,0.0,0.0,0.0
239729,0.0,0.0,0.0,0.0,0.0,0.0
239832,0.0,0.0,0.0,0.0,0.0,0.0
239931,0.0,0.0,0.0,0.0,0.0,0.0
240030,0.0,0.0,0.0,0.0,0.0,0.0
240130,0.0,0.0,0.0,0.0,0.0,0.0
240230,0.0,0.0,0.0,0.0,0.0,0.0
240330,0.0,0.0,0.0,0.0,0.0,0.0
240430,0.0,0.0,0.0,0.0,0.0,0.0
