timestamp,pid_attitude.yaw_outP,pid_attitude.yaw_outI,pid_attitude.yaw_outD
218766,-120.50796508789062,-0.04016932472586632,-3514.8154296875
218866,-121.49745178222656,-0.04049915075302124,-3543.675537109375
218968,-122.16291809082031,-0.04072097688913345,-3563.0849609375
219068,-122.79733276367188,-0.04093244671821594,-3581.5888671875
219168,-122.704833984375,-0.04090161249041557,-3578.890869140625
219268,-123.0850830078125,-0.04102836549282074,-3589.9814453125
219367,-123.15827941894531,-0.04105276241898537,-3592.1162109375
219467,-123.48849487304688,-0.04116283357143402,-3601.747314453125
219567,-123.467529296875,-0.041155844926834106,-3601.135986328125
219667,-123.305908203125,-0.04110197350382805,-3596.422119140625
219767,-0.3471794128417969,-0.00122471631038934,0.0
219867,-2.4151840209960938,-0.022596558555960655,0.0
219967,-5.713451385498047,-0.09368985891342163,0.0
220066,-14.561302185058594,-0.24434863030910492,0.0
220166,-32.69597625732422,-0.6203915476799011,0.0
220267,-52.35375213623047,-1.322747826576233,0.0
220367,-65.68265533447266,-2.3179919719696045,0.0
220466,-67.64531707763672,-3.4377870559692383,0.0
220566,-59.95440673828125,-4.507604122161865,0.0
220666,-48.06938171386719,-5.406406879425049,-2.6725409030914307
220766,-36.406951904296875,-6.100636959075928,-1.7107367515563965
220866,-28.084491729736328,-6.631683349609375,-1.7847535610198975
220966,-22.07642364501953,-7.045173168182373,0.0
221066,-18.355024337768555,-7.379573822021484,0.0
221166,-15.950474739074707,-7.665154933929443,-0.047022104263305664
221266,-14.210216522216797,-7.914532661437988,0.0
221366,-12.969863891601562,-8.140108108520508,0.0
221466,-12.188589096069336,-8.349709510803223,0.0
221566,-11.706781387329102,-8.548858642578125,0.0
221666,-11.532716751098633,-8.742076873779297,0.0
221766,-11.496261596679688,-8.92884635925293,0.010034441016614437
221866,-11.738805770874023,-9.1226224899292,0.008115171454846859
221966,-12.15355110168457,-9.323331832885742,-1.6458988189697266
222066,-12.477129936218262,-9.528966903686523,-0.0017523763235658407
222166,-12.30881118774414,-9.738983154296875,-0.0012516974238678813
222266,-11.440156936645508,-9.937233924865723,-0.0008344650268554688
222366,-10.217399597167969,-10.114949226379395,-0.00037550926208496094
222466,-9.833639144897461,-10.27958869934082,8.344649540958926e-05
222566,-9.778823852539062,-10.442119598388672,0.0005006789579056203
222666,-9.029297828674316,-10.599452018737793,0.0009179114131256938
222766,-8.26846981048584,-10.742600440979004,0.0012934206752106547
222866,-7.8450164794921875,-10.875895500183105,0.3241896331310272
222966,-7.1320481300354,-11.000475883483887,0.001960992580279708
223066,-6.666033744812012,-11.114465713500977,0.002253055339679122
223166,-6.549513816833496,-11.222610473632812,0.0025033948477357626
223266,-6.207371711730957,-11.328083038330078,0.0026702878531068563
223366,-5.830809116363525,-11.429009437561035,0.0028267502784729004
223466,-5.648732662200928,-11.524255752563477,0.002931058406829834
223566,-5.430881500244141,-11.617202758789062,0.0029832124710083008
223668,-5.155921936035156,-11.706792831420898,0.23175176978111267
223768,-4.941263675689697,-11.790299415588379,-0.4467307925224304
223868,-4.828935623168945,-11.872636795043945,0.0
223967,-4.079100608825684,-11.946837425231934,0.0
224067,-3.5002198219299316,-12.009749412536621,0.0
224166,-3.1448779106140137,-12.06190299987793,0.0024199483450502157
224266,-3.757340669631958,-12.119217872619629,0.002221762901172042
224367,-4.144309997558594,-12.185835838317871,0.0020027158316224813
224466,-3.8174338340759277,-12.2546968460083,0.001762807136401534
224566,-2.4038166999816895,-12.305978775024414,0.0015385448932647705
224666,-1.2215898036956787,-12.335670471191406,0.0013012437848374248
224766,-0.9058878421783447,-12.351601600646973,0.0010717659024521708
224866,-1.4422821998596191,-12.37028980255127,0.000857934239320457
224966,-1.4797496795654297,-12.395109176635742,-0.028272714465856552
225066,-1.4590835571289062,-12.418643951416016,0.17453616857528687
225166,-1.083580493927002,-12.438896179199219,-0.3905217945575714
225266,-1.010118007659912,-12.45458698272705,-0.5129455924034119
225366,-0.8904578685760498,-12.470176696777344,-0.9262743592262268
225468,-0.6939257383346558,-12.48287296295166,0.0
225568,-1.9997704029083252,-12.501108169555664,0.0
225666,-5.876176834106445,-12.567084312438965,0.0
225766,-7.702956676483154,-12.688325881958008,0.0
225867,-7.725747585296631,-12.817511558532715,0.0
225967,-1.767073154449463,-12.902702331542969,-0.4006423056125641
226067,0.8008686304092407,-12.892362594604492,0.0
226167,1.459406852722168,-12.87817668914795,0.0
226266,0.7596685886383057,-12.859753608703613,0.0
226366,1.1804476976394653,-12.843867301940918,0.0
226466,2.074439525604248,-12.821022033691406,-2.6748199462890625
226566,4.522017478942871,-12.767820358276367,0.0
226666,4.30036735534668,-12.68915843963623,0.0
226766,0.025269845500588417,8.42328245198587e-06,0.7370371222496033
226866,-19.332674026489258,-0.006444225087761879,-563.86962890625
226966,-39.62565612792969,-0.01320855226367712,-1155.7481689453125
227066,-32.98877716064453,-0.0109962597489357,-962.172607421875
227166,-47.05696105957031,-0.015685655176639557,-1372.49462890625
227266,-46.80339431762695,-0.015601132065057755,-1365.098876953125
227366,-46.61158752441406,-0.015537195838987827,-1359.5045166015625
227466,-46.348819732666016,-0.015449607744812965,-1351.840576171875
227566,-45.812171936035156,-0.015270724892616272,-1336.1883544921875
227666,-45.33896255493164,-0.015112988650798798,-1322.38623046875
227766,-45.1096076965332,-0.015036537311971188,-1315.69677734375
227866,-44.757904052734375,-0.014919301494956017,-1305.4388427734375
227966,-44.916385650634766,-0.014972129836678505,-1310.0611572265625
228066,-44.89615249633789,-0.01496538519859314,-1309.4710693359375
228166,-44.94560241699219,-0.014981867745518684,-1310.913330078125
228266,-44.694618225097656,-0.014898206107318401,-1303.5928955078125
228366,-44.75535583496094,-0.014918453060090542,-1305.364501953125
228466,-44.58586883544922,-0.014861957170069218,-1300.421142578125
228566,-44.377113342285156,-0.014792371541261673,-1294.3323974609375
228666,-44.62874984741211,-0.014876251108944416,-1301.671875
228766,-44.85279083251953,-0.014950930140912533,-1308.206298828125
228866,-44.95527267456055,-0.014985091984272003,-1311.1954345703125
228966,-45.0413703918457,-0.01501379068940878,-1313.70654296875
229066,-45.15167236328125,-0.015050558373332024,-1316.923828125
229166,-45.32781219482422,-0.015109271742403507,-1322.0611572265625
229266,-45.425777435302734,-0.01514192670583725,-1324.91845703125
229366,-45.493709564208984,-0.01516457088291645,-1326.8997802734375
229466,-45.57410430908203,-0.015191368758678436,-1329.24462890625
229566,-45.563499450683594,-0.015187833458185196,-1328.935302734375
229666,-45.52030944824219,-0.015173438005149364,-1327.6756591796875
229766,-45.491485595703125,-0.015163829550147057,-1326.8349609375
229866,-45.32612609863281,-0.015108710154891014,-1322.011962890625
229966,-44.9610595703125,-0.014987020753324032,-1311.3641357421875
230066,-44.8178596496582,-0.01493928674608469,-1307.1873779296875
230166,-44.69967269897461,-0.014899891801178455,-1303.7403564453125
230266,-44.93721389770508,-0.014979071915149689,-1310.668701171875
230366,-44.871315002441406,-0.014957105740904808,-1308.74658203125
230466,-44.98004913330078,-0.014993350021541119,-1311.91796875
230566,-44.93043518066406,-0.014976813457906246,-1310.470947265625
230666,-45.12222671508789,-0.015040742233395576,-1316.0648193359375
230766,-45.15792465209961,-0.015052642673254013,-1317.1060791015625
230866,-45.212158203125,-0.015070720575749874,-1318.6878662109375
230966,-45.31159973144531,-0.015103867277503014,-1321.5882568359375
231066,-45.340049743652344,-0.015113350935280323,-1322.4180908203125
231166,-45.36421203613281,-0.015121405012905598,-1323.122802734375
231266,-45.404380798339844,-0.01513479370623827,-1324.2943115234375
231366,-45.411617279052734,-0.015137206763029099,-1324.50537109375
231466,-45.37859344482422,-0.015126198530197144,-1323.542236328125
231566,-45.459903717041016,-0.015153301879763603,-1325.913818359375
231668,-45.5376091003418,-0.015179203823208809,-1328.18017578125
231768,-0.05853080749511719,-0.00016809561930131167,0.0
231868,-0.35704708099365234,-0.004865556489676237,0.0
231967,1.8315181732177734,0.015940286219120026,0.0
232067,1.6593189239501953,0.02929944545030594,0.0
232167,0.9566860198974609,0.05955415591597557,0.0
232267,-7.672745704650879,0.004767586011439562,-2.3969171047210693
232366,-16.044673919677734,-0.1916162669658661,0.0
232466,-28.676301956176758,-0.5598629713058472,0.0
232566,-39.23657989501953,-1.1375732421875,0.0
232666,-42.23085021972656,-1.8320984840393066,0.0
232766,-40.458885192871094,-2.5270402431488037,0.0
232866,-36.8975830078125,-3.178148031234741,0.0
232966,-33.00791931152344,-3.7638354301452637,-2.0122287273406982
233066,-29.133743286132812,-4.282263278961182,14.288126945495605
233166,-25.685367584228516,-4.739320755004883,10.253488540649414
233266,-24.274578094482422,-5.151236057281494,-1.828479528427124
233366,-25.535024642944336,-5.564331531524658,-5.658507347106934
233466,-25.797462463378906,-5.995327949523926,3.1757235527038574
233566,-23.940540313720703,-6.413111686706543,7.879518508911133
233666,-21.404865264892578,-6.790205478668213,0.0
233766,-18.881237030029297,-7.122087001800537,0.0
233866,-16.569847106933594,-7.414778232574463,0.0
233966,-15.108722686767578,-7.676105976104736,0.0
234066,-13.80117416381836,-7.9151482582092285,0.0
234166,-12.892122268676758,-8.136399269104004,0.0
234266,-12.454155921936035,-8.347833633422852,0.0
234366,-11.881160736083984,-8.54939079284668,0.0
234466,-11.24459457397461,-8.741199493408203,0.01341402530670166
234566,-11.084746360778809,-8.9275541305542,0.0
234666,-10.425554275512695,-9.107166290283203,0.0
234766,-9.788822174072266,-9.27126407623291,-1.7176002264022827
234866,-9.22714614868164,-9.4298677444458,-0.1976221799850464
234966,-8.590364456176758,-9.577807426452637,0.0
235066,-8.679686546325684,-9.719731330871582,0.0
235166,-11.395462036132812,-9.882486343383789,0.0
235266,-15.104487419128418,-10.108959197998047,0.0
235366,-13.396794319152832,-10.350027084350586,-2.110236644744873
235466,-9.650140762329102,-10.543619155883789,0.0
235566,-6.445140838623047,-10.674120903015137,2.2125420570373535
235666,-5.741148948669434,-10.773550987243652,2.394695520401001
235766,-6.328944683074951,-10.87275218963623,-0.5443214774131775
235866,-7.7625532150268555,-10.991652488708496,-0.9025781154632568
235966,-8.537266731262207,-11.125861167907715,0.0
236066,-8.422164916992188,-11.271957397460938,0.0
236166,-8.334806442260742,-11.410712242126465,0.0
236266,-6.386943340301514,-11.537679672241211,-0.7510185241699219
236366,-5.245388507843018,-11.62909984588623,-1.050977349281311
236466,-5.311799049377441,-11.717562675476074,1.3556822538375854
236566,-5.012315273284912,-11.803550720214844,3.1018733978271484
236666,-5.5312180519104,-11.891138076782227,2.7949466705322266
236766,-6.414443492889404,-11.991756439208984,0.0
236866,-6.290802001953125,-12.096309661865234,0.0
236966,-5.3062520027160645,-12.193642616271973,0.0
237066,-4.441239356994629,-12.27486801147461,0.0
237166,-3.872910499572754,-12.342820167541504,0.0
237266,-2.4060611724853516,-12.396543502807617,0.0
237366,-0.4873131215572357,-12.421164512634277,0.0
237466,1.1892774105072021,-12.415514945983887,0.0
237566,0.8154938220977783,-12.394219398498535,0.0
237666,0.4163197875022888,-12.380244255065918,0.0
237766,-0.12183184921741486,-12.381292343139648,0.0
237866,-1.7758560180664062,-12.391279220581055,0.0
237966,-2.442539691925049,-12.421727180480957,0.0
238066,-2.534968376159668,-12.467745780944824,0.0
238166,-2.655172109603882,-12.512419700622559,0.0
238266,-1.3287925720214844,-12.547835350036621,0.0
238366,0.34657883644104004,-12.55859088897705,0.0
238466,1.3478162288665771,-12.53951644897461,0.0
238566,-0.052466634660959244,-12.52974796295166,0.0
238666,0.5975879430770874,-12.524335861206055,0.0
238766,1.0840649604797363,-12.513336181640625,0.0
238866,2.154967784881592,-12.483709335327148,0.0
238966,2.2824387550354004,-12.447334289550781,0.0
239066,2.955078363418579,-12.403722763061523,0.0
239166,4.2892351150512695,-12.343570709228516,0.0033795833587646484
239266,4.806762218475342,-12.266611099243164,0.03097951039671898
239366,5.240795612335205,-12.182588577270508,0.0
239466,3.795598268508911,0.0012651995057240129,110.70494079589844
239566,-11.864980697631836,-0.003954993560910225,-346.0619201660156
239666,-9.476679801940918,-0.003158893436193466,-276.4031677246094
239766,8.800819396972656,0.002933606505393982,256.6905517578125
239866,26.700469970703125,0.008900157175958157,778.763671875
239966,26.451934814453125,0.008817311376333237,771.5146484375
240066,26.448211669921875,0.008816070854663849,771.4061279296875
240166,26.439266204833984,0.00881308875977993,771.1452026367188
240266,26.484729766845703,0.008828243240714073,772.4712524414062
240366,26.63287925720215,0.008877626620233059,776.792236328125
