timestamp,ranging.state
308272,0
308372,0
308472,0
308572,0
308672,0
308772,0
308872,0
308972,0
309072,0
309172,0
309272,0
309372,0
309472,0
309572,0
309672,0
309772,0
309872,0
309972,0
310072,0
310172,0
310272,0
310372,0
310472,0
310572,0
310672,0
310772,0
310872,0
310972,0
311072,0
311172,0
311272,0
311372,0
311472,0
311572,0
311672,0
311772,0
311872,0
311972,0
312072,0
312172,0
312272,0
312372,0
312472,0
312572,0
312672,0
312772,0
312872,0
312972,0
313072,0
313172,0
313272,0
313375,0
313472,0
313572,0
313673,0
313772,0
313872,0
313972,0
314072,0
314172,0
314272,0
314374,0
314472,0
314574,0
314674,0
314774,0
314873,0
314973,0
315073,0
315172,0
315272,0
315372,0
315472,0
315572,0
315672,0
315772,0
315872,0
315972,0
316072,0
316172,0
316272,0
316372,0
316472,0
316572,0
316672,0
316772,0
316872,0
316972,0
317072,0
317172,0
317272,0
317372,0
317472,0
317572,0
317672,0
317772,0
317872,0
317972,0
318072,0
318172,0
318272,0
318372,0
318472,0
318572,0
318672,0
318772,0
318872,0
318972,0
319075,0
319175,0
319275,0
319374,0
319474,0
319574,0
319674,0
319774,0
319874,0
319973,0
320073,0
320173,0
320272,0
320372,0
320472,0
320572,0
320672,0
320772,0
320873,0
320972,0
321072,0
321172,0
321272,0
321372,0
321475,0
321574,0
321672,0
321772,0
321873,0
321973,0
322073,0
322173,0
322273,0
322372,0
322472,0
322572,0
322672,0
322772,0
322872,0
322972,0
323072,0
323172,0
323272,0
323372,0
323472,0
323572,0
323672,0
323772,0
323872,0
323972,0
324072,0
324172,0
324272,0
324372,0
324472,0
324572,0
324672,0
324772,0
324872,0
324972,0
325072,0
325172,0
325272,0
325372,0
325472,0
325572,0
325672,0
325772,0
325872,0
325972,0
326072,0
326172,0
326272,0
326372,0
326472,0
326572,0
326672,0
326772,0
326872,0
326972,0
327072,0
327172,0
327272,0
327372,0
327472,0
327572,0
327672,0
327772,0
327872,0
327972,0
328072,0
328172,0
328275,0
328375,0
328472,0
328572,0
328674,0
328774,0
328874,0
328974,0
329074,0
329173,0
329273,0
329373,0
329473,0
329573,0
329673,0
329772,0
329872,0
