timestamp,sys.canfly,sys.isFlying,sys.isTumbled,sys.armed
308325,1,0,0,1
308425,1,0,0,1
308525,1,0,0,1
308625,1,0,0,1
308725,1,0,0,1
308825,1,0,0,1
308925,1,0,0,1
309025,1,0,0,1
309125,1,0,0,1
309225,1,0,0,1
309325,1,1,0,1
309425,1,1,0,1
309525,1,1,0,1
309625,1,1,0,1
309725,1,1,0,1
309825,1,1,0,1
309925,1,1,0,1
310025,1,1,0,1
310125,1,1,0,1
310225,1,1,0,1
310325,1,1,0,1
310425,1,1,0,1
310525,1,1,0,1
310625,1,1,0,1
310725,1,1,0,1
310825,1,1,0,1
310925,1,1,0,1
311025,1,1,0,1
311125,1,1,0,1
311225,1,1,0,1
311325,1,1,0,1
311425,1,1,0,1
311525,1,1,0,1
311625,1,1,0,1
311725,1,1,0,1
311825,1,1,0,1
311925,1,1,0,1
312025,1,1,0,1
312125,1,1,0,1
312225,1,1,0,1
312325,1,1,0,1
312425,1,1,0,1
312525,1,1,0,1
312625,1,1,0,1
312725,1,1,0,1
312825,1,1,0,1
312925,1,1,0,1
313025,1,1,0,1
313125,1,1,0,1
313225,1,1,0,1
313325,1,1,0,1
313425,1,1,0,1
313525,1,1,0,1
313625,1,1,0,1
313725,1,1,0,1
313825,1,1,0,1
313925,1,1,0,1
314027,1,1,0,1
314127,1,1,0,1
314227,1,1,0,1
314326,1,1,0,1
314427,1,1,0,1
314526,1,1,0,1
314626,1,1,0,1
314725,1,1,0,1
314825,1,1,0,1
314925,1,1,0,1
315025,1,1,0,1
315125,1,1,0,1
315225,1,1,0,1
315325,1,1,0,1
315425,1,1,0,1
315525,1,1,0,1
315625,1,1,0,1
315725,1,1,0,1
315825,1,1,0,1
315925,1,1,0,1
316025,1,1,0,1
316125,1,1,0,1
316225,1,1,0,1
316325,1,0,0,1
316425,1,0,0,1
316525,1,0,0,1
316625,1,0,0,1
316725,1,0,0,1
316825,1,0,0,1
316928,1,0,0,1
317025,1,0,0,1
317127,1,0,0,1
317227,1,0,0,1
317327,1,0,0,1
317427,1,0,0,1
317527,1,0,0,1
317627,1,0,0,1
317727,1,0,0,1
317826,1,0,0,1
317927,1,0,0,1
318027,1,0,0,1
318127,1,0,0,1
318226,1,0,0,1
318327,1,0,0,1
318426,1,0,0,1
318526,1,0,0,1
318626,1,0,0,1
318727,1,0,0,1
318826,1,0,0,1
318927,1,0,0,1
319026,1,0,0,1
319126,1,0,0,1
319227,1,0,0,1
319326,1,0,0,1
319426,1,0,0,1
319527,1,0,0,1
319626,1,0,0,1
319726,1,0,0,1
319826,1,0,0,1
319926,1,0,0,1
320026,1,0,0,1
320126,1,0,0,1
320226,1,0,0,1
320326,1,0,0,1
320426,1,0,0,1
320526,1,0,0,1
320625,1,0,0,1
320726,1,0,0,1
320826,1,0,0,1
320926,1,0,0,1
321026,1,0,0,1
321126,1,0,0,1
321226,1,0,0,1
321325,1,1,0,1
321425,1,1,0,1
321525,1,1,0,1
321625,1,1,0,1
321725,1,1,0,1
321826,1,1,0,1
321926,1,1,0,1
322025,1,1,0,1
322126,1,1,0,1
322225,1,1,0,1
322325,1,1,0,1
322426,1,1,0,1
322526,1,1,0,1
322625,1,1,0,1
322725,1,1,0,1
322825,1,1,0,1
322925,1,1,0,1
323025,1,1,0,1
323125,1,1,0,1
323225,1,1,0,1
323325,1,1,0,1
323425,1,1,0,1
323525,1,1,0,1
323625,1,1,0,1
323725,1,1,0,1
323825,1,1,0,1
323925,1,1,0,1
324025,1,1,0,1
324125,1,1,0,1
324225,1,1,0,1
324325,1,1,0,1
324425,1,1,0,1
324525,1,1,0,1
324625,1,1,0,1
324725,1,1,0,1
324825,1,1,0,1
324925,1,1,0,1
325025,1,1,0,1
325125,1,1,0,1
325225,1,1,0,1
325325,1,1,0,1
325425,1,1,0,1
325525,1,1,0,1
325627,1,1,0,1
325727,1,1,0,1
325827,1,1,0,1
325927,1,1,0,1
326025,1,1,0,1
326127,1,1,0,1
326226,1,1,0,1
326325,1,1,0,1
326425,1,1,0,1
326525,1,1,0,1
326625,1,1,0,1
326725,1,1,0,1
326825,1,1,0,1
326925,1,1,0,1
327025,1,1,0,1
327125,1,1,0,1
327225,1,1,0,1
327325,1,1,0,1
327425,1,1,0,1
327525,1,1,0,1
327625,1,1,0,1
327725,1,1,0,1
327825,1,1,0,1
327925,1,1,0,1
328025,1,1,0,1
328125,1,1,0,1
328225,1,1,0,1
328325,1,1,0,1
328425,1,1,0,1
328525,1,1,0,1
328625,1,1,0,1
328725,1,1,0,1
328825,1,1,0,1
328925,1,0,0,1
329025,1,0,0,1
329125,1,0,0,1
329225,1,0,0,1
329325,1,0,0,1
329425,1,0,0,1
329525,1,0,0,1
329625,1,0,0,1
329725,1,0,0,1
329825,1,0,0,1
329925,1,0,0,1
